mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.2,0.01,0,86,0,0,0,0.34041787418572955,0.005555555555555556,0.43982494529540483,
0.2,0.01,0,86,14,0.01,1,0.3717575389206251,0.004830917874396135,0.30306345733041573,1.2633771896362305
0.2,0.01,0,86,14,0.01,2,0.3444794124642591,0.00546448087431694,0.3052516411378556,1.1891767978668213
0.2,0.01,0,86,14,0.01,3,0.253848321123672,0.007575757575757576,0.3785557986870897,1.204970359802246
0.2,0.01,0,86,14,0.01,4,0.37168106500529463,0.00563063063063063,0.4824945295404814,1.1939215660095215
0.2,0.01,0,86,14,0.01,5,0.4025694223382027,0.006756756756756757,0.5010940919037199,1.2022266387939453
0.2,0.01,0,86,14,0.01,6,0.28950696716916124,0.012152777777777778,0.5820568927789934,1.224290132522583
0.2,0.01,0,86,14,0.01,7,0.38756682925281943,0.008064516129032258,0.47921225382932164,1.220393419265747
0.2,0.01,0,86,14,0.01,8,0.29105803409611053,0.00744047619047619,0.3490153172866521,1.350581407546997
0.2,0.01,0,86,14,0.01,9,0.346463568240454,0.007042253521126761,0.49781181619256015,1.1838648319244385
0.2,0.01,0,86,14,0.01,10,0.31718203552132973,0.004273504273504274,0.3435448577680525,1.2102043628692627
0.2,0.01,0,86,72,0.05,1,0.3366880450898554,0.010752688172043012,0.6520787746170679,1.2206323146820068
0.2,0.01,0,86,72,0.05,2,0.3280991355846586,0.007936507936507936,0.5076586433260394,1.2847926616668701
0.2,0.01,0,86,72,0.05,3,0.3251146071502812,0.007246376811594203,0.4431072210065646,1.239598035812378
0.2,0.01,0,86,72,0.05,4,0.3889931691679438,0.0045662100456621,0.31181619256017507,1.2406268119812012
0.2,0.01,0,86,72,0.05,5,0.3159408819939289,0.00641025641025641,0.45295404814004375,1.3682425022125244
0.2,0.01,0,86,72,0.05,6,0.3351740485176932,0.0078125,0.45295404814004375,1.2609920501708984
0.2,0.01,0,86,72,0.05,7,0.32191017417359924,0.015873015873015872,0.6564551422319475,1.2491979598999023
0.2,0.01,0,86,72,0.05,8,0.3724097426938412,0.004629629629629629,0.3304157549234136,1.2538433074951172
0.2,0.01,0,86,72,0.05,9,0.3669009794473435,0.007183908045977011,0.4135667396061269,1.2582111358642578
0.2,0.01,0,86,72,0.05,10,0.319986638552194,0.011111111111111112,0.6323851203501094,1.2301969528198242
0.2,0.01,0,86,144,0.1,1,0.33473468217084096,0.009259259259259259,0.43982494529540483,1.2533180713653564
0.2,0.01,0,86,144,0.1,2,0.360996755550911,0.012578616352201259,0.6542669584245077,1.4239816665649414
0.2,0.01,0,86,144,0.1,3,0.31769906281577787,0.013888888888888888,0.6586433260393874,1.264770269393921
0.2,0.01,0,86,144,0.1,4,0.33217742761276847,0.015350877192982455,0.5951859956236324,1.280092477798462
0.2,0.01,0,86,144,0.1,5,0.3413805392796478,0.014705882352941176,0.6827133479212254,1.2585513591766357
0.2,0.01,0,86,144,0.1,6,0.34393999520737956,0.012195121951219513,0.5142231947483589,1.2641916275024414
0.2,0.01,0,86,144,0.1,7,0.28110730894865454,0.008620689655172414,0.5065645514223195,1.279667615890503
0.2,0.01,0,86,144,0.1,8,0.2736800643236588,0.006060606060606061,0.36323851203501095,1.2746851444244385
0.2,0.01,0,86,144,0.1,9,0.34254153709605906,0.013565891472868217,0.5054704595185996,1.4151968955993652
0.2,0.01,0,86,144,0.1,10,0.3385070817816814,0.007183908045977011,0.38949671772428884,1.2612476348876953
0.2,0.01,0,86,216,0.15,1,0.4131241359496522,0.00980392156862745,0.661925601750547,1.2801942825317383
0.2,0.01,0,86,216,0.15,2,0.3121274328730573,0.02586206896551724,0.7439824945295405,1.2842481136322021
0.2,0.01,0,86,216,0.15,3,0.3219880440209367,0.009259259259259259,0.6039387308533917,1.2791862487792969
0.2,0.01,0,86,216,0.15,4,0.35475021043488664,0.015151515151515152,0.6236323851203501,1.2760984897613525
0.2,0.01,0,86,216,0.15,5,0.29110265236755206,0.006127450980392157,0.4288840262582057,1.2818970680236816
0.2,0.01,0,86,216,0.15,6,0.31891624790060324,0.022222222222222223,0.5897155361050328,1.2797400951385498
0.2,0.01,0,86,216,0.15,7,0.26993852557429604,0.010638297872340425,0.44638949671772427,1.446674108505249
0.2,0.01,0,86,216,0.15,8,0.35223025937724184,0.011666666666666667,0.5568927789934355,1.3081226348876953
0.2,0.01,0,86,216,0.15,9,0.3582917177976212,0.0045662100456621,0.30087527352297594,1.2756264209747314
0.2,0.01,0,86,216,0.15,10,0.32789704751024845,0.006830601092896175,0.4201312910284464,1.2952663898468018
0.2,0.01,0,86,288,0.2,1,0.2937234013682319,0.009722222222222222,0.5908096280087527,1.2826223373413086
0.2,0.01,0,86,288,0.2,2,0.2710475105424638,0.017676767676767676,0.6269146608315098,1.290339708328247
0.2,0.01,0,86,288,0.2,3,0.362295297813506,0.011299435028248588,0.6663019693654267,1.2908756732940674
0.2,0.01,0,86,288,0.2,4,0.3391522134406392,0.011437908496732025,0.5481400437636762,1.4415159225463867
0.2,0.01,0,86,288,0.2,5,0.33605498840023823,0.012152777777777778,0.574398249452954,1.2859127521514893
0.2,0.01,0,86,288,0.2,6,0.2773080992374879,0.0110062893081761,0.5448577680525164,1.297621726989746
0.2,0.01,0,86,288,0.2,7,0.32170370023000405,0.014492753623188406,0.6444201312910285,1.299292802810669
0.2,0.01,0,86,288,0.2,8,0.3679080391736317,0.011904761904761904,0.5995623632385121,1.2911219596862793
0.2,0.01,0,86,288,0.2,9,0.33482946033707683,0.01715686274509804,0.5940919037199125,1.3090815544128418
0.2,0.01,0,86,288,0.2,10,0.3051902383618184,0.016304347826086956,0.75054704595186,1.3302767276763916
0.2,0.01,0,86,360,0.25,1,0.34681902837626843,0.009887005649717515,0.5787746170678337,1.470888614654541
0.2,0.01,0,86,360,0.25,2,0.31513114346040255,0.02032520325203252,0.8085339168490153,1.3316650390625
0.2,0.01,0,86,360,0.25,3,0.35293825400817913,0.017543859649122806,0.6356673960612691,1.325251817703247
0.2,0.01,0,86,360,0.25,4,0.31558826417641683,0.014492753623188406,0.637855579868709,1.3279993534088135
0.2,0.01,0,86,360,0.25,5,0.30966420751591056,0.006830601092896175,0.36323851203501095,1.3361003398895264
0.2,0.01,0,86,360,0.25,6,0.3153471266278058,0.013157894736842105,0.48577680525164113,1.3344049453735352
0.2,0.01,0,86,360,0.25,7,0.38027245145519223,0.008333333333333333,0.47155361050328226,1.3121583461761475
0.2,0.01,0,86,360,0.25,8,0.27893334776740764,0.015957446808510637,0.7199124726477024,1.44657301902771
0.2,0.01,0,86,360,0.25,9,0.34885200035417263,0.0045045045045045045,0.3227571115973742,1.3182008266448975
0.2,0.01,0,86,360,0.25,10,0.38716696130544276,0.010416666666666666,0.6630196936542669,1.2898948192596436
0.2,0.01,0,86,432,0.3,1,0.38591339314039824,0.018292682926829267,0.8074398249452954,1.3146045207977295
0.2,0.01,0,86,432,0.3,2,0.2983850159816539,0.011904761904761904,0.5765864332603938,1.3066470623016357
0.2,0.01,0,86,432,0.3,3,0.289888637622726,0.007716049382716049,0.412472647702407,1.3288841247558594
0.2,0.01,0,86,432,0.3,4,0.25523857913139997,0.022058823529411766,0.7024070021881839,1.3451526165008545
0.2,0.01,0,86,432,0.3,5,0.28341482596506035,0.015350877192982455,0.5448577680525164,1.4968478679656982
0.2,0.01,0,86,432,0.3,6,0.3517962427155783,0.009562841530054645,0.5514223194748359,1.3198497295379639
0.2,0.01,0,86,432,0.3,7,0.37083143202978874,0.01092896174863388,0.6345733041575492,1.33030366897583
0.2,0.01,0,86,432,0.3,8,0.3438998329677039,0.009722222222222222,0.5459518599562363,1.3048982620239258
0.2,0.01,0,86,432,0.3,9,0.32750243545567603,0.015,0.7286652078774617,1.327343463897705
0.2,0.01,0,86,432,0.3,10,0.3147991245358492,0.012152777777777778,0.6039387308533917,1.3594908714294434
0.2,0.01,0,86,504,0.35,1,0.3113937909026879,0.016666666666666666,0.5514223194748359,1.3345696926116943
0.2,0.01,0,86,504,0.35,2,0.3584689838905132,0.008130081300813009,0.31072210065645517,1.3285868167877197
0.2,0.01,0,86,504,0.35,3,0.3548190188952767,0.017857142857142856,0.48577680525164113,1.4897754192352295
0.2,0.01,0,86,504,0.35,4,0.3534201652560999,0.014957264957264958,0.5382932166301969,1.3281755447387695
0.2,0.01,0,86,504,0.35,5,0.33389183767434344,0.016260162601626018,0.6301969365426696,1.3118081092834473
0.2,0.01,0,86,504,0.35,6,0.3087437599477273,0.013605442176870748,0.649890590809628,1.294489860534668
0.2,0.01,0,86,504,0.35,7,0.33548267174248925,0.012411347517730497,0.5787746170678337,1.2897157669067383
0.2,0.01,0,86,504,0.35,8,0.3368058613448878,0.016666666666666666,0.7231947483588621,1.2924387454986572
0.2,0.01,0,86,504,0.35,9,0.3327670642133317,0.01488095238095238,0.8457330415754923,1.3490843772888184
0.2,0.01,0,86,504,0.35,10,0.34370042786012645,0.025,0.7111597374179431,1.4545621871948242
0.2,0.01,0,86,576,0.4,1,0.351341616044139,0.010416666666666666,0.39606126914660833,1.3389801979064941
0.2,0.01,0,86,576,0.4,2,0.3098680729084855,0.016304347826086956,0.7669584245076586,1.296245813369751
0.2,0.01,0,86,576,0.4,3,0.3083767540606054,0.013888888888888888,0.6542669584245077,1.3042855262756348
0.2,0.01,0,86,576,0.4,4,0.3396089411871757,0.014957264957264958,0.5973741794310722,1.3067646026611328
0.2,0.01,0,86,576,0.4,5,0.2703004336160085,0.019230769230769232,0.7800875273522976,1.3583648204803467
0.2,0.01,0,86,576,0.4,6,0.3426340541189809,0.016666666666666666,0.6017505470459519,1.3219959735870361
0.2,0.01,0,86,576,0.4,7,0.3436951660129375,0.012345679012345678,0.6663019693654267,1.439131736755371
0.2,0.01,0,86,576,0.4,8,0.3098993168579716,0.009408602150537635,0.4912472647702407,1.2874600887298584
0.2,0.01,0,86,576,0.4,9,0.30611060965553133,0.01,0.5273522975929978,1.3183200359344482
0.2,0.01,0,86,576,0.4,10,0.3692483339373728,0.010802469135802469,0.5470459518599562,1.310011863708496
0.2,0.01,0,86,648,0.45,1,0.3570865948454772,0.011437908496732025,0.6017505470459519,1.325429916381836
