mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.4,1.0,0,15,0,0,0,0.5892257156393718,0.08333333333333333,0.28730964467005077,
0.4,1.0,0,15,0,0.01,1,0.5166223936231563,0.07291666666666667,0.24060913705583756,1.2747294902801514
0.4,1.0,0,15,0,0.01,2,0.5716910967027116,0.07291666666666667,0.2578680203045685,1.1921279430389404
0.4,1.0,0,15,0,0.01,3,0.5192127412130182,0.058333333333333334,0.3299492385786802,1.1922085285186768
0.4,1.0,0,15,0,0.01,4,0.5098416170101088,0.1875,0.3411167512690355,1.1876623630523682
0.4,1.0,0,15,0,0.01,5,0.5667964327244995,0.04861111111111111,0.27614213197969545,1.1917495727539062
0.4,1.0,0,15,0,0.01,6,0.5105787880780732,0.0625,0.283248730964467,1.19124174118042
0.4,1.0,0,15,0,0.01,7,0.5041627100410875,0.08333333333333333,0.22538071065989848,1.1908202171325684
0.4,1.0,0,15,0,0.01,8,0.5153870213553483,0.125,0.3614213197969543,1.3374967575073242
0.4,1.0,0,15,0,0.01,9,0.5293883287683601,0.07291666666666667,0.25380710659898476,1.189255952835083
0.4,1.0,0,15,0,0.01,10,0.5490441957068735,0.125,0.39593908629441626,1.189701795578003
0.4,1.0,0,15,1,0.05,1,0.5163679152567616,0.075,0.3411167512690355,1.197969675064087
0.4,1.0,0,15,1,0.05,2,0.5579608035072487,0.1388888888888889,0.3614213197969543,1.1896867752075195
0.4,1.0,0,15,1,0.05,3,0.5473567473257135,0.20833333333333334,0.39898477157360407,1.1926558017730713
0.4,1.0,0,15,1,0.05,4,0.5366400420763076,0.08333333333333333,0.24467005076142131,1.1909873485565186
0.4,1.0,0,15,1,0.05,5,0.5288884001997723,0.1111111111111111,0.3116751269035533,1.3375542163848877
0.4,1.0,0,15,1,0.05,6,0.48737748291793026,0.08333333333333333,0.30558375634517765,1.1940786838531494
0.4,1.0,0,15,1,0.05,7,0.5125192277249275,0.08333333333333333,0.3319796954314721,1.192911148071289
0.4,1.0,0,15,1,0.05,8,0.5247636268255255,0.05555555555555555,0.3147208121827411,1.1884582042694092
