mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,20,0,0,0,0.5180967166591199,0.011363636363636364,0.15,
0.1,0.01,0,20,1,0.01,1,0.4690058796996923,0.004629629629629629,0.06836734693877551,1.258434772491455
0.1,0.01,0,20,1,0.01,2,0.4301443451798103,0.008333333333333333,0.1336734693877551,1.1715776920318604
0.1,0.01,0,20,1,0.01,3,0.4939743170887902,0.0023148148148148147,0.05204081632653061,1.176621913909912
0.1,0.01,0,20,1,0.01,4,0.4571158607908578,0.0021929824561403508,0.061224489795918366,1.1905972957611084
0.1,0.01,0,20,1,0.01,5,0.45868882284270457,0.009615384615384616,0.1336734693877551,1.1749341487884521
0.1,0.01,0,20,1,0.01,6,0.4497663022454151,0.011111111111111112,0.21122448979591837,1.1727063655853271
0.1,0.01,0,20,1,0.01,7,0.4270582079086487,0.005208333333333333,0.0836734693877551,1.1742777824401855
0.1,0.01,0,20,1,0.01,8,0.4262094338209663,0.004901960784313725,0.10102040816326531,1.3110249042510986
0.1,0.01,0,20,1,0.01,9,0.43031074772525163,0.0023148148148148147,0.036734693877551024,1.1733150482177734
0.1,0.01,0,20,1,0.01,10,0.4496720676200299,0.008333333333333333,0.17142857142857143,1.1722757816314697
0.1,0.01,0,20,7,0.05,1,0.4643976888967034,0.008333333333333333,0.1489795918367347,1.176407814025879
0.1,0.01,0,20,7,0.05,2,0.4213255450420859,0.01282051282051282,0.16326530612244897,1.1698925495147705
0.1,0.01,0,20,7,0.05,3,0.4537405196505432,0.0021929824561403508,0.08469387755102041,1.1772880554199219
0.1,0.01,0,20,7,0.05,4,0.4221272602052673,0.0021929824561403508,0.05714285714285714,1.174562931060791
0.1,0.01,0,20,7,0.05,5,0.45421771565712593,0.01282051282051282,0.19489795918367347,1.3119843006134033
0.1,0.01,0,20,7,0.05,6,0.42354589656560815,0.007575757575757576,0.12244897959183673,1.1742627620697021
0.1,0.01,0,20,7,0.05,7,0.46278402724197426,0.004629629629629629,0.12857142857142856,1.1726808547973633
0.1,0.01,0,20,7,0.05,8,0.4055400611824597,0.01282051282051282,0.1653061224489796,1.1731793880462646
0.1,0.01,0,20,7,0.05,9,0.42743687932155355,0.002777777777777778,0.08877551020408163,1.177103042602539
0.1,0.01,0,20,7,0.05,10,0.4405392707552101,0.013888888888888888,0.12959183673469388,1.2016263008117676
0.1,0.01,0,20,14,0.1,1,0.4398367790300163,0.011111111111111112,0.19489795918367347,1.175856590270996
0.1,0.01,0,20,14,0.1,2,0.4222953512729432,0.023148148148148147,0.21428571428571427,1.1728293895721436
0.1,0.01,0,20,14,0.1,3,0.41560975394639665,0.004901960784313725,0.08571428571428572,1.325944423675537
0.1,0.01,0,20,14,0.1,4,0.45711291718208424,0.00641025641025641,0.12244897959183673,1.1725919246673584
0.1,0.01,0,20,14,0.1,5,0.47862701403357927,0.008333333333333333,0.10102040816326531,1.1735928058624268
0.1,0.01,0,20,14,0.1,6,0.4002010375517906,0.0021929824561403508,0.0663265306122449,1.1748075485229492
0.1,0.01,0,20,14,0.1,7,0.4025789948059727,0.010416666666666666,0.1469387755102041,1.1764678955078125
0.1,0.01,0,20,14,0.1,8,0.4117598971945784,0.020833333333333332,0.18979591836734694,1.174931526184082
0.1,0.01,0,20,14,0.1,9,0.4246911550581111,0.0,0.02142857142857143,1.1986329555511475
0.1,0.01,0,20,14,0.1,10,0.474362622512,0.015151515151515152,0.1989795918367347,1.313920497894287
0.1,0.01,0,20,21,0.15,1,0.41870424114501703,0.011111111111111112,0.16938775510204082,1.1750435829162598
0.1,0.01,0,20,21,0.15,2,0.4620857328763501,0.034722222222222224,0.22551020408163266,1.1739401817321777
0.1,0.01,0,20,21,0.15,3,0.4847924760195282,0.008333333333333333,0.07959183673469387,1.1741976737976074
0.1,0.01,0,20,21,0.15,4,0.48351961624733797,0.0021929824561403508,0.05714285714285714,1.1737194061279297
0.1,0.01,0,20,21,0.15,5,0.4436744363662523,0.020833333333333332,0.20816326530612245,1.17557692527771
0.1,0.01,0,20,21,0.15,6,0.3958841922807265,0.0021929824561403508,0.06224489795918367,1.180870771408081
0.1,0.01,0,20,21,0.15,7,0.4228342074889666,0.0125,0.12040816326530612,1.3197426795959473
0.1,0.01,0,20,21,0.15,8,0.5134066616244038,0.034722222222222224,0.19693877551020408,1.1756858825683594
0.1,0.01,0,20,21,0.15,9,0.47430793204784505,0.03571428571428571,0.29081632653061223,1.1742725372314453
0.1,0.01,0,20,21,0.15,10,0.4907779946471385,0.013888888888888888,0.12448979591836734,1.17476487159729
0.1,0.01,0,20,29,0.2,1,0.42545143833237614,0.004901960784313725,0.11020408163265306,1.1738481521606445
0.1,0.01,0,20,29,0.2,2,0.45304872712243605,0.041666666666666664,0.34591836734693876,1.1767733097076416
0.1,0.01,0,20,29,0.2,3,0.45824988877703765,0.016666666666666666,0.17857142857142858,1.1766808032989502
0.1,0.01,0,20,29,0.2,4,0.42258466440573783,0.011111111111111112,0.13877551020408163,1.1750621795654297
0.1,0.01,0,20,29,0.2,5,0.47941701611679627,0.007352941176470588,0.1306122448979592,1.3218395709991455
0.1,0.01,0,20,29,0.2,6,0.4236568461029807,0.008333333333333333,0.08571428571428572,1.1744916439056396
0.1,0.01,0,20,29,0.2,7,0.3806989398817575,0.011904761904761904,0.1653061224489796,1.1762826442718506
0.1,0.01,0,20,29,0.2,8,0.4595488596244605,0.011111111111111112,0.16938775510204082,1.203575611114502
0.1,0.01,0,20,29,0.2,9,0.4761126298801906,0.023148148148148147,0.1989795918367347,1.1781446933746338
0.1,0.01,0,20,29,0.2,10,0.4306507419450716,0.020833333333333332,0.2153061224489796,1.1782104969024658
0.1,0.01,0,20,36,0.25,1,0.4557313034462085,0.010416666666666666,0.1826530612244898,1.176429271697998
0.1,0.01,0,20,36,0.25,2,0.44085090094850204,0.01282051282051282,0.1653061224489796,1.3152990341186523
0.1,0.01,0,20,36,0.25,3,0.47912778457566596,0.016666666666666666,0.17448979591836736,1.1747286319732666
0.1,0.01,0,20,36,0.25,4,0.418263608434674,0.005555555555555556,0.09081632653061225,1.1852893829345703
0.1,0.01,0,20,36,0.25,5,0.4313631140510565,0.023809523809523808,0.1846938775510204,1.1746315956115723
0.1,0.01,0,20,36,0.25,6,0.43742418787344856,0.005555555555555556,0.11530612244897959,1.174347162246704
0.1,0.01,0,20,36,0.25,7,0.4469130077157905,0.024305555555555556,0.27346938775510204,1.1764297485351562
0.1,0.01,0,20,36,0.25,8,0.4547860974835509,0.016025641025641024,0.24285714285714285,1.1778285503387451
0.1,0.01,0,20,36,0.25,9,0.44785429423945566,0.0021929824561403508,0.07959183673469387,1.3228199481964111
0.1,0.01,0,20,36,0.25,10,0.4874486642932097,0.005952380952380952,0.11836734693877551,1.174767255783081
0.1,0.01,0,20,43,0.3,1,0.4502578759651383,0.007352941176470588,0.13877551020408163,1.1786811351776123
0.1,0.01,0,20,43,0.3,2,0.38453249955504204,0.01893939393939394,0.20918367346938777,1.1749317646026611
0.1,0.01,0,20,43,0.3,3,0.4764419961166952,0.01488095238095238,0.2316326530612245,1.1759164333343506
0.1,0.01,0,20,43,0.3,4,0.4471305581009945,0.013888888888888888,0.15612244897959185,1.1770052909851074
0.1,0.01,0,20,43,0.3,5,0.45614725688446184,0.005208333333333333,0.06020408163265306,1.1748051643371582
0.1,0.01,0,20,43,0.3,6,0.47425965634490946,0.03571428571428571,0.24591836734693878,1.3192663192749023
0.1,0.01,0,20,43,0.3,7,0.4501015778607743,0.027777777777777776,0.1816326530612245,1.1781580448150635
0.1,0.01,0,20,43,0.3,8,0.45464748068008876,0.0078125,0.1520408163265306,1.1739146709442139
0.1,0.01,0,20,43,0.3,9,0.45673944395450355,0.007352941176470588,0.1510204081632653,1.1769466400146484
0.1,0.01,0,20,43,0.3,10,0.4172075782311653,0.007352941176470588,0.12346938775510204,1.1764514446258545
0.1,0.01,0,20,50,0.35,1,0.41228168397233256,0.004901960784313725,0.09591836734693877,1.177718162536621
0.1,0.01,0,20,50,0.35,2,0.37090945443796774,0.023148148148148147,0.2193877551020408,1.1736631393432617
0.1,0.01,0,20,50,0.35,3,0.3997137934275056,0.018518518518518517,0.20816326530612245,1.1749260425567627
0.1,0.01,0,20,50,0.35,4,0.41928302646713295,0.005208333333333333,0.09591836734693877,1.3294036388397217
0.1,0.01,0,20,50,0.35,5,0.4619181747107694,0.026041666666666668,0.28061224489795916,1.1746788024902344
0.1,0.01,0,20,50,0.35,6,0.416170361101288,0.009615384615384616,0.13163265306122449,1.1757581233978271
0.1,0.01,0,20,50,0.35,7,0.4407927425138959,0.020833333333333332,0.23061224489795917,1.188295841217041
0.1,0.01,0,20,50,0.35,8,0.4103645921002551,0.03571428571428571,0.27653061224489794,1.1984083652496338
0.1,0.01,0,20,50,0.35,9,0.42123716912364784,0.015151515151515152,0.18061224489795918,1.1880972385406494
0.1,0.01,0,20,50,0.35,10,0.4629478409357894,0.009615384615384616,0.15,1.1916258335113525
0.1,0.01,0,20,57,0.4,1,0.48182226405392065,0.006944444444444444,0.07448979591836735,1.3440847396850586
0.1,0.01,0,20,57,0.4,2,0.4357850528905193,0.011904761904761904,0.17755102040816326,1.1952331066131592
