mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,20,0,0,,1,0.1290300928303333,0.0625,1.0,
0.1,0.01,0,20,0,0,,2,0.08785860967821175,0.05263157894736842,1.0,
0.1,0.01,0,20,0,0,,3,0.07775920553280741,0.0,0.9683673469387755,
0.1,0.01,0,20,0,0,,4,0.08675369293399224,0.05555555555555555,1.0,
0.1,0.01,0,20,0,0,,5,0.07911874999999978,0.0,0.9591836734693877,
0.1,0.01,0,20,0,0,,6,0.09139566634845714,0.0,0.939795918367347,
0.1,0.01,0,20,0,0,,7,0.13846127309895923,0.0,0.6785714285714286,
0.1,0.01,0,20,0,0,,8,0.09321461531635462,0.05263157894736842,1.0,
0.1,0.01,0,20,0,0,,9,0.10724106198434516,0.05263157894736842,1.0,
0.1,0.01,0,20,0,0,,10,0.07911874999999978,0.0,0.9591836734693877,
0.1,0.01,0,20,0,0,,11,0.10610408509753626,0.027777777777777776,0.9683673469387755,
0.1,0.01,0,20,0,0,,12,0.09617796566076983,0.0,0.960204081632653,
0.1,0.01,0,20,0,0,,13,0.1035532415851434,0.0,0.8112244897959183,
0.1,0.01,0,20,0,0,,14,0.19648963046947476,0.0,0.3173469387755102,
0.1,0.01,0,20,0,0,,15,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,16,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,17,0.15659334134919764,0.0,0.6561224489795918,
0.1,0.01,0,20,0,0,,18,0.11066651545816167,0.0,0.636734693877551,
0.1,0.01,0,20,0,0,,19,0.10177540191652806,0.0,0.7887755102040817,
0.1,0.01,0,20,0,0,,20,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,21,0.09859545030133256,0.05555555555555555,1.0,
0.1,0.01,0,20,0,0,,22,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,23,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,24,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,25,0.11280325497287506,0.05263157894736842,1.0,
0.1,0.01,0,20,0,0,,26,0.10899492269517079,0.0,0.8418367346938775,
0.1,0.01,0,20,0,0,,27,0.07792354437535315,0.0,0.9755102040816327,
0.1,0.01,0,20,0,0,,28,0.10248447455009255,0.1,1.0,
0.1,0.01,0,20,0,0,,29,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,30,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,31,0.0700016302953149,0.0,0.9785714285714285,
0.1,0.01,0,20,0,0,,32,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,33,0.09372198686637169,0.0,0.8438775510204082,
0.1,0.01,0,20,0,0,,34,0.09278991465037978,0.07692307692307693,1.0,
0.1,0.01,0,20,0,0,,35,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,36,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,37,0.10471291425875687,0.05555555555555555,1.0,
0.1,0.01,0,20,0,0,,38,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,39,0.1339153173068067,0.058823529411764705,1.0,
0.1,0.01,0,20,0,0,,40,0.16655258591801897,0.07407407407407407,0.9479591836734694,
0.1,0.01,0,20,0,0,,41,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,42,0.09740887880632246,0.058823529411764705,1.0,
0.1,0.01,0,20,0,0,,43,0.14842646446029886,0.0,0.8642857142857143,
0.1,0.01,0,20,0,0,,44,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,45,0.1533020989803077,0.029411764705882353,0.713265306122449,
0.1,0.01,0,20,0,0,,46,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,47,0.05748399999999999,0.0,1.0,
0.1,0.01,0,20,0,0,,48,0.12369719488518434,0.0,0.7612244897959184,
0.1,0.01,0,20,0,0,,49,0.06504210526315797,0.08333333333333333,1.0,
0.1,0.01,0,20,0,0,,50,0.11334930822855535,0.02631578947368421,0.9744897959183674,
0.1,0.01,0,20,1,0.01,0.5,1,0.1006836109942682,0.0,0.613265306122449,1.9350416660308838
0.1,0.01,0,20,1,0.01,0.5,2,0.09901562499999994,0.0,0.7387755102040816,2.0394625663757324
0.1,0.01,0,20,1,0.01,0.5,3,0.07792354437535315,0.0,0.9755102040816327,1.9442098140716553
