mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,62,0,0,,1,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,2,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,3,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,4,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,5,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,6,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,7,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,8,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,9,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,10,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,11,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,12,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,13,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,14,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,15,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,16,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,17,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,18,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,19,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,20,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,21,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,22,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,23,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,24,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,25,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,26,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,27,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,28,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,29,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,30,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,31,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,32,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,33,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,34,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,35,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,36,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,37,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,38,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,39,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,40,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,41,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,42,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,43,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,44,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,45,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,46,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,47,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,48,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,49,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,0,0,,50,0.07939399999999987,0.0,1.0,
0.4,0.01,0,62,5,0.01,0.5,1,0.07939399999999987,0.0,1.0,2.3678133487701416
0.4,0.01,0,62,5,0.01,0.5,2,0.07939399999999987,0.0,1.0,2.5383784770965576
0.4,0.01,0,62,5,0.01,0.5,3,0.07939399999999987,0.0,1.0,2.3590145111083984
0.4,0.01,0,62,5,0.01,0.5,4,0.07939399999999987,0.0,1.0,2.3342251777648926
0.4,0.01,0,62,5,0.01,0.5,5,0.07939399999999987,0.0,1.0,2.3744473457336426
0.4,0.01,0,62,5,0.01,0.5,6,0.07939399999999987,0.0,1.0,2.4023373126983643
0.4,0.01,0,62,5,0.01,0.5,7,0.07939399999999987,0.0,1.0,2.3628900051116943
0.4,0.01,0,62,5,0.01,0.5,8,0.07939399999999987,0.0,1.0,2.2885167598724365
0.4,0.01,0,62,5,0.01,0.5,9,0.07939399999999987,0.0,1.0,2.3301522731781006
0.4,0.01,0,62,5,0.01,0.5,10,0.07939399999999987,0.0,1.0,2.4434421062469482
0.4,0.01,0,62,5,0.01,0.5,11,0.07939399999999987,0.0,1.0,2.2761428356170654
0.4,0.01,0,62,5,0.01,0.5,12,0.07939399999999987,0.0,1.0,2.283337354660034
0.4,0.01,0,62,5,0.01,0.5,13,0.07939399999999987,0.0,1.0,2.3214964866638184
0.4,0.01,0,62,5,0.01,0.5,14,0.07939399999999987,0.0,1.0,2.2700328826904297
0.4,0.01,0,62,5,0.01,0.5,15,0.07939399999999987,0.0,1.0,2.2305727005004883
0.4,0.01,0,62,5,0.01,0.5,16,0.07939399999999987,0.0,1.0,2.327542304992676
0.4,0.01,0,62,5,0.01,0.5,17,0.07939399999999987,0.0,1.0,2.2722809314727783
0.4,0.01,0,62,5,0.01,0.5,18,0.07939399999999987,0.0,1.0,2.4432928562164307
0.4,0.01,0,62,5,0.01,0.5,19,0.07939399999999987,0.0,1.0,2.327481269836426
