network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.7664000409242139,0.0,0.0021470746108427268,
BitcoinTransactions,1,428,0,0,,2,0.7971442632719594,0.0,0.0,
BitcoinTransactions,1,428,0,0,,3,0.690404883392156,0.0,0.0024154589371980675,
BitcoinTransactions,1,428,0,0,,4,0.6995486396489353,0.0,0.0,
BitcoinTransactions,1,428,0,0,,5,0.740483707755813,0.0,0.07353730542136339,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.10348577992843937,0.0031007751937984496,0.9916800858829844,5.99050498008728
BitcoinTransactions,1,428,4,0.01,0.5,2,0.10968405977706441,0.002180232558139535,0.9969135802469136,5.945009469985962
BitcoinTransactions,1,428,4,0.01,0.5,3,0.08411218359146141,0.0012484394506866417,0.988996242619431,5.164986610412598
BitcoinTransactions,1,428,4,0.01,0.5,4,0.06113926466139676,0.0005896226415094339,0.987385936661299,5.18282675743103
BitcoinTransactions,1,428,4,0.01,0.5,5,0.09214415602846042,0.002421307506053269,1.0,4.98329496383667
BitcoinTransactions,1,428,22,0.05,0.5,1,0.11203601769593285,0.001736111111111111,0.9630971551261406,4.956450939178467
BitcoinTransactions,1,428,22,0.05,0.5,2,0.08769512666492178,0.002364066193853428,0.999194847020934,5.052072763442993
BitcoinTransactions,1,428,22,0.05,0.5,3,0.097556336484781,0.003703703703703704,0.9789318303811058,4.977040767669678
BitcoinTransactions,1,428,22,0.05,0.5,4,0.06816177104930939,0.0012626262626262627,0.99020397208803,5.019038915634155
BitcoinTransactions,1,428,22,0.05,0.5,5,0.09694982129717587,0.0030303030303030303,0.9994632313472893,4.94945764541626
BitcoinTransactions,1,428,43,0.1,0.5,1,0.0828769374659071,0.0014285714285714286,0.9667203435319377,5.133338212966919
BitcoinTransactions,1,428,43,0.1,0.5,2,0.10825866342519995,0.0022598870056497176,0.9714170692431562,4.945852518081665
BitcoinTransactions,1,428,43,0.1,0.5,3,0.081735448972651,0.002242152466367713,0.9971819645732689,4.9009435176849365
BitcoinTransactions,1,428,43,0.1,0.5,4,0.08365184927267096,0.0008460236886632825,0.9955716586151369,4.828692674636841
BitcoinTransactions,1,428,43,0.1,0.5,5,0.09100312433074499,0.0013157894736842105,0.9918142780461621,4.715311050415039
BitcoinTransactions,1,428,64,0.15,0.5,1,0.08928997663914731,0.002652519893899204,1.0,4.690607786178589
BitcoinTransactions,1,428,64,0.15,0.5,2,0.0878011028780118,0.0016042780748663102,0.9994632313472893,4.902127504348755
BitcoinTransactions,1,428,64,0.15,0.5,3,0.06958743318890834,0.0017595307917888563,0.9994632313472893,4.905224323272705
BitcoinTransactions,1,428,64,0.15,0.5,4,0.08012238501631753,0.0015267175572519084,0.9994632313472893,4.830774545669556
BitcoinTransactions,1,428,64,0.15,0.5,5,0.0768274158633691,0.0016420361247947454,0.9979871175523349,5.080027341842651
BitcoinTransactions,1,428,86,0.2,0.5,1,0.056397123492367154,0.0006722689075630252,0.9722222222222222,5.08881402015686
BitcoinTransactions,1,428,86,0.2,0.5,2,0.07696005860344958,0.0010162601626016261,0.9989264626945786,4.95249080657959
BitcoinTransactions,1,428,86,0.2,0.5,3,0.07838906585005925,0.0010126582278481013,0.9982555018786903,4.936332702636719
BitcoinTransactions,1,428,86,0.2,0.5,4,0.09157198524768514,0.003115264797507788,0.9994632313472893,4.957395553588867
BitcoinTransactions,1,428,86,0.2,0.5,5,0.10421383181163468,0.003105590062111801,1.0,4.803122043609619
BitcoinTransactions,1,428,108,0.25,0.5,1,0.10186784709042353,0.0026246719160104987,1.0,5.012756109237671
BitcoinTransactions,1,428,108,0.25,0.5,2,0.08732170464509355,0.0008841732979664014,0.9971819645732689,4.843870162963867
BitcoinTransactions,1,428,108,0.25,0.5,3,0.07704535906001021,0.001913265306122449,0.999194847020934,5.096951961517334
BitcoinTransactions,1,428,108,0.25,0.5,4,0.06913071730669068,0.0018248175182481751,0.9990606548577563,5.051926136016846
BitcoinTransactions,1,428,108,0.25,0.5,5,0.11697536942562847,0.0041841004184100415,1.0,4.745588064193726
BitcoinTransactions,1,428,129,0.3,0.5,1,0.09239660171466256,0.0018674136321195146,0.999194847020934,4.84173583984375
BitcoinTransactions,1,428,129,0.3,0.5,2,0.08486399965995478,0.001519756838905775,0.990606548577563,4.796994209289551
BitcoinTransactions,1,428,129,0.3,0.5,3,0.08847727900494369,0.0024224806201550387,0.999597423510467,4.8834919929504395
BitcoinTransactions,1,428,129,0.3,0.5,4,0.08914825498281201,0.002225519287833828,0.9998658078368223,4.884655237197876
BitcoinTransactions,1,428,129,0.3,0.5,5,0.06277833960105356,0.0011961722488038277,0.9990606548577563,5.041348695755005
BitcoinTransactions,1,428,150,0.35,0.5,1,0.07639142800668156,0.0017271157167530224,0.9997316156736447,4.90086555480957
BitcoinTransactions,1,428,150,0.35,0.5,2,0.08516527037604348,0.0033333333333333335,1.0,4.893613815307617
BitcoinTransactions,1,428,150,0.35,0.5,3,0.08665377994230453,0.0022222222222222222,0.998389694041868,4.777432441711426
BitcoinTransactions,1,428,150,0.35,0.5,4,0.0859273536637066,0.0030581039755351682,1.0,4.800935745239258
BitcoinTransactions,1,428,150,0.35,0.5,5,0.11355591414906806,0.006060606060606061,1.0,4.7119457721710205
BitcoinTransactions,1,428,172,0.4,0.5,1,0.09031952402290573,0.002834467120181406,0.9974503488996243,4.84862756729126
BitcoinTransactions,1,428,172,0.4,0.5,2,0.07282183866968873,0.0007763975155279503,0.9947665056360708,4.890223503112793
BitcoinTransactions,1,428,172,0.4,0.5,3,0.08965833386723034,0.002770083102493075,1.0,4.898105621337891
BitcoinTransactions,1,428,172,0.4,0.5,4,0.06557042976063254,0.0016233766233766235,0.9970477724100912,5.026514053344727
BitcoinTransactions,1,428,172,0.4,0.5,5,0.0809170558848539,0.0021551724137931034,0.9998658078368223,4.8863396644592285
BitcoinTransactions,1,428,194,0.45,0.5,1,0.07596515940731507,0.0012787723785166241,0.9962426194310252,5.026704788208008
BitcoinTransactions,1,428,194,0.45,0.5,2,0.13331385655668415,0.0041841004184100415,1.0,4.739013910293579
BitcoinTransactions,1,428,194,0.45,0.5,3,0.07995974423301443,0.0021897810218978104,0.9997316156736447,4.818985462188721
BitcoinTransactions,1,428,194,0.45,0.5,4,0.08401570973707526,0.002006688963210702,0.9993290391841116,4.824880599975586
BitcoinTransactions,1,428,194,0.45,0.5,5,0.0972456710547034,0.0038910505836575876,1.0,4.876607894897461
BitcoinTransactions,1,428,215,0.5,0.5,1,0.08000769938048097,0.0020100502512562816,0.998792270531401,4.923519849777222
BitcoinTransactions,1,428,215,0.5,0.5,2,0.06757292042513857,0.0020627062706270625,0.9997316156736447,5.040718078613281
BitcoinTransactions,1,428,215,0.5,0.5,3,0.06414499170716745,0.002403846153846154,1.0,5.033066749572754
BitcoinTransactions,1,428,215,0.5,0.5,4,0.08157993612331971,0.002240896358543417,0.9997316156736447,5.123509168624878
BitcoinTransactions,1,428,215,0.5,0.5,5,0.06869466116860821,0.0021216407355021216,0.999194847020934,5.257174730300903
BitcoinTransactions,1,428,237,0.55,0.5,1,0.07898302403448523,0.0018050541516245488,0.9934245840042941,5.035344123840332
BitcoinTransactions,1,428,237,0.55,0.5,2,0.11655445683830833,0.0039494470774091624,0.9998658078368223,4.931654930114746
BitcoinTransactions,1,428,237,0.55,0.5,3,0.10266564521673792,0.0017006802721088435,0.9993290391841116,4.857531309127808
BitcoinTransactions,1,428,237,0.55,0.5,4,0.07415619515409796,0.0019280205655526992,0.9997316156736447,5.246062517166138
BitcoinTransactions,1,428,237,0.55,0.5,5,0.10960855206219607,0.0040650406504065045,1.0,4.930938243865967
BitcoinTransactions,1,428,258,0.6,0.5,1,0.11412363079562673,0.0025974025974025974,0.9986580783682233,4.856884956359863
BitcoinTransactions,1,428,258,0.6,0.5,2,0.09123954051807666,0.002824858757062147,1.0,4.947909116744995
BitcoinTransactions,1,428,258,0.6,0.5,3,0.09401350916864663,0.005025125628140704,1.0,4.94762110710144
BitcoinTransactions,1,428,258,0.6,0.5,4,0.0824628964234882,0.0028368794326241137,0.9997316156736447,4.968387842178345
BitcoinTransactions,1,428,258,0.6,0.5,5,0.06763167679902872,0.0024330900243309003,1.0,5.2726969718933105
BitcoinTransactions,1,428,280,0.65,0.5,1,0.11669773223391122,0.002572347266881029,0.9998658078368223,4.945749998092651
BitcoinTransactions,1,428,280,0.65,0.5,2,0.10213663819736708,0.0035714285714285713,1.0,4.840568542480469
BitcoinTransactions,1,428,280,0.65,0.5,3,0.08386145458713085,0.001142857142857143,0.999194847020934,4.876308441162109
BitcoinTransactions,1,428,280,0.65,0.5,4,0.08662538715106458,0.002173913043478261,0.9993290391841116,4.99943470954895
BitcoinTransactions,1,428,280,0.65,0.5,5,0.07730685336832996,0.00273224043715847,1.0,5.038705348968506
BitcoinTransactions,1,428,301,0.7,0.5,1,0.07822286920936299,0.0024600246002460025,0.9994632313472893,4.908195734024048
BitcoinTransactions,1,428,301,0.7,0.5,2,0.10479751696794876,0.0024615384615384616,0.9990606548577563,4.860013246536255
BitcoinTransactions,1,428,301,0.7,0.5,3,0.07492860536773184,0.002442002442002442,0.9998658078368223,5.167419672012329
