network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.06594630682223389,0.000819000819000819,0.9626945786366076,
BitcoinTransactions,1,428,0,0,,2,0.06761094130333857,0.0012787723785166241,0.9814814814814815,
BitcoinTransactions,1,428,0,0,,3,0.0582542931631837,0.0006377551020408163,0.9855072463768116,
BitcoinTransactions,1,428,0,0,,4,0.058624806460324745,0.0004306632213608958,0.9698067632850241,
BitcoinTransactions,1,428,0,0,,5,0.07175769351672137,0.001998001998001998,0.9757112184648417,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.06680195649783414,0.0010335917312661498,0.9958400429414922,4.727880239486694
BitcoinTransactions,1,428,4,0.01,0.5,2,0.06422184655571056,0.002145922746781116,0.9783950617283951,4.506327152252197
BitcoinTransactions,1,428,4,0.01,0.5,3,0.06907478530419218,0.001288659793814433,0.9672571121846484,4.726360321044922
BitcoinTransactions,1,428,4,0.01,0.5,4,0.07371330120357615,0.0009590792838874681,0.9610842726784756,4.73710036277771
BitcoinTransactions,1,428,4,0.01,0.5,5,0.07164048031080943,0.0023674242424242425,0.9943639291465378,4.685009956359863
BitcoinTransactions,1,428,22,0.05,0.5,1,0.08266930482686295,0.0015503875968992248,0.9919484702093397,4.733775615692139
BitcoinTransactions,1,428,22,0.05,0.5,2,0.07119025797305756,0.0021321961620469083,0.9579978529253892,4.514726877212524
BitcoinTransactions,1,428,22,0.05,0.5,3,0.059463693937262474,0.000859106529209622,0.9681964573268921,4.724912166595459
BitcoinTransactions,1,428,22,0.05,0.5,4,0.06155198584205299,0.0014958863126402393,0.9955716586151369,4.747760772705078
BitcoinTransactions,1,428,22,0.05,0.5,5,0.06653248226359876,0.0014388489208633094,0.9944981213097155,4.607151031494141
BitcoinTransactions,1,428,43,0.1,0.5,1,0.0601602654936892,0.0010256410256410256,0.9816156736446592,4.744390487670898
BitcoinTransactions,1,428,43,0.1,0.5,2,0.06292167183817134,0.0005089058524173028,0.9618894256575417,4.775802135467529
BitcoinTransactions,1,428,43,0.1,0.5,3,0.06209030639290409,0.0016736401673640166,0.9834943639291466,4.517658710479736
BitcoinTransactions,1,428,43,0.1,0.5,4,0.06344826639240937,0.0014466546112115732,0.9868491680085884,4.74348783493042
BitcoinTransactions,1,428,43,0.1,0.5,5,0.06563144609607835,0.001948051948051948,0.9931561996779388,4.753863573074341
BitcoinTransactions,1,428,64,0.15,0.5,1,0.0640139000321853,0.0006361323155216285,0.9471282877079978,4.797217607498169
BitcoinTransactions,1,428,64,0.15,0.5,2,0.07213440080610892,0.0016611295681063123,0.9967793880837359,4.621744632720947
BitcoinTransactions,1,428,64,0.15,0.5,3,0.08072838366394898,0.0030413625304136255,0.9919484702093397,4.565847158432007
BitcoinTransactions,1,428,64,0.15,0.5,4,0.08221554129084646,0.0014765596160944998,0.9741009125067096,4.734638929367065
BitcoinTransactions,1,428,64,0.15,0.5,5,0.06746110238864206,0.000980392156862745,0.9932903918411164,4.779841899871826
BitcoinTransactions,1,428,86,0.2,0.5,1,0.07826570528336399,0.0010230179028132991,0.984970477724101,4.748403787612915
BitcoinTransactions,1,428,86,0.2,0.5,2,0.059006237774547055,0.0012853470437017994,0.9814814814814815,4.772401809692383
BitcoinTransactions,1,428,86,0.2,0.5,3,0.08177790995147222,0.0026578073089701,0.991009125067096,4.49339747428894
BitcoinTransactions,1,428,86,0.2,0.5,4,0.08060505036895727,0.0014503263234227702,0.9915458937198067,4.753233432769775
BitcoinTransactions,1,428,86,0.2,0.5,5,0.07319187973379457,0.0014727540500736377,0.9924852388620504,4.756836414337158
BitcoinTransactions,1,428,108,0.25,0.5,1,0.06310055478619869,0.0012919896640826874,0.9936929683306495,4.764261245727539
BitcoinTransactions,1,428,108,0.25,0.5,2,0.05890351246349375,0.0008149959250203749,0.9820182501341922,4.801900863647461
BitcoinTransactions,1,428,108,0.25,0.5,3,0.07272802089850956,0.001534526854219949,0.9818840579710145,4.766571521759033
BitcoinTransactions,1,428,108,0.25,0.5,4,0.0794774680269707,0.003026634382566586,0.987385936661299,4.516577482223511
BitcoinTransactions,1,428,108,0.25,0.5,5,0.07959655590451964,0.0008333333333333334,0.9703435319377348,4.745814561843872
BitcoinTransactions,1,428,129,0.3,0.5,1,0.07033675900292125,0.002803738317757009,0.9971819645732689,4.54126501083374
BitcoinTransactions,1,428,129,0.3,0.5,2,0.07485084138323161,0.0015113350125944584,0.9770531400966184,4.780109882354736
BitcoinTransactions,1,428,129,0.3,0.5,3,0.06933099924802781,0.0017006802721088435,0.9794685990338164,4.75437331199646
BitcoinTransactions,1,428,129,0.3,0.5,4,0.06612101457771061,0.0007233273056057866,0.9491411701556629,4.765348672866821
BitcoinTransactions,1,428,129,0.3,0.5,5,0.06961730192507633,0.000835421888053467,0.9549114331723028,4.781501293182373
BitcoinTransactions,1,428,150,0.35,0.5,1,0.07544788333966577,0.0018083182640144665,0.9970477724100912,4.7694993019104
BitcoinTransactions,1,428,150,0.35,0.5,2,0.062114517800564754,0.002707581227436823,0.987385936661299,4.551598310470581
BitcoinTransactions,1,428,150,0.35,0.5,3,0.06410582196563944,0.0007233273056057866,0.9626945786366076,4.784051418304443
BitcoinTransactions,1,428,150,0.35,0.5,4,0.06591173857691542,0.0014689680499449136,0.9542404723564144,4.752222776412964
BitcoinTransactions,1,428,150,0.35,0.5,5,0.06981144747384002,0.0011309018942606728,0.9618894256575417,4.74956488609314
BitcoinTransactions,1,428,172,0.4,0.5,1,0.06968596750293152,0.0011971268954509178,0.96658615136876,4.7042200565338135
BitcoinTransactions,1,428,172,0.4,0.5,2,0.06635025348064894,0.0009791122715404699,0.9549114331723028,4.7243828773498535
BitcoinTransactions,1,428,172,0.4,0.5,3,0.06226089365021456,0.0008210180623973727,0.9796027911969941,4.805215120315552
BitcoinTransactions,1,428,172,0.4,0.5,4,0.07910159552281244,0.0047169811320754715,1.0,4.488017797470093
BitcoinTransactions,1,428,172,0.4,0.5,5,0.06730053786750578,0.0010687566797292483,0.9461889425657541,4.750840902328491
BitcoinTransactions,1,428,194,0.45,0.5,1,0.0649037231894382,0.00108499095840868,0.9618894256575417,4.765231370925903
BitcoinTransactions,1,428,194,0.45,0.5,2,0.06665382542365769,0.0014540167211922936,0.9859098228663447,4.740074157714844
BitcoinTransactions,1,428,194,0.45,0.5,3,0.06258953904534384,0.0006297229219143577,0.9582662372517445,4.77379298210144
BitcoinTransactions,1,428,194,0.45,0.5,4,0.0617146844867915,0.0010795250089960418,0.9699409554482018,4.757444858551025
BitcoinTransactions,1,428,194,0.45,0.5,5,0.0722025324066625,0.0025906735751295338,1.0,4.739772081375122
BitcoinTransactions,1,428,215,0.5,0.5,1,0.06980966923650153,0.0022114108801415304,0.9838969404186796,4.538325548171997
BitcoinTransactions,1,428,215,0.5,0.5,2,0.06464874913116804,0.0008525149190110827,0.9710144927536232,4.77550196647644
BitcoinTransactions,1,428,215,0.5,0.5,3,0.06259510488870762,0.0017699115044247787,0.953166935050993,4.514146327972412
BitcoinTransactions,1,428,215,0.5,0.5,4,0.06207149694309166,0.0006361323155216285,0.9584004294149222,4.773470401763916
BitcoinTransactions,1,428,215,0.5,0.5,5,0.07492486435141434,0.001288659793814433,0.9814814814814815,4.743232488632202
BitcoinTransactions,1,428,237,0.55,0.5,1,0.06304914643147475,0.0008312551953449709,0.985373054213634,4.777661561965942
BitcoinTransactions,1,428,237,0.55,0.5,2,0.07129146132255965,0.000625,0.9382716049382716,4.7432615756988525
BitcoinTransactions,1,428,237,0.55,0.5,3,0.06747744575811775,0.00101010101010101,0.9644390767579173,4.765499830245972
BitcoinTransactions,1,428,237,0.55,0.5,4,0.06568054231659794,0.0014540167211922936,0.9844337090713903,4.762746334075928
BitcoinTransactions,1,428,237,0.55,0.5,5,0.08040239696781264,0.0010362694300518134,0.9871175523349437,4.704770803451538
BitcoinTransactions,1,428,258,0.6,0.5,1,0.06268560956297041,0.0019083969465648854,0.9997316156736447,4.7366204261779785
BitcoinTransactions,1,428,258,0.6,0.5,2,0.060694715912494764,0.0006203473945409429,0.953166935050993,4.779416084289551
BitcoinTransactions,1,428,258,0.6,0.5,3,0.0651093887428477,0.0010905125408942203,0.9838969404186796,4.767473936080933
BitcoinTransactions,1,428,258,0.6,0.5,4,0.07062282297860656,0.001507537688442211,0.990606548577563,4.68585729598999
BitcoinTransactions,1,428,258,0.6,0.5,5,0.07232632732304095,0.0014466546112115732,0.988593666129898,4.756210803985596
BitcoinTransactions,1,428,280,0.65,0.5,1,0.06631252289333714,0.0012626262626262627,0.9990606548577563,4.784160137176514
BitcoinTransactions,1,428,280,0.65,0.5,2,0.06347949568834381,0.0012594458438287153,0.9808105206655932,4.759287595748901
BitcoinTransactions,1,428,280,0.65,0.5,3,0.07059988347185264,0.0012626262626262627,0.9871175523349437,4.7806782722473145
BitcoinTransactions,1,428,280,0.65,0.5,4,0.06304970836627384,0.0007178750897343862,0.9614868491680086,4.718767881393433
BitcoinTransactions,1,428,280,0.65,0.5,5,0.0852753388168361,0.0018703241895261845,0.9908749329039184,4.733067035675049
BitcoinTransactions,1,428,301,0.7,0.5,1,0.0649666051937947,0.0010230179028132991,0.9863123993558777,4.774861812591553
BitcoinTransactions,1,428,301,0.7,0.5,2,0.06225129883713266,0.00108499095840868,0.9742351046698873,4.798551321029663
BitcoinTransactions,1,428,301,0.7,0.5,3,0.07247550201742067,0.0019665683382497543,0.9997316156736447,4.602181673049927
BitcoinTransactions,1,428,301,0.7,0.5,4,0.0695538209993959,0.0010822510822510823,0.9887278582930756,4.765347480773926
BitcoinTransactions,1,428,301,0.7,0.5,5,0.08257314785208739,0.0016096579476861167,0.990606548577563,4.596649646759033
BitcoinTransactions,1,428,322,0.75,0.5,1,0.06379815051497066,0.0009445843828715365,0.9681964573268921,4.800614833831787
BitcoinTransactions,1,428,322,0.75,0.5,2,0.07232584099525396,0.0013054830287206266,0.961755233494364,4.710576772689819
BitcoinTransactions,1,428,322,0.75,0.5,3,0.06987401540067405,0.0012658227848101266,0.9732957595276436,4.773870944976807
BitcoinTransactions,1,428,322,0.75,0.5,4,0.07984250050356953,0.0015151515151515152,0.9965110037573806,4.7575132846832275
BitcoinTransactions,1,428,322,0.75,0.5,5,0.06549873659660206,0.0012531328320802004,0.9845679012345679,4.772357702255249
BitcoinTransactions,1,428,344,0.8,0.5,1,0.08395397948039802,0.003367003367003367,1.0,4.5888683795928955
BitcoinTransactions,1,428,344,0.8,0.5,2,0.06845804052386192,0.0015625,0.9660493827160493,4.550507307052612
BitcoinTransactions,1,428,344,0.8,0.5,3,0.07388874471765887,0.002035623409669211,0.986983360171766,4.725342512130737
