network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,1,0.35459855302466037,0.002161383285302594,0.9997289238275956,
Facebook,1,350,0,0,,2,0.1687887818187299,0.0004775549188156638,0.9964760097587422,
Facebook,1,350,0,0,,3,0.5033010591762737,0.0011494252873563218,0.3195988072648414,
Facebook,1,350,0,0,,4,0.4746556629731624,0.0005813953488372093,0.5136893467064245,
Facebook,1,350,0,0,,5,0.4504432283902481,0.0017341040462427746,0.8769314177283817,
Facebook,1,350,0,0,,6,0.36188451616518874,0.0015151515151515152,0.8818107888316618,
Facebook,1,350,0,0,,7,0.5782360686578814,0.0009633911368015414,0.5294117647058824,
Facebook,1,350,0,0,,8,0.3624669669030196,0.001466275659824047,0.8734074274871239,
Facebook,1,350,0,0,,9,0.2879102907267564,0.001932367149758454,0.9997289238275956,
Facebook,1,350,0,0,,10,0.36679750037904546,0.0009578544061302681,0.2214692328544321,
Facebook,1,350,0,0,,11,0.42790612647981485,0.0011695906432748538,0.6714556790458118,
Facebook,1,350,0,0,,12,0.4610758802408571,0.0017543859649122807,0.8498238004879372,
Facebook,1,350,0,0,,13,0.5155796616111592,0.0011730205278592375,0.6692870696665764,
Facebook,1,350,0,0,,14,0.5760225003292998,0.0004789272030651341,0.2873407427487124,
Facebook,1,350,0,0,,15,0.5102306000679611,0.0009606147934678194,0.5120628896719979,
Facebook,1,350,0,0,,16,0.4386417992469806,0.001445086705202312,0.3599891569531038,
Facebook,1,350,0,0,,17,0.24898274625958705,0.0007288629737609329,0.39821089726213066,
Facebook,1,350,0,0,,18,0.41706133949343416,0.0005763688760806917,0.3567362428842505,
Facebook,1,350,0,0,,19,0.5115156595884569,0.002325581395348837,0.880184331797235,
Facebook,1,350,0,0,,20,0.47357835905408363,0.0,0.12198427758200055,
Facebook,1,350,0,0,,21,0.5386270052545876,0.0005730659025787965,0.18487394957983194,
Facebook,1,350,0,0,,22,0.338055672567794,0.0009551098376313276,0.5651938194632692,
Facebook,1,350,0,0,,23,0.530650037568879,0.0011527377521613833,0.39821089726213066,
Facebook,1,350,0,0,,24,0.38061930913053493,0.0014619883040935672,0.8717809704526972,
Facebook,1,350,0,0,,25,0.24237581360043525,0.0004116920543433512,0.8411493629709949,
Facebook,1,350,0,0,,26,0.6157954718210469,0.0009633911368015414,0.3738140417457306,
Facebook,1,350,0,0,,27,0.34855911114231025,0.002180232558139535,0.9994578476551911,
Facebook,1,350,0,0,,28,0.3393420701512196,0.0014534883720930232,0.8804554079696395,
Facebook,1,350,0,0,,29,0.3378101552689595,0.0011627906976744186,0.32203849281648145,
Facebook,1,350,0,0,,30,0.46087723973791334,0.0011494252873563218,0.7847655191108701,
Facebook,1,350,0,0,,31,0.3398585835798697,0.0007331378299120235,0.7619951206288967,
Facebook,1,350,0,0,,32,0.45159927158046204,0.0008281573498964803,0.787747357007319,
Facebook,1,350,0,0,,33,0.5615012287311704,0.001749271137026239,0.7142857142857143,
Facebook,1,350,0,0,,34,0.5211795285211348,0.001001001001001001,0.6787747357007319,
Facebook,1,350,0,0,,35,0.34386448251501295,0.001749271137026239,0.9994578476551911,
Facebook,1,350,0,0,,36,0.44365585919879436,0.001466275659824047,0.7430197885605855,
Facebook,1,350,0,0,,37,0.37542710220242814,0.0021929824561403508,0.9994578476551911,
Facebook,1,350,0,0,,38,0.27708278603269937,0.0014492753623188406,0.9991867714827867,
Facebook,1,350,0,0,,39,0.6293081578005278,0.0009689922480620155,0.481160206017891,
Facebook,1,350,0,0,,40,0.47466341899724696,0.0011594202898550724,0.7237733803198699,
Facebook,1,350,0,0,,41,0.33601050119579184,0.001445086705202312,0.7636215776633234,
Facebook,1,350,0,0,,42,0.34245273748041843,0.0011527377521613833,0.7191650853889943,
Facebook,1,350,0,0,,43,0.4618939946943307,0.0014367816091954023,0.576036866359447,
Facebook,1,350,0,0,,44,0.26161908918049487,0.0011560693641618498,0.9991867714827867,
Facebook,1,350,0,0,,45,0.35314968837199096,0.0017857142857142857,0.9994578476551911,
Facebook,1,350,0,0,,46,0.5229723498374341,0.0005813953488372093,0.5847113038763893,
Facebook,1,350,0,0,,47,0.3119269681592246,0.0005813953488372093,0.8210897262130659,
Facebook,1,350,0,0,,48,0.6105123636049011,0.0004830917874396135,0.21713201409596097,
Facebook,1,350,0,0,,49,0.4360536402631677,0.0009578544061302681,0.6424505285985362,
Facebook,1,350,0,0,,50,0.48805878773391065,0.001445086705202312,0.7186229330441855,
Facebook,1,350,28,0.01,0.5,1,0.2662444401669487,0.00037425149700598805,0.8530767145567905,3.4552109241485596
Facebook,1,350,28,0.01,0.5,2,0.18514753939315856,0.0007204610951008645,0.9972892382759555,3.51306414604187
Facebook,1,350,28,0.01,0.5,3,0.3267965281069833,0.001996007984031936,0.855787476280835,2.968566656112671
Facebook,1,350,28,0.01,0.5,4,0.1736816076702112,0.00037313432835820896,0.9959338574139334,3.3015267848968506
Facebook,1,350,28,0.01,0.5,5,0.17414163442096853,0.00033068783068783067,0.9953917050691244,3.063016891479492
Facebook,1,350,28,0.01,0.5,6,0.24663851201281475,0.0007462686567164179,0.9981024667931688,3.212759017944336
Facebook,1,350,28,0.01,0.5,7,0.3262608861407172,0.0012831479897348161,0.9986446191379778,2.9939277172088623
Facebook,1,350,28,0.01,0.5,8,0.26439626983772296,0.0012084592145015106,0.9981024667931688,3.0924904346466064
Facebook,1,350,28,0.01,0.5,9,0.25281011335514647,0.0017341040462427746,0.9989156953103823,3.149608612060547
Facebook,1,350,28,0.01,0.5,10,0.09495159842098233,0.0008695652173913044,0.9924098671726755,3.2851154804229736
Facebook,1,350,28,0.01,0.5,11,0.17085812118582655,0.0003058103975535168,0.9948495527243155,3.063656806945801
Facebook,1,350,28,0.01,0.5,12,0.2636965531938715,0.00037537537537537537,0.8555164001084304,3.226003885269165
Facebook,1,350,28,0.01,0.5,13,0.17085445794795265,0.0005988023952095808,0.9981024667931688,3.065279960632324
Facebook,1,350,28,0.01,0.5,14,0.26426132053562507,0.0010070493454179255,0.9981024667931688,3.2365615367889404
Facebook,1,350,28,0.01,0.5,15,0.1703034121171409,0.00034083162917518747,0.9948495527243155,3.0667812824249268
Facebook,1,350,28,0.01,0.5,16,0.17282460066568978,0.000333667000333667,0.9964760097587422,3.190423011779785
Facebook,1,350,28,0.01,0.5,17,0.17335001339111167,0.00033467202141900936,0.9962049335863378,3.08621883392334
Facebook,1,350,28,0.01,0.5,18,0.1843217794555002,0.0007882291119285339,0.9959338574139334,3.5020785331726074
Facebook,1,350,28,0.01,0.5,19,0.3222435289127832,0.0012012012012012011,0.8582271618324749,2.9716908931732178
Facebook,1,350,28,0.01,0.5,20,0.32671933475282056,0.0011869436201780415,0.855787476280835,3.2259280681610107
Facebook,1,350,28,0.01,0.5,21,0.18624995757505589,0.0007204610951008645,0.9978313906207644,3.0396018028259277
Facebook,1,350,28,0.01,0.5,22,0.32596908709731787,0.000998003992015968,0.855245323936026,3.1889472007751465
Facebook,1,350,28,0.01,0.5,23,0.17115781668770508,0.00038109756097560977,0.9951206288967199,3.048534393310547
Facebook,1,350,28,0.01,0.5,24,0.26444794511567526,0.0007530120481927711,0.9978313906207644,3.182290554046631
Facebook,1,350,28,0.01,0.5,25,0.2647069359377548,0.0005970149253731343,0.8547031715912171,3.266897439956665
Facebook,1,350,28,0.01,0.5,26,0.2331938279577813,0.0007530120481927711,0.9978313906207644,3.5278849601745605
Facebook,1,350,28,0.01,0.5,27,0.265041522471755,0.001004016064257028,0.9989156953103823,3.4091649055480957
Facebook,1,350,28,0.01,0.5,28,0.1733596335791556,0.0004302925989672978,0.9943074003795066,3.5990281105041504
Facebook,1,350,28,0.01,0.5,29,0.24811789032248874,0.001749271137026239,0.9994578476551911,3.364600896835327
Facebook,1,350,28,0.01,0.5,30,0.17172597253763788,0.00030395136778115504,0.9940363242071022,3.5509912967681885
Facebook,1,350,28,0.01,0.5,31,0.2630589991108569,0.0007598784194528875,0.9972892382759555,3.3465898036956787
Facebook,1,350,28,0.01,0.5,32,0.1791057001898621,0.00033467202141900936,0.9967470859311467,3.364875555038452
Facebook,1,350,28,0.01,0.5,33,0.17156458946034672,0.00043159257660768235,0.9951206288967199,3.184919834136963
Facebook,1,350,28,0.01,0.5,34,0.3261465645093671,0.0018126888217522659,0.9991867714827867,3.1940722465515137
Facebook,1,350,28,0.01,0.5,35,0.17357661779295636,0.00033068783068783067,0.9953917050691244,3.1203598976135254
Facebook,1,350,28,0.01,0.5,36,0.26315838675971936,0.000505050505050505,0.8544320954188127,3.2293293476104736
Facebook,1,350,28,0.01,0.5,37,0.18486241639414333,0.0008281573498964803,0.9962049335863378,3.118546962738037
Facebook,1,350,28,0.01,0.5,38,0.2641000493289332,0.000429000429000429,0.8533477907291949,3.249246120452881
Facebook,1,350,28,0.01,0.5,39,0.22967145644587983,0.0009891196834817012,0.8525345622119815,3.063464641571045
Facebook,1,350,28,0.01,0.5,40,0.17202486247759416,0.00042643923240938164,0.9962049335863378,3.26253604888916
Facebook,1,350,28,0.01,0.5,41,0.26402410140665644,0.001001001001001001,0.852805638384386,3.0545828342437744
Facebook,1,350,28,0.01,0.5,42,0.23376471452057798,0.0012158054711246201,0.9983735429655733,3.2049858570098877
Facebook,1,350,28,0.01,0.5,43,0.3289179014036798,0.0014970059880239522,0.8560585524532394,3.108792543411255
Facebook,1,350,28,0.01,0.5,44,0.16374335051289737,0.0004152823920265781,0.9972892382759555,3.352010488510132
Facebook,1,350,28,0.01,0.5,45,0.17288564558574804,0.00033266799733865603,0.9962049335863378,3.1237728595733643
Facebook,1,350,28,0.01,0.5,46,0.26458201937151243,0.0014970059880239522,0.9989156953103823,3.211099147796631
Facebook,1,350,28,0.01,0.5,47,0.2402534344592285,0.00101010101010101,0.9978313906207644,3.080949306488037
Facebook,1,350,28,0.01,0.5,48,0.32899433024549585,0.0009950248756218905,0.8547031715912171,3.2972068786621094
Facebook,1,350,28,0.01,0.5,49,0.17828583815635254,0.000502008032128514,0.9967470859311467,3.1147828102111816
Facebook,1,350,28,0.01,0.5,50,0.2637730797702129,0.00101010101010101,0.9983735429655733,3.2281413078308105
Facebook,1,350,142,0.05,0.5,1,0.16352664946934395,0.00040064102564102563,0.9943074003795066,3.16709303855896
Facebook,1,350,142,0.05,0.5,2,0.255354481073146,0.0009041591320072332,0.9986446191379778,3.4704484939575195
Facebook,1,350,142,0.05,0.5,3,0.2557102801813493,0.0015923566878980893,0.9989156953103823,3.333059787750244
Facebook,1,350,142,0.05,0.5,4,0.31722103288818837,0.0015822784810126582,0.9991867714827867,3.3593499660491943
Facebook,1,350,142,0.05,0.5,5,0.18483857260745523,0.000505050505050505,0.9970181621035511,3.140796422958374
Facebook,1,350,142,0.05,0.5,6,0.1830260766573441,0.000835421888053467,0.9943074003795066,3.2774250507354736
Facebook,1,350,142,0.05,0.5,7,0.31793879454054286,0.0018927444794952682,0.9994578476551911,3.0641322135925293
Facebook,1,350,142,0.05,0.5,8,0.15480928511266817,0.0007485029940119761,0.9970181621035511,3.290684938430786
Facebook,1,350,142,0.05,0.5,9,0.31754916856552023,0.0012539184952978057,0.8563296286256438,3.0416600704193115
Facebook,1,350,142,0.05,0.5,10,0.0947810035574873,0.0002915451895043732,0.9918677148278666,3.4280190467834473
Facebook,1,350,142,0.05,0.5,11,0.23308054065723105,0.0015432098765432098,0.9981024667931688,3.1877849102020264
