network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,305,0,0,,1,0.6279937962897614,0.0002990430622009569,0.41,
Wiki,1,305,0,0,,2,0.8691604078146824,0.0004714757190004715,0.3861904761904762,
Wiki,1,305,0,0,,3,0.8415868808559758,0.00023496240601503758,0.13428571428571429,
Wiki,1,305,0,0,,4,0.7622809065633528,0.000275027502750275,0.30952380952380953,
Wiki,1,305,0,0,,5,0.8241116195637921,0.0,0.0038095238095238095,
Wiki,1,305,0,0,,6,0.8372640423447637,0.0,0.002857142857142857,
Wiki,1,305,0,0,,7,0.7083717965737427,0.0004415011037527594,0.34809523809523807,
Wiki,1,305,0,0,,8,0.8603536446118347,0.0005077430820005078,0.2761904761904762,
Wiki,1,305,0,0,,9,0.939363777439837,0.0,0.0038095238095238095,
Wiki,1,305,0,0,,10,0.7859008632097062,0.00020559210526315788,0.34095238095238095,
Wiki,1,305,0,0,,11,0.9465791427112604,0.0,0.0033333333333333335,
Wiki,1,305,0,0,,12,0.6540435653209559,0.00025303643724696357,0.43857142857142856,
Wiki,1,305,0,0,,13,0.685370218540341,0.0,0.19857142857142857,
Wiki,1,305,0,0,,14,0.903569299536089,0.0002192982456140351,0.13523809523809524,
Wiki,1,305,0,0,,15,0.8690648601211198,0.0002538715410002539,0.19380952380952382,
Wiki,1,305,0,0,,16,0.6576044400025226,0.0003289473684210526,0.18714285714285714,
Wiki,1,305,0,0,,17,0.888609934446582,0.00023496240601503758,0.062380952380952384,
Wiki,1,305,0,0,,18,0.81076516735201,0.0005077430820005078,0.4123809523809524,
Wiki,1,305,0,0,,19,0.719968150004706,0.0004415011037527594,0.4714285714285714,
Wiki,1,305,0,0,,20,0.8736967215839742,0.0002192982456140351,0.18904761904761905,
Wiki,1,305,0,0,,21,0.800567691302199,0.00023573785950023574,0.2633333333333333,
Wiki,1,305,0,0,,22,0.8230886665337679,0.00025303643724696357,0.19380952380952382,
Wiki,1,305,0,0,,23,0.8260125044634076,0.00025303643724696357,0.13380952380952382,
Wiki,1,305,0,0,,24,0.746884017686872,0.00027412280701754384,0.1895238095238095,
Wiki,1,305,0,0,,25,0.7612326590729576,0.00025303643724696357,0.2914285714285714,
Wiki,1,305,0,0,,26,0.7474057227594042,0.0,0.002380952380952381,
Wiki,1,305,0,0,,27,0.8111285359209085,0.0002192982456140351,0.19333333333333333,
Wiki,1,305,0,0,,28,0.7761118273558123,0.0002192982456140351,0.2276190476190476,
Wiki,1,305,0,0,,29,0.7867299305307829,0.0,0.08571428571428572,
Wiki,1,305,0,0,,30,0.7514136036114584,0.0002538715410002539,0.19238095238095237,
Wiki,1,305,0,0,,31,0.8653381932591341,0.0,0.004761904761904762,
Wiki,1,305,0,0,,32,0.6451203100255788,0.00027412280701754384,0.40095238095238095,
Wiki,1,305,0,0,,33,0.8167125311706942,0.0002538715410002539,0.21523809523809523,
Wiki,1,305,0,0,,34,0.9060337190316773,0.00025303643724696357,0.09904761904761905,
Wiki,1,305,0,0,,35,0.6411899183943811,0.0,0.24333333333333335,
Wiki,1,305,0,0,,36,0.6979157420820076,0.00027412280701754384,0.4380952380952381,
Wiki,1,305,0,0,,37,0.844689845982853,0.00025303643724696357,0.2823809523809524,
Wiki,1,305,0,0,,38,0.577824861816263,0.00030003000300030005,0.5638095238095238,
Wiki,1,305,0,0,,39,0.6674101907915413,0.00023573785950023574,0.27380952380952384,
Wiki,1,305,0,0,,40,0.5054746772368914,0.0,0.5142857142857142,
Wiki,1,305,0,0,,41,0.7845608884872802,0.00025303643724696357,0.18428571428571427,
Wiki,1,305,0,0,,42,0.7166009291854308,0.0002990430622009569,0.23333333333333334,
Wiki,1,305,0,0,,43,0.5492544412372833,0.0002990430622009569,0.2842857142857143,
Wiki,1,305,0,0,,44,0.9062471286682248,0.00020627062706270627,0.13333333333333333,
Wiki,1,305,0,0,,45,0.5800666304280601,0.00027412280701754384,0.2542857142857143,
Wiki,1,305,0,0,,46,0.9452420123286066,0.0002192982456140351,0.13285714285714287,
Wiki,1,305,0,0,,47,0.8656477721324474,0.00023573785950023574,0.2580952380952381,
Wiki,1,305,0,0,,48,0.7314827984850835,0.00023496240601503758,0.3280952380952381,
Wiki,1,305,0,0,,49,0.7973633738619961,0.00023496240601503758,0.2319047619047619,
Wiki,1,305,0,0,,50,0.7063978964151775,0.00025303643724696357,0.39666666666666667,
Wiki,1,305,8,0.01,0.5,1,0.09408703092057273,0.0,0.9961904761904762,2.5094175338745117
Wiki,1,305,8,0.01,0.5,2,0.09412811856885311,0.0,0.9957142857142857,2.3943095207214355
Wiki,1,305,8,0.01,0.5,3,0.09385635985635979,0.0,0.9976190476190476,2.385132074356079
Wiki,1,305,8,0.01,0.5,4,0.09450084642232519,0.0,0.9952380952380953,2.3624935150146484
Wiki,1,305,8,0.01,0.5,5,0.09395133617739311,0.0006578947368421052,0.9952380952380953,2.2340641021728516
Wiki,1,305,8,0.01,0.5,6,0.09561510969439202,0.0,0.9861904761904762,2.2584125995635986
Wiki,1,305,8,0.01,0.5,7,0.09447623720235421,0.0008223684210526315,0.9985714285714286,2.4428555965423584
Wiki,1,305,8,0.01,0.5,8,0.09399287042945369,0.001644736842105263,0.9990476190476191,2.233206272125244
Wiki,1,305,8,0.01,0.5,9,0.09381412820213807,0.0,0.9985714285714286,2.2395033836364746
Wiki,1,305,8,0.01,0.5,10,0.093777948523859,0.0,0.9952380952380953,2.3211843967437744
