network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.06738148128254053,0.001098901098901099,0.9660493827160493,
BitcoinTransactions,1,428,0,0,,2,0.07089820811555857,0.0015814443858724301,0.9702093397745571,
BitcoinTransactions,1,428,0,0,,3,0.06743351760176008,0.001841620626151013,0.9912775093934514,
BitcoinTransactions,1,428,0,0,,4,0.060629825673192826,0.0008635578583765112,0.9734299516908212,
BitcoinTransactions,1,428,0,0,,5,0.06328711926326151,0.0010245901639344263,0.9871175523349437,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.06946524232735297,0.0014803849000740192,0.9808105206655932,4.375592470169067
BitcoinTransactions,1,428,4,0.01,0.5,2,0.06653684440245745,0.0017094017094017094,0.9859098228663447,4.407111644744873
BitcoinTransactions,1,428,4,0.01,0.5,3,0.06585658125193639,0.002158273381294964,0.96658615136876,4.191823959350586
BitcoinTransactions,1,428,4,0.01,0.5,4,0.08020219538083445,0.0013089005235602095,0.988191089640365,4.400535583496094
BitcoinTransactions,1,428,4,0.01,0.5,5,0.058177284369543704,0.0008748906386701663,0.988191089640365,4.435867071151733
BitcoinTransactions,1,428,22,0.05,0.5,1,0.0673740510949056,0.0012690355329949238,0.9813472893183038,4.478252410888672
BitcoinTransactions,1,428,22,0.05,0.5,2,0.07556844289019475,0.0017316017316017316,0.9877885131508319,4.408383846282959
BitcoinTransactions,1,428,22,0.05,0.5,3,0.07512183225580504,0.0012642225031605564,0.951959205582394,4.282097101211548
BitcoinTransactions,1,428,22,0.05,0.5,4,0.05961772756000107,0.0015384615384615385,0.9837627482555019,4.410982847213745
BitcoinTransactions,1,428,22,0.05,0.5,5,0.07565710280469506,0.0012953367875647669,0.9856414385399893,4.389142036437988
BitcoinTransactions,1,428,43,0.1,0.5,1,0.0679497104554642,0.0008417508417508417,0.9441760601180891,4.435329437255859
BitcoinTransactions,1,428,43,0.1,0.5,2,0.07197897032706539,0.0007270083605961468,0.9664519592055824,4.390491485595703
BitcoinTransactions,1,428,43,0.1,0.5,3,0.07240062303240666,0.0015424164524421595,0.9911433172302737,4.405718564987183
BitcoinTransactions,1,428,43,0.1,0.5,4,0.0693118299514163,0.001893939393939394,0.9928878153515834,4.251096725463867
BitcoinTransactions,1,428,43,0.1,0.5,5,0.07245221970011989,0.0012787723785166241,0.984970477724101,4.404567718505859
BitcoinTransactions,1,428,64,0.15,0.5,1,0.07233742257927986,0.001272264631043257,0.9845679012345679,4.40328049659729
BitcoinTransactions,1,428,64,0.15,0.5,2,0.06637428961524125,0.0010126582278481013,0.9636339237788513,4.418991804122925
BitcoinTransactions,1,428,64,0.15,0.5,3,0.06426856278465262,0.000859106529209622,0.987385936661299,4.383146047592163
BitcoinTransactions,1,428,64,0.15,0.5,4,0.05923361151496314,0.0007022471910112359,0.9715512614063339,4.272978782653809
BitcoinTransactions,1,428,64,0.15,0.5,5,0.06387606799665489,0.0012594458438287153,0.9959742351046699,4.417168140411377
BitcoinTransactions,1,428,86,0.2,0.5,1,0.0668792129600799,0.001484230055658627,0.9896672034353193,4.388120174407959
BitcoinTransactions,1,428,86,0.2,0.5,2,0.05995694966120508,0.00031645569620253165,0.9472624798711755,4.411204099655151
BitcoinTransactions,1,428,86,0.2,0.5,3,0.06660117596655524,0.0010204081632653062,0.9848362855609233,4.41297459602356
BitcoinTransactions,1,428,86,0.2,0.5,4,0.07005288550557379,0.0012755102040816326,0.9920826623725174,4.403090000152588
BitcoinTransactions,1,428,86,0.2,0.5,5,0.07555013893229426,0.0017647058823529412,0.9848362855609233,4.234996795654297
BitcoinTransactions,1,428,108,0.25,0.5,1,0.07881141097752538,0.002129925452609159,0.9848362855609233,4.268173933029175
BitcoinTransactions,1,428,108,0.25,0.5,2,0.07329914677045123,0.0019329896907216496,0.9875201288244766,4.404836893081665
BitcoinTransactions,1,428,108,0.25,0.5,3,0.0665025963469992,0.0014503263234227702,0.9876543209876543,4.4621922969818115
BitcoinTransactions,1,428,108,0.25,0.5,4,0.08062392675585174,0.002145002145002145,0.9691358024691358,4.1937456130981445
BitcoinTransactions,1,428,108,0.25,0.5,5,0.07192574400580226,0.0007363770250368188,0.9762479871175523,4.390625238418579
BitcoinTransactions,1,428,129,0.3,0.5,1,0.07433899959707643,0.000859106529209622,0.9871175523349437,4.402410268783569
BitcoinTransactions,1,428,129,0.3,0.5,2,0.06439400901324982,0.000505050505050505,0.9842995169082126,4.3966357707977295
BitcoinTransactions,1,428,129,0.3,0.5,3,0.07083658733574397,0.0015267175572519084,0.9903381642512077,4.417764663696289
BitcoinTransactions,1,428,129,0.3,0.5,4,0.0686370887966957,0.0015304560759106215,0.9761137949543747,4.355592489242554
BitcoinTransactions,1,428,129,0.3,0.5,5,0.060270984316986013,0.0004284490145672665,0.9582662372517445,4.422934055328369
BitcoinTransactions,1,428,150,0.35,0.5,1,0.06731764524353799,0.001282051282051282,0.9919484702093397,4.397546052932739
BitcoinTransactions,1,428,150,0.35,0.5,2,0.07212466152631015,0.0016963528413910093,0.9814814814814815,4.424123764038086
BitcoinTransactions,1,428,150,0.35,0.5,3,0.06602625205397311,0.0004938271604938272,0.985775630703167,4.440521478652954
BitcoinTransactions,1,428,150,0.35,0.5,4,0.0652941242442747,0.0008375209380234506,0.951959205582394,4.436156749725342
BitcoinTransactions,1,428,150,0.35,0.5,5,0.06685944557775991,0.0010126582278481013,0.940955448201825,4.427203893661499
BitcoinTransactions,1,428,172,0.4,0.5,1,0.060007358999336936,0.0015625,0.9588030059044552,4.424249172210693
BitcoinTransactions,1,428,172,0.4,0.5,2,0.08825861738973455,0.002064409578860446,0.9884594739667203,4.253176689147949
BitcoinTransactions,1,428,172,0.4,0.5,3,0.07173674182439937,0.0012468827930174563,0.9818840579710145,4.429723262786865
BitcoinTransactions,1,428,172,0.4,0.5,4,0.0820557872326061,0.0014084507042253522,0.9338432635534085,4.267390966415405
BitcoinTransactions,1,428,172,0.4,0.5,5,0.07356989225694735,0.0014851485148514852,0.9618894256575417,4.397103309631348
BitcoinTransactions,1,428,194,0.45,0.5,1,0.07280106404926898,0.0011251758087201125,0.9828234031132582,4.418354034423828
BitcoinTransactions,1,428,194,0.45,0.5,2,0.07557365554916137,0.001404001404001404,0.9801395598497048,4.425189971923828
