network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,1,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,2,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,3,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,4,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,5,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,6,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,7,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,8,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,9,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,10,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,11,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,12,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,13,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,14,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,15,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,16,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,17,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,18,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,19,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,20,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,21,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,22,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,23,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,24,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,25,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,26,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,27,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,28,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,29,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,30,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,31,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,32,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,33,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,34,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,35,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,36,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,37,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,38,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,39,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,40,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,41,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,42,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,43,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,44,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,45,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,46,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,47,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,48,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,49,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,50,0.09510350340677516,0.0,1.0,
Facebook,1,350,28,0.01,0.5,1,0.09510350340677516,0.0,1.0,3.5182085037231445
Facebook,1,350,28,0.01,0.5,2,0.09510350340677516,0.0,1.0,3.682295560836792
Facebook,1,350,28,0.01,0.5,3,0.09510350340677516,0.0,1.0,3.495757818222046
Facebook,1,350,28,0.01,0.5,4,0.09510350340677516,0.0,1.0,3.4863202571868896
Facebook,1,350,28,0.01,0.5,5,0.09510350340677516,0.0,1.0,3.494879961013794
Facebook,1,350,28,0.01,0.5,6,0.09510350340677516,0.0,1.0,3.710923910140991
Facebook,1,350,28,0.01,0.5,7,0.09510350340677516,0.0,1.0,3.4930531978607178
Facebook,1,350,28,0.01,0.5,8,0.09510350340677516,0.0,1.0,3.710604429244995
Facebook,1,350,28,0.01,0.5,9,0.09510350340677516,0.0,1.0,3.4874608516693115
Facebook,1,350,28,0.01,0.5,10,0.09510350340677516,0.0,1.0,3.738802194595337
Facebook,1,350,28,0.01,0.5,11,0.09510350340677516,0.0,1.0,3.499703884124756
Facebook,1,350,28,0.01,0.5,12,0.09510350340677516,0.0,1.0,3.712423801422119
Facebook,1,350,28,0.01,0.5,13,0.09510350340677516,0.0,1.0,3.4110779762268066
Facebook,1,350,28,0.01,0.5,14,0.09510350340677516,0.0,1.0,3.7135915756225586
Facebook,1,350,28,0.01,0.5,15,0.09510350340677516,0.0,1.0,3.499861240386963
Facebook,1,350,28,0.01,0.5,16,0.09510350340677516,0.0,1.0,3.7070207595825195
Facebook,1,350,28,0.01,0.5,17,0.09510350340677516,0.0,1.0,3.4956178665161133
Facebook,1,350,28,0.01,0.5,18,0.09510350340677516,0.0,1.0,3.641993284225464
Facebook,1,350,28,0.01,0.5,19,0.09510350340677516,0.0,1.0,3.70322585105896
Facebook,1,350,28,0.01,0.5,20,0.09510350340677516,0.0,1.0,3.4975955486297607
Facebook,1,350,28,0.01,0.5,21,0.09510350340677516,0.0,1.0,3.496152639389038
Facebook,1,350,28,0.01,0.5,22,0.09510350340677516,0.0,1.0,3.659536123275757
Facebook,1,350,28,0.01,0.5,23,0.09510350340677516,0.0,1.0,3.728280782699585
Facebook,1,350,28,0.01,0.5,24,0.09510350340677516,0.0,1.0,3.485882520675659
Facebook,1,350,28,0.01,0.5,25,0.09510350340677516,0.0,1.0,3.7217864990234375
Facebook,1,350,28,0.01,0.5,26,0.09510350340677516,0.0,1.0,3.4977567195892334
Facebook,1,350,28,0.01,0.5,27,0.09510350340677516,0.0,1.0,3.482220411300659
Facebook,1,350,28,0.01,0.5,28,0.09510350340677516,0.0,1.0,3.463132381439209
Facebook,1,350,28,0.01,0.5,29,0.09510350340677516,0.0,1.0,3.643432378768921
Facebook,1,350,28,0.01,0.5,30,0.09510350340677516,0.0,1.0,3.4815807342529297
Facebook,1,350,28,0.01,0.5,31,0.09510350340677516,0.0,1.0,3.60762882232666
Facebook,1,350,28,0.01,0.5,32,0.09510350340677516,0.0,1.0,3.364442825317383
Facebook,1,350,28,0.01,0.5,33,0.09510350340677516,0.0,1.0,3.649589776992798
Facebook,1,350,28,0.01,0.5,34,0.09510350340677516,0.0,1.0,3.4804000854492188
Facebook,1,350,28,0.01,0.5,35,0.09510350340677516,0.0,1.0,3.656745195388794
Facebook,1,350,28,0.01,0.5,36,0.09510350340677516,0.0,1.0,3.497220993041992
Facebook,1,350,28,0.01,0.5,37,0.09510350340677516,0.0,1.0,3.5053622722625732
Facebook,1,350,28,0.01,0.5,38,0.09510350340677516,0.0,1.0,3.5057265758514404
Facebook,1,350,28,0.01,0.5,39,0.09510350340677516,0.0,1.0,3.664598226547241
Facebook,1,350,28,0.01,0.5,40,0.09510350340677516,0.0,1.0,3.5033211708068848
Facebook,1,350,28,0.01,0.5,41,0.09510350340677516,0.0,1.0,3.5910420417785645
Facebook,1,350,28,0.01,0.5,42,0.09510350340677516,0.0,1.0,3.4838528633117676
Facebook,1,350,28,0.01,0.5,43,0.09510350340677516,0.0,1.0,3.65537428855896
Facebook,1,350,28,0.01,0.5,44,0.09510350340677516,0.0,1.0,3.4786536693573
Facebook,1,350,28,0.01,0.5,45,0.09510350340677516,0.0,1.0,3.665186643600464
Facebook,1,350,28,0.01,0.5,46,0.09510350340677516,0.0,1.0,3.4157145023345947
Facebook,1,350,28,0.01,0.5,47,0.09510350340677516,0.0,1.0,3.663935422897339
Facebook,1,350,28,0.01,0.5,48,0.09510350340677516,0.0,1.0,3.493617296218872
Facebook,1,350,28,0.01,0.5,49,0.09510350340677516,0.0,1.0,3.656554698944092
Facebook,1,350,28,0.01,0.5,50,0.09510350340677516,0.0,1.0,3.501138210296631
Facebook,1,350,142,0.05,0.5,1,0.09510350340677516,0.0,1.0,3.549544095993042
Facebook,1,350,142,0.05,0.5,2,0.09510350340677516,0.0,1.0,3.5080044269561768
Facebook,1,350,142,0.05,0.5,3,0.09510350340677516,0.0,1.0,3.7270164489746094
Facebook,1,350,142,0.05,0.5,4,0.09510350340677516,0.0,1.0,3.506497383117676
Facebook,1,350,142,0.05,0.5,5,0.09510350340677516,0.0,1.0,3.6567234992980957
Facebook,1,350,142,0.05,0.5,6,0.09510350340677516,0.0,1.0,3.497169256210327
Facebook,1,350,142,0.05,0.5,7,0.09510350340677516,0.0,1.0,3.7509348392486572
Facebook,1,350,142,0.05,0.5,8,0.09510350340677516,0.0,1.0,3.5212783813476562
Facebook,1,350,142,0.05,0.5,9,0.09510350340677516,0.0,1.0,3.722174644470215
Facebook,1,350,142,0.05,0.5,10,0.09510350340677516,0.0,1.0,3.395414113998413
Facebook,1,350,142,0.05,0.5,11,0.09510350340677516,0.0,1.0,3.7296900749206543
Facebook,1,350,142,0.05,0.5,12,0.09510350340677516,0.0,1.0,3.5130527019500732
Facebook,1,350,142,0.05,0.5,13,0.09510350340677516,0.0,1.0,3.734447479248047
Facebook,1,350,142,0.05,0.5,14,0.09510350340677516,0.0,1.0,3.4714856147766113
Facebook,1,350,142,0.05,0.5,15,0.09510350340677516,0.0,1.0,3.651820182800293
Facebook,1,350,142,0.05,0.5,16,0.09510350340677516,0.0,1.0,3.7535552978515625
Facebook,1,350,142,0.05,0.5,17,0.09510350340677516,0.0,1.0,3.5153543949127197
Facebook,1,350,142,0.05,0.5,18,0.09510350340677516,0.0,1.0,3.5262129306793213
Facebook,1,350,142,0.05,0.5,19,0.09510350340677516,0.0,1.0,3.6096887588500977
Facebook,1,350,142,0.05,0.5,20,0.09510350340677516,0.0,1.0,3.725482225418091
Facebook,1,350,142,0.05,0.5,21,0.09510350340677516,0.0,1.0,3.505660057067871
Facebook,1,350,142,0.05,0.5,22,0.09510350340677516,0.0,1.0,3.5256845951080322
Facebook,1,350,142,0.05,0.5,23,0.09510350340677516,0.0,1.0,3.716627836227417
Facebook,1,350,142,0.05,0.5,24,0.09510350340677516,0.0,1.0,3.5999929904937744
Facebook,1,350,142,0.05,0.5,25,0.09510350340677516,0.0,1.0,3.520345687866211
Facebook,1,350,142,0.05,0.5,26,0.09510350340677516,0.0,1.0,3.5142149925231934
Facebook,1,350,142,0.05,0.5,27,0.09510350340677516,0.0,1.0,3.72322154045105
Facebook,1,350,142,0.05,0.5,28,0.09510350340677516,0.0,1.0,3.750009298324585
Facebook,1,350,142,0.05,0.5,29,0.09510350340677516,0.0,1.0,3.4960553646087646
Facebook,1,350,142,0.05,0.5,30,0.09510350340677516,0.0,1.0,3.5075013637542725
Facebook,1,350,142,0.05,0.5,31,0.09510350340677516,0.0,1.0,3.700990676879883
Facebook,1,350,142,0.05,0.5,32,0.09510350340677516,0.0,1.0,3.7697131633758545
Facebook,1,350,142,0.05,0.5,33,0.09510350340677516,0.0,1.0,3.350008487701416
Facebook,1,350,142,0.05,0.5,34,0.09510350340677516,0.0,1.0,3.519325017929077
Facebook,1,350,142,0.05,0.5,35,0.09510350340677516,0.0,1.0,3.7291159629821777
Facebook,1,350,142,0.05,0.5,36,0.09510350340677516,0.0,1.0,3.745852470397949
Facebook,1,350,142,0.05,0.5,37,0.09510350340677516,0.0,1.0,3.5190277099609375
Facebook,1,350,142,0.05,0.5,38,0.09510350340677516,0.0,1.0,3.4593505859375
Facebook,1,350,142,0.05,0.5,39,0.09510350340677516,0.0,1.0,3.7433764934539795
Facebook,1,350,142,0.05,0.5,40,0.09510350340677516,0.0,1.0,3.7524547576904297
Facebook,1,350,142,0.05,0.5,41,0.09510350340677516,0.0,1.0,3.5116970539093018
Facebook,1,350,142,0.05,0.5,42,0.09510350340677516,0.0,1.0,3.425485849380493
Facebook,1,350,142,0.05,0.5,43,0.09510350340677516,0.0,1.0,3.7133049964904785
Facebook,1,350,142,0.05,0.5,44,0.09510350340677516,0.0,1.0,3.757849931716919
Facebook,1,350,142,0.05,0.5,45,0.09510350340677516,0.0,1.0,3.519913673400879
Facebook,1,350,142,0.05,0.5,46,0.09510350340677516,0.0,1.0,3.5243003368377686
Facebook,1,350,142,0.05,0.5,47,0.09510350340677516,0.0,1.0,3.635313034057617
Facebook,1,350,142,0.05,0.5,48,0.09510350340677516,0.0,1.0,3.761378765106201
Facebook,1,350,142,0.05,0.5,49,0.09510350340677516,0.0,1.0,3.5339739322662354
Facebook,1,350,142,0.05,0.5,50,0.09510350340677516,0.0,1.0,3.518144130706787
Facebook,1,350,284,0.1,0.5,1,0.09510350340677516,0.0,1.0,3.727531909942627
Facebook,1,350,284,0.1,0.5,2,0.09510350340677516,0.0,1.0,3.7390127182006836
Facebook,1,350,284,0.1,0.5,3,0.09510350340677516,0.0,1.0,3.536778688430786
Facebook,1,350,284,0.1,0.5,4,0.09510350340677516,0.0,1.0,3.7622294425964355
Facebook,1,350,284,0.1,0.5,5,0.09510350340677516,0.0,1.0,3.546560525894165
Facebook,1,350,284,0.1,0.5,6,0.09510350340677516,0.0,1.0,3.640655279159546
Facebook,1,350,284,0.1,0.5,7,0.09510350340677516,0.0,1.0,3.5324113368988037
Facebook,1,350,284,0.1,0.5,8,0.09510350340677516,0.0,1.0,3.7729334831237793
Facebook,1,350,284,0.1,0.5,9,0.09510350340677516,0.0,1.0,3.512134075164795
Facebook,1,350,284,0.1,0.5,10,0.09510350340677516,0.0,1.0,3.674271583557129
Facebook,1,350,284,0.1,0.5,11,0.09510350340677516,0.0,1.0,3.4998347759246826
Facebook,1,350,284,0.1,0.5,12,0.09510350340677516,0.0,1.0,3.742265224456787
Facebook,1,350,284,0.1,0.5,13,0.09510350340677516,0.0,1.0,3.4968059062957764
Facebook,1,350,284,0.1,0.5,14,0.09510350340677516,0.0,1.0,3.741514205932617
Facebook,1,350,284,0.1,0.5,15,0.09510350340677516,0.0,1.0,3.3890788555145264
