network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.8591807937430912,0.0,0.0024154589371980675,
BitcoinTransactions,1,428,0,0,,2,0.7140317727383766,0.0,0.0024154589371980675,
BitcoinTransactions,1,428,0,0,,3,0.6558494786300039,0.0,0.0,
BitcoinTransactions,1,428,0,0,,4,0.7850288406339891,0.0,0.008051529790660225,
BitcoinTransactions,1,428,0,0,,5,0.8252653514150016,0.0,0.002818035426731079,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.0853340917892817,0.0010178117048346056,0.9981213097155126,6.583997488021851
BitcoinTransactions,1,428,4,0.01,0.5,2,0.07514251055741307,0.0008333333333333334,0.991009125067096,6.418895959854126
BitcoinTransactions,1,428,4,0.01,0.5,3,0.08265410184447358,0.0014545454545454545,0.9958400429414922,5.6530609130859375
BitcoinTransactions,1,428,4,0.01,0.5,4,0.06771437152438706,0.003134796238244514,1.0,5.4563422203063965
BitcoinTransactions,1,428,4,0.01,0.5,5,0.09931705781372432,0.0012626262626262627,0.9773215244229737,5.571729421615601
BitcoinTransactions,1,428,22,0.05,0.5,1,0.09431458867096087,0.001084010840108401,0.9731615673644659,5.335214138031006
BitcoinTransactions,1,428,22,0.05,0.5,2,0.10124908668339982,0.0036900369003690036,1.0,5.666794061660767
BitcoinTransactions,1,428,22,0.05,0.5,3,0.11119610751584703,0.0053475935828877,1.0,5.316514253616333
BitcoinTransactions,1,428,22,0.05,0.5,4,0.11375105233189219,0.004098360655737705,1.0,5.405425310134888
BitcoinTransactions,1,428,22,0.05,0.5,5,0.09481053007948426,0.0016891891891891893,0.9946323134728932,5.393372297286987
BitcoinTransactions,1,428,43,0.1,0.5,1,0.08241380489412153,0.001288659793814433,0.9943639291465378,5.414504766464233
BitcoinTransactions,1,428,43,0.1,0.5,2,0.07951279719731141,0.0015544041450777201,0.999194847020934,5.873230457305908
BitcoinTransactions,1,428,43,0.1,0.5,3,0.1300992811667694,0.001984126984126984,0.9500805152979066,5.264263868331909
BitcoinTransactions,1,428,43,0.1,0.5,4,0.0799289077810304,0.001851851851851852,0.9998658078368223,5.294973373413086
BitcoinTransactions,1,428,43,0.1,0.5,5,0.06494189060107465,0.0009523809523809524,0.9973161567364466,5.627600193023682
BitcoinTransactions,1,428,64,0.15,0.5,1,0.08313724169295025,0.002577319587628866,1.0,5.4996657371521
BitcoinTransactions,1,428,64,0.15,0.5,2,0.07839734874075892,0.001486988847583643,0.9958400429414922,5.410256862640381
BitcoinTransactions,1,428,64,0.15,0.5,3,0.12598785927088746,0.0070921985815602835,1.0,5.2559192180633545
BitcoinTransactions,1,428,64,0.15,0.5,4,0.10186469728532019,0.002680965147453083,1.0,5.384217977523804
BitcoinTransactions,1,428,64,0.15,0.5,5,0.09083825783304224,0.001639344262295082,0.9966451959205582,5.572492361068726
BitcoinTransactions,1,428,86,0.2,0.5,1,0.0780884496293452,0.002366863905325444,0.9998658078368223,5.4922685623168945
BitcoinTransactions,1,428,86,0.2,0.5,2,0.07532758570793344,0.003703703703703704,1.0,5.399142265319824
BitcoinTransactions,1,428,86,0.2,0.5,3,0.10298551811274809,0.0022038567493112946,0.9997316156736447,5.470537424087524
BitcoinTransactions,1,428,86,0.2,0.5,4,0.08869562594130062,0.0024154589371980675,0.9990606548577563,5.3441760540008545
BitcoinTransactions,1,428,86,0.2,0.5,5,0.09606875127143454,0.003236245954692557,1.0,5.382802963256836
BitcoinTransactions,1,428,108,0.25,0.5,1,0.06564419230758517,0.0018159806295399517,0.9975845410628019,5.651649475097656
BitcoinTransactions,1,428,108,0.25,0.5,2,0.11452777127635759,0.0035211267605633804,1.0,5.2680957317352295
BitcoinTransactions,1,428,108,0.25,0.5,3,0.10494565471470586,0.0018264840182648401,0.991411701556629,5.42513108253479
BitcoinTransactions,1,428,108,0.25,0.5,4,0.07812907445013327,0.0023391812865497076,0.9626945786366076,5.405571222305298
BitcoinTransactions,1,428,108,0.25,0.5,5,0.10953287182567993,0.003389830508474576,1.0,5.3854429721832275
BitcoinTransactions,1,428,129,0.3,0.5,1,0.07201558272488683,0.004219409282700422,1.0,5.3772969245910645
BitcoinTransactions,1,428,129,0.3,0.5,2,0.10624479355208749,0.004608294930875576,1.0,5.3609819412231445
BitcoinTransactions,1,428,129,0.3,0.5,3,0.1123285074141205,0.0038043478260869567,0.9979871175523349,5.147838354110718
BitcoinTransactions,1,428,129,0.3,0.5,4,0.08624271439215395,0.0009233610341643582,0.9938271604938271,5.541989326477051
BitcoinTransactions,1,428,129,0.3,0.5,5,0.10023749564429886,0.0035211267605633804,1.0,5.3182830810546875
BitcoinTransactions,1,428,150,0.35,0.5,1,0.08084231540063963,0.0015424164524421595,0.9975845410628019,5.583017826080322
BitcoinTransactions,1,428,150,0.35,0.5,2,0.10160991198210444,0.0021085925144965737,0.9963768115942029,5.395744323730469
BitcoinTransactions,1,428,150,0.35,0.5,3,0.09510157233462664,0.00273224043715847,0.9997316156736447,5.405298948287964
BitcoinTransactions,1,428,150,0.35,0.5,4,0.12265974181123443,0.002952029520295203,0.9994632313472893,5.296681642532349
BitcoinTransactions,1,428,150,0.35,0.5,5,0.08521773786986724,0.0012787723785166241,0.9955716586151369,5.455872058868408
BitcoinTransactions,1,428,172,0.4,0.5,1,0.0850175497784703,0.0017873100983020554,0.9997316156736447,5.376921892166138
BitcoinTransactions,1,428,172,0.4,0.5,2,0.09385576630851933,0.0024937655860349127,1.0,5.3798487186431885
BitcoinTransactions,1,428,172,0.4,0.5,3,0.08860846059539437,0.0018315018315018315,0.9982555018786903,5.28298282623291
BitcoinTransactions,1,428,172,0.4,0.5,4,0.07727790096363346,0.001692047377326565,0.9998658078368223,5.406637191772461
BitcoinTransactions,1,428,172,0.4,0.5,5,0.07607609690382285,0.002185792349726776,0.9997316156736447,5.477337837219238
BitcoinTransactions,1,428,194,0.45,0.5,1,0.1209465862515225,0.0026619343389529724,0.9930220075147611,5.330627202987671
BitcoinTransactions,1,428,194,0.45,0.5,2,0.07156115387849409,0.0024813895781637717,1.0,5.654685974121094
BitcoinTransactions,1,428,194,0.45,0.5,3,0.10876388700751471,0.004975124378109453,1.0,5.3124775886535645
BitcoinTransactions,1,428,194,0.45,0.5,4,0.09897149164042127,0.004901960784313725,1.0,5.377129793167114
BitcoinTransactions,1,428,194,0.45,0.5,5,0.10142562283032346,0.004571428571428572,0.9986580783682233,5.4072723388671875
BitcoinTransactions,1,428,215,0.5,0.5,1,0.08042812994130938,0.0026490066225165563,0.9998658078368223,5.353684663772583
BitcoinTransactions,1,428,215,0.5,0.5,2,0.09332028858132323,0.003472222222222222,0.9998658078368223,5.385105133056641
BitcoinTransactions,1,428,215,0.5,0.5,3,0.0966757073368685,0.00267379679144385,1.0,5.40343713760376
BitcoinTransactions,1,428,215,0.5,0.5,4,0.14058637991979786,0.0029585798816568047,1.0,5.236490249633789
BitcoinTransactions,1,428,215,0.5,0.5,5,0.07772450125814664,0.0035545023696682463,0.9997316156736447,5.397204160690308
BitcoinTransactions,1,428,237,0.55,0.5,1,0.08467685082991679,0.0016085790884718498,0.9978529253891573,5.530767440795898
BitcoinTransactions,1,428,237,0.55,0.5,2,0.08642684944778878,0.002240143369175627,0.9989264626945786,5.542454481124878
BitcoinTransactions,1,428,237,0.55,0.5,3,0.07494356197334526,0.0014958863126402393,0.9986580783682233,5.611014127731323
BitcoinTransactions,1,428,237,0.55,0.5,4,0.09282534610172347,0.0027548209366391185,1.0,5.4255993366241455
BitcoinTransactions,1,428,237,0.55,0.5,5,0.09270190509914633,0.004032258064516129,1.0,5.322324275970459
BitcoinTransactions,1,428,258,0.6,0.5,1,0.07068422706214401,0.004201680672268907,1.0,5.424463748931885
BitcoinTransactions,1,428,258,0.6,0.5,2,0.06451886463408753,0.0019656019656019656,0.9994632313472893,5.48624062538147
BitcoinTransactions,1,428,258,0.6,0.5,3,0.11713618968625979,0.0037593984962406013,1.0,5.2794883251190186
BitcoinTransactions,1,428,258,0.6,0.5,4,0.09670992742295197,0.002542372881355932,0.9993290391841116,5.314850807189941
BitcoinTransactions,1,428,258,0.6,0.5,5,0.10864914077751424,0.004081632653061225,1.0,5.389434099197388
BitcoinTransactions,1,428,280,0.65,0.5,1,0.08007444272432611,0.0020833333333333333,0.9997316156736447,5.402008056640625
BitcoinTransactions,1,428,280,0.65,0.5,2,0.08328886388497542,0.001392757660167131,0.9969135802469136,5.448480606079102
BitcoinTransactions,1,428,280,0.65,0.5,3,0.09268735812001799,0.003676470588235294,1.0,5.317507028579712
BitcoinTransactions,1,428,280,0.65,0.5,4,0.10292885235957785,0.0030120481927710845,0.9967793880837359,5.301242351531982
BitcoinTransactions,1,428,280,0.65,0.5,5,0.08545646468503704,0.0020325203252032522,0.9998658078368223,5.510782241821289
BitcoinTransactions,1,428,301,0.7,0.5,1,0.05719607390183696,0.001951219512195122,0.9974503488996243,5.709345102310181
BitcoinTransactions,1,428,301,0.7,0.5,2,0.08821264967671034,0.0018844221105527637,0.9998658078368223,5.450848579406738
BitcoinTransactions,1,428,301,0.7,0.5,3,0.12325695746295634,0.004201680672268907,1.0,5.157603740692139
BitcoinTransactions,1,428,301,0.7,0.5,4,0.09086494351035605,0.0017142857142857142,0.9990606548577563,5.513212203979492
BitcoinTransactions,1,428,301,0.7,0.5,5,0.06917809692535995,0.001440922190201729,0.9997316156736447,5.428506135940552
BitcoinTransactions,1,428,322,0.75,0.5,1,0.08094824554980352,0.0016620498614958448,0.9969135802469136,5.477434396743774
BitcoinTransactions,1,428,322,0.75,0.5,2,0.08476939755198062,0.002336448598130841,0.9998658078368223,5.550297260284424
BitcoinTransactions,1,428,322,0.75,0.5,3,0.11117962796921266,0.0028457598178713715,0.9859098228663447,5.278774261474609
BitcoinTransactions,1,428,322,0.75,0.5,4,0.08694092415362624,0.0021514629948364886,0.999597423510467,5.364493131637573
BitcoinTransactions,1,428,322,0.75,0.5,5,0.10244903671409233,0.002347417840375587,0.9994632313472893,5.347455263137817
BitcoinTransactions,1,428,344,0.8,0.5,1,0.07551602600877994,0.002142857142857143,0.9998658078368223,5.544112682342529
BitcoinTransactions,1,428,344,0.8,0.5,2,0.09657134777033627,0.0027210884353741495,0.9998658078368223,5.434353828430176
BitcoinTransactions,1,428,344,0.8,0.5,3,0.11375370250551853,0.004366812227074236,1.0,5.20817232131958
BitcoinTransactions,1,428,344,0.8,0.5,4,0.07935945262005886,0.002702702702702703,1.0,5.544774293899536
BitcoinTransactions,1,428,344,0.8,0.5,5,0.06940194250446168,0.0024193548387096775,0.9982555018786903,5.434535264968872
BitcoinTransactions,1,428,366,0.85,0.5,1,0.07583217028918686,0.0019946808510638296,0.9994632313472893,5.510340929031372
BitcoinTransactions,1,428,366,0.85,0.5,2,0.09047345796123038,0.0013440860215053765,0.9985238862050456,5.470489978790283
BitcoinTransactions,1,428,366,0.85,0.5,3,0.07243749284020883,0.002373887240356083,0.999597423510467,5.580697536468506
BitcoinTransactions,1,428,366,0.85,0.5,4,0.14819218309581395,0.008547008547008548,1.0,5.2356483936309814
BitcoinTransactions,1,428,366,0.85,0.5,5,0.09660604190853948,0.003205128205128205,1.0,5.304875612258911
BitcoinTransactions,1,428,387,0.9,0.5,1,0.07404723981400338,0.0026246719160104987,1.0,5.451487302780151
BitcoinTransactions,1,428,387,0.9,0.5,2,0.0754227166852077,0.0026666666666666666,1.0,5.5593202114105225
BitcoinTransactions,1,428,387,0.9,0.5,3,0.07970929990168894,0.0013114754098360656,0.999597423510467,5.397793531417847
BitcoinTransactions,1,428,387,0.9,0.5,4,0.07834813255188244,0.0015957446808510637,0.9979871175523349,5.5063769817352295
BitcoinTransactions,1,428,387,0.9,0.5,5,0.10848570702701495,0.0029585798816568047,1.0,5.349573850631714
BitcoinTransactions,1,428,408,0.95,0.5,1,0.06278138494239498,0.002564102564102564,1.0,5.66003942489624
BitcoinTransactions,1,428,408,0.95,0.5,2,0.1097698769612805,0.002631578947368421,0.9997316156736447,5.305696964263916
BitcoinTransactions,1,428,408,0.95,0.5,3,0.06904055652217586,0.0018601190476190475,0.9993290391841116,5.606302976608276
BitcoinTransactions,1,428,408,0.95,0.5,4,0.09130480834374828,0.0037735849056603774,0.9994632313472893,5.34968113899231
BitcoinTransactions,1,428,408,0.95,0.5,5,0.08560137861197471,0.0017751479289940828,0.9982555018786903,5.391694784164429
BitcoinTransactions,1,428,430,1,0.5,1,0.06843692385986587,0.0018175209014903672,0.9981213097155126,5.505669116973877
BitcoinTransactions,1,428,430,1,0.5,2,0.05847469202739086,0.0020408163265306124,0.9998658078368223,5.5526509284973145
BitcoinTransactions,1,428,430,1,0.5,3,0.08555106755540294,0.0022893772893772895,0.9998658078368223,5.541487455368042
BitcoinTransactions,1,428,430,1,0.5,4,0.08782364025960722,0.004054054054054054,0.9971819645732689,5.374756097793579
BitcoinTransactions,1,428,430,1,0.5,5,0.07673589031545384,0.002890173410404624,1.0,5.503542900085449
BitcoinTransactions,2,433,0,0,,1,0.6081476024812202,0.0,0.06418692090774808,
BitcoinTransactions,2,433,0,0,,2,0.7323316704568081,0.00015432098765432098,0.12071975292063919,
BitcoinTransactions,2,433,0,0,,3,0.7712095387503572,0.0,0.10541157513092521,
BitcoinTransactions,2,433,0,0,,4,0.7392427778078766,0.00015432098765432098,0.1466362293541023,
BitcoinTransactions,2,433,0,0,,5,0.7932632616313823,0.00013616557734204794,0.08956626829595811,
BitcoinTransactions,2,433,5,0.01,0.5,1,0.13436566377778783,0.002881844380403458,1.0,5.256392002105713
BitcoinTransactions,2,433,5,0.01,0.5,2,0.08993599039201257,0.0016835016835016834,0.9834832818584665,5.303186416625977
BitcoinTransactions,2,433,5,0.01,0.5,3,0.10529582004861686,0.003236245954692557,1.0,5.312557935714722
BitcoinTransactions,2,433,5,0.01,0.5,4,0.06711347651560046,0.0014851485148514852,0.9944944272861554,5.638823747634888
BitcoinTransactions,2,433,5,0.01,0.5,5,0.07678292684198146,0.0035971223021582736,1.0,5.463034152984619
BitcoinTransactions,2,433,23,0.05,0.5,1,0.085299811652393,0.002306805074971165,0.99140593527595,5.35062050819397
BitcoinTransactions,2,433,23,0.05,0.5,2,0.08180636419583572,0.001384083044982699,0.9990600241708071,5.062875032424927
