network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,305,0,0,,1,0.8271207118074265,0.0,0.0009523809523809524,
Wiki,1,305,0,0,,2,0.8721347478482266,0.0,0.0880952380952381,
Wiki,1,305,0,0,,3,0.843889424527222,0.00020559210526315788,0.18857142857142858,
Wiki,1,305,0,0,,4,0.8948049546086471,0.0001827485380116959,0.13285714285714287,
Wiki,1,305,0,0,,5,0.9050713045194143,0.00019413706076490002,0.13333333333333333,
Wiki,1,305,0,0,,6,0.6785624581256327,0.0,0.1680952380952381,
Wiki,1,305,0,0,,7,0.9524092474117689,0.0001934984520123839,0.1357142857142857,
Wiki,1,305,0,0,,8,0.9108439070699765,0.00020559210526315788,0.13142857142857142,
Wiki,1,305,0,0,,9,0.8741195962440751,0.00023496240601503758,0.13238095238095238,
Wiki,1,305,0,0,,10,0.9044438296852803,0.0,0.0019047619047619048,
Wiki,1,305,0,0,,11,0.7244789731543628,0.0,0.2542857142857143,
Wiki,1,305,0,0,,12,0.7682183593760685,0.0001934984520123839,0.13380952380952382,
Wiki,1,305,0,0,,13,0.7426026932367273,0.00025303643724696357,0.1895238095238095,
Wiki,1,305,0,0,,14,0.9564982744442209,0.00015664160401002505,0.13380952380952382,
Wiki,1,305,0,0,,15,0.8479032689616685,0.0002192982456140351,0.19428571428571428,
Wiki,1,305,0,0,,16,0.8862072415663679,0.00017313019390581717,0.13904761904761906,
Wiki,1,305,0,0,,17,0.9086490476141099,0.0002192982456140351,0.13523809523809524,
Wiki,1,305,0,0,,18,0.9571899576728282,0.0,0.0014285714285714286,
Wiki,1,305,0,0,,19,0.751659537750041,0.0,0.13904761904761906,
Wiki,1,305,0,0,,20,0.9521074133162053,0.0,0.004285714285714286,
Wiki,1,305,0,0,,21,0.9041798795924183,0.0001827485380116959,0.13333333333333333,
Wiki,1,305,0,0,,22,0.8081927077906628,0.00025303643724696357,0.13428571428571429,
Wiki,1,305,0,0,,23,0.822911625082954,0.0001934984520123839,0.13476190476190475,
Wiki,1,305,0,0,,24,0.7510068553210297,0.00020627062706270627,0.3880952380952381,
Wiki,1,305,0,0,,25,0.9077148424790021,0.00015664160401002505,0.13380952380952382,
Wiki,1,305,0,0,,26,0.8816133613646429,0.00023496240601503758,0.13380952380952382,
Wiki,1,305,0,0,,27,0.9025208318641295,0.0001934984520123839,0.13428571428571429,
Wiki,1,305,0,0,,28,0.8908781238982465,0.0,0.0033333333333333335,
Wiki,1,305,0,0,,29,0.8859120066509697,0.0,0.06476190476190476,
Wiki,1,305,0,0,,30,0.7131739008018095,0.00017313019390581717,0.4276190476190476,
Wiki,1,305,0,0,,31,0.8803165763166945,0.0001827485380116959,0.25523809523809526,
Wiki,1,305,0,0,,32,0.8384704472865415,0.0,0.005714285714285714,
Wiki,1,305,0,0,,33,0.8807592820076049,0.0,0.004285714285714286,
Wiki,1,305,0,0,,34,0.7982181517022527,0.0001934984520123839,0.13476190476190475,
Wiki,1,305,0,0,,35,0.9132699305048585,0.00025303643724696357,0.1319047619047619,
Wiki,1,305,0,0,,36,0.8285844018912588,0.0004714757190004715,0.28095238095238095,
Wiki,1,305,0,0,,37,0.8808859601973464,0.0,0.002380952380952381,
Wiki,1,305,0,0,,38,0.7950255516899106,0.00018335166850018335,0.1361904761904762,
Wiki,1,305,0,0,,39,0.8498781325967384,0.00020559210526315788,0.13523809523809524,
Wiki,1,305,0,0,,40,0.7530748309204337,0.0001934984520123839,0.13238095238095238,
Wiki,1,305,0,0,,41,0.894454767169615,0.0,0.0014285714285714286,
Wiki,1,305,0,0,,42,0.7366514954081497,0.0,0.18571428571428572,
Wiki,1,305,0,0,,43,0.6248344011468281,0.0,0.2557142857142857,
Wiki,1,305,0,0,,44,0.7018601066172389,0.0,0.06666666666666667,
Wiki,1,305,0,0,,45,0.7934774220772309,0.0001827485380116959,0.13333333333333333,
Wiki,1,305,0,0,,46,0.9512441963020882,0.0001934984520123839,0.13238095238095238,
Wiki,1,305,0,0,,47,0.8909671809021302,0.0001644736842105263,0.19047619047619047,
Wiki,1,305,0,0,,48,0.9556118586844504,0.00020627062706270627,0.13428571428571429,
Wiki,1,305,0,0,,49,0.843806965357747,0.00023496240601503758,0.23333333333333334,
Wiki,1,305,0,0,,50,0.8129677934686117,0.0,0.0038095238095238095,
Wiki,1,305,8,0.01,0.5,1,0.09450432714610876,0.0,0.9957142857142857,2.085401773452759
Wiki,1,305,8,0.01,0.5,2,0.09711963602967895,0.0,0.9814285714285714,2.1629555225372314
Wiki,1,305,8,0.01,0.5,3,0.09427526056739531,0.0,0.9990476190476191,1.8778209686279297
Wiki,1,305,8,0.01,0.5,4,0.10184504775881931,0.0,0.9628571428571429,1.8898699283599854
Wiki,1,305,8,0.01,0.5,5,0.09423038469861203,0.0,0.9938095238095238,2.096992015838623
Wiki,1,305,8,0.01,0.5,6,0.09452516084401917,0.0,0.9980952380952381,1.9974849224090576
Wiki,1,305,8,0.01,0.5,7,0.09558942593396723,0.0,0.9895238095238095,1.9557647705078125
Wiki,1,305,8,0.01,0.5,8,0.10160995351051721,0.0008223684210526315,0.98,1.8881380558013916
Wiki,1,305,8,0.01,0.5,9,0.10063698669520431,0.0,0.9642857142857143,2.1819586753845215
Wiki,1,305,8,0.01,0.5,10,0.09668080006543628,0.0,0.9866666666666667,1.8760647773742676
Wiki,1,305,8,0.01,0.5,11,0.11539766516372343,0.0012376237623762376,0.9847619047619047,1.8830766677856445
Wiki,1,305,8,0.01,0.5,12,0.09818683225034877,0.0,0.9828571428571429,1.8739004135131836
Wiki,1,305,8,0.01,0.5,13,0.09935833808918858,0.0,0.9776190476190476,2.0138821601867676
Wiki,1,305,8,0.01,0.5,14,0.10052399483063587,0.0016611295681063123,0.9990476190476191,1.8777756690979004
Wiki,1,305,8,0.01,0.5,15,0.10107846970677456,0.0006578947368421052,0.9833333333333333,1.889263391494751
Wiki,1,305,8,0.01,0.5,16,0.09562655241045172,0.0,0.9871428571428571,1.9294309616088867
Wiki,1,305,8,0.01,0.5,17,0.09799601138594874,0.0005482456140350877,0.9723809523809523,2.0015740394592285
Wiki,1,305,8,0.01,0.5,18,0.09670312502102037,0.0,0.9838095238095238,1.8705642223358154
Wiki,1,305,8,0.01,0.5,19,0.09676637313922681,0.0,0.9833333333333333,1.873293161392212
