mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,1.0,0,63,0,0,,1,0.3651694979175911,0.00234192037470726,0.343649946638207,
0.1,1.0,0,63,0,0,,2,0.28081404712219316,0.020833333333333332,0.7716115261472786,
0.1,1.0,0,63,0,0,,3,0.12405896294231568,0.0,0.8580576307363927,
0.1,1.0,0,63,0,0,,4,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,5,0.21491634456399963,0.0,0.5154749199573105,
0.1,1.0,0,63,0,0,,6,0.2414061064037799,0.010638297872340425,0.8196371398078975,
0.1,1.0,0,63,0,0,,7,0.2506546626462183,0.0,0.14300960512273211,
0.1,1.0,0,63,0,0,,8,0.2109321224953347,0.0035714285714285713,0.5528281750266809,
0.1,1.0,0,63,0,0,,9,0.15738348757031395,0.0,0.823906083244397,
0.1,1.0,0,63,0,0,,10,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,11,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,12,0.1580927728804771,0.006097560975609756,0.9146211312700107,
0.1,1.0,0,63,0,0,,13,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,14,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,15,0.3277161767449896,0.0025974025974025974,0.4450373532550694,
0.1,1.0,0,63,0,0,,16,0.19452929903875507,0.0,0.4781216648879402,
0.1,1.0,0,63,0,0,,17,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,18,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,19,0.44179987891505,0.0,0.1568836712913554,
0.1,1.0,0,63,0,0,,20,0.2021003595808584,0.011904761904761904,0.9423692636072573,
0.1,1.0,0,63,0,0,,21,0.17939907076531011,0.03125,1.0,
0.1,1.0,0,63,0,0,,22,0.21624855754154487,0.006535947712418301,0.767342582710779,
0.1,1.0,0,63,0,0,,23,0.35155763571893794,0.010101010101010102,0.6755602988260405,
0.1,1.0,0,63,0,0,,24,0.08632344228804893,0.0,0.9775880469583778,
0.1,1.0,0,63,0,0,,25,0.19836652524439932,0.0033333333333333335,0.6531483457844184,
0.1,1.0,0,63,0,0,,26,0.19560696226020827,0.0,0.7694770544290288,
0.1,1.0,0,63,0,0,,27,0.13260137289189755,0.012345679012345678,0.9466382070437567,
0.1,1.0,0,63,0,0,,28,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,29,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,30,0.17653810311552243,0.0,0.3628601921024546,
0.1,1.0,0,63,0,0,,31,0.08526703487112824,0.0,0.9701173959445037,
0.1,1.0,0,63,0,0,,32,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,33,0.23454615602735476,0.002304147465437788,0.7833511205976521,
0.1,1.0,0,63,0,0,,34,0.2620708214316675,0.007653061224489796,0.7524012806830309,
0.1,1.0,0,63,0,0,,35,0.08679842504745991,0.004032258064516129,0.9658484525080042,
0.1,1.0,0,63,0,0,,36,0.21215127664431788,0.00546448087431694,0.5880469583778015,
0.1,1.0,0,63,0,0,,37,0.15514351511200417,0.0,0.6766275346851655,
0.1,1.0,0,63,0,0,,38,0.14186394845062306,0.0,0.9188900747065102,
0.1,1.0,0,63,0,0,,39,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,40,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,41,0.2228602541778473,0.0024630541871921183,0.6947705442902882,
0.1,1.0,0,63,0,0,,42,0.14697610215613297,0.0,0.7588046958377801,
0.1,1.0,0,63,0,0,,43,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,44,1.0,0.0,0.0,
0.1,1.0,0,63,0,0,,45,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,46,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,0,0,,47,0.07910503237439549,0.0,0.9957310565635006,
0.1,1.0,0,63,0,0,,48,0.15604115784712802,0.0,0.647812166488794,
0.1,1.0,0,63,0,0,,49,0.17069226884351454,0.00819672131147541,0.7321237993596584,
0.1,1.0,0,63,0,0,,50,0.07939399999999987,0.0,1.0,
0.1,1.0,0,63,8,0.01,0.5,1,0.18086806772231243,0.0,0.4951974386339381,3.421292543411255
0.1,1.0,0,63,8,0.01,0.5,2,0.07939399999999987,0.0,1.0,3.409578561782837
0.1,1.0,0,63,8,0.01,0.5,3,0.2501350179344464,0.005952380952380952,0.35432230522945574,3.5340218544006348
0.1,1.0,0,63,8,0.01,0.5,4,0.08543984808647355,0.0,0.9765208110992529,3.4185822010040283
0.1,1.0,0,63,8,0.01,0.5,5,0.19932458162464206,0.0,0.35325506937033085,3.465165376663208
0.1,1.0,0,63,8,0.01,0.5,6,0.20143610134112772,0.004032258064516129,0.6061899679829242,3.3689844608306885
0.1,1.0,0,63,8,0.01,0.5,7,0.3244317681237584,0.003367003367003367,0.3319103521878335,3.362380027770996
0.1,1.0,0,63,8,0.01,0.5,8,0.07939399999999987,0.0,1.0,3.401547908782959
0.1,1.0,0,63,8,0.01,0.5,9,0.07939399999999987,0.0,1.0,3.4125564098358154
0.1,1.0,0,63,8,0.01,0.5,10,0.225285990462064,0.0,0.11099252934898612,3.40726637840271
0.1,1.0,0,63,8,0.01,0.5,11,0.11434780817041193,0.0,0.9306296691568837,3.5852582454681396
0.1,1.0,0,63,8,0.01,0.5,12,0.07939399999999987,0.0,1.0,3.4575133323669434
0.1,1.0,0,63,8,0.01,0.5,13,0.07939399999999987,0.0,1.0,3.457348346710205
0.1,1.0,0,63,8,0.01,0.5,14,0.23261617741925825,0.006289308176100629,0.7641408751334045,3.5563647747039795
0.1,1.0,0,63,8,0.01,0.5,15,0.21031673404406745,0.00641025641025641,0.8548559231590181,3.4336957931518555
0.1,1.0,0,63,8,0.01,0.5,16,0.07922902428214885,0.0,0.9967982924226254,3.444127321243286
0.1,1.0,0,63,8,0.01,0.5,17,0.07939399999999987,0.0,1.0,3.449523448944092
0.1,1.0,0,63,8,0.01,0.5,18,0.24949201053686865,0.010416666666666666,0.8409818569903948,3.4427859783172607
0.1,1.0,0,63,8,0.01,0.5,19,0.07939399999999987,0.0,1.0,3.6320912837982178
0.1,1.0,0,63,8,0.01,0.5,20,0.28439426257486095,0.0058309037900874635,0.5389541088580576,3.440788745880127
0.1,1.0,0,63,8,0.01,0.5,21,0.07939399999999987,0.0,1.0,3.402296304702759
0.1,1.0,0,63,8,0.01,0.5,22,0.29824277797827203,0.008547008547008548,0.7086446104589115,3.407865524291992
0.1,1.0,0,63,8,0.01,0.5,23,0.09688287737462996,0.0,0.9413020277481323,3.6972506046295166
0.1,1.0,0,63,8,0.01,0.5,24,0.07957657287682156,0.0,0.9903948772678762,3.428692579269409
0.1,1.0,0,63,8,0.01,0.5,25,0.19611026424197542,0.0,0.4919957310565635,3.418762445449829
0.1,1.0,0,63,8,0.01,0.5,26,0.07939399999999987,0.0,1.0,3.433464765548706
0.1,1.0,0,63,8,0.01,0.5,27,0.07939399999999987,0.0,1.0,3.6264917850494385
0.1,1.0,0,63,8,0.01,0.5,28,0.0793681012819289,0.01639344262295082,1.0,3.5757060050964355
0.1,1.0,0,63,8,0.01,0.5,29,0.32136591802425607,0.0020833333333333333,0.3852721451440768,3.414602041244507
0.1,1.0,0,63,8,0.01,0.5,30,0.28203025907993867,0.0,0.29882604055496265,3.4063639640808105
0.1,1.0,0,63,8,0.01,0.5,31,0.07939399999999987,0.0,1.0,3.419825315475464
0.1,1.0,0,63,8,0.01,0.5,32,0.07939399999999987,0.0,1.0,3.6664812564849854
0.1,1.0,0,63,8,0.01,0.5,33,0.2734263129262886,0.026455026455026454,0.6061899679829242,3.271649122238159
0.1,1.0,0,63,8,0.01,0.5,34,0.22616893845092864,0.0,0.33404482390608325,3.365386724472046
0.1,1.0,0,63,8,0.01,0.5,35,0.22143273952676645,0.025806451612903226,0.9989327641408752,3.5258262157440186
0.1,1.0,0,63,8,0.01,0.5,36,0.1336773252213175,0.01020408163265306,0.9967982924226254,3.31119441986084
0.1,1.0,0,63,8,0.01,0.5,37,0.07916494747400102,0.0,0.9967982924226254,3.4413576126098633
0.1,1.0,0,63,8,0.01,0.5,38,0.17406481345647648,0.00625,0.8580576307363927,3.407066583633423
0.1,1.0,0,63,8,0.01,0.5,39,0.07939399999999987,0.0,1.0,3.435455083847046
0.1,1.0,0,63,8,0.01,0.5,40,0.25106360769011987,0.002304147465437788,0.3575240128068303,3.5570740699768066
0.1,1.0,0,63,8,0.01,0.5,41,0.3305556932252374,0.00211864406779661,0.12166488794023479,3.3175222873687744
