mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.01,0,62,0,0,,1,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,2,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,3,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,4,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,5,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,6,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,7,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,8,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,9,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,10,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,11,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,12,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,13,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,14,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,15,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,16,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,17,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,18,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,19,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,20,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,21,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,22,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,23,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,24,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,25,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,26,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,27,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,28,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,29,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,30,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,31,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,32,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,33,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,34,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,35,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,36,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,37,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,38,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,39,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,40,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,41,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,42,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,43,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,44,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,45,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,46,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,47,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,48,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,49,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,0,0,,50,0.07939399999999987,0.0,1.0,
0.5,0.01,0,62,4,0.01,0.5,1,0.07939399999999987,0.0,1.0,3.445274591445923
0.5,0.01,0,62,4,0.01,0.5,2,0.07939399999999987,0.0,1.0,3.5771644115448
0.5,0.01,0,62,4,0.01,0.5,3,0.07939399999999987,0.0,1.0,3.4279801845550537
0.5,0.01,0,62,4,0.01,0.5,4,0.07939399999999987,0.0,1.0,3.4673378467559814
0.5,0.01,0,62,4,0.01,0.5,5,0.07939399999999987,0.0,1.0,3.4559152126312256
0.5,0.01,0,62,4,0.01,0.5,6,0.07939399999999987,0.0,1.0,3.4683759212493896
0.5,0.01,0,62,4,0.01,0.5,7,0.07939399999999987,0.0,1.0,3.43137788772583
0.5,0.01,0,62,4,0.01,0.5,8,0.07939399999999987,0.0,1.0,3.4533276557922363
0.5,0.01,0,62,4,0.01,0.5,9,0.07939399999999987,0.0,1.0,3.418736219406128
0.5,0.01,0,62,4,0.01,0.5,10,0.07939399999999987,0.0,1.0,3.6478755474090576
0.5,0.01,0,62,4,0.01,0.5,11,0.07939399999999987,0.0,1.0,3.4636788368225098
0.5,0.01,0,62,4,0.01,0.5,12,0.07939399999999987,0.0,1.0,3.4265100955963135
0.5,0.01,0,62,4,0.01,0.5,13,0.07939399999999987,0.0,1.0,3.4355180263519287
0.5,0.01,0,62,4,0.01,0.5,14,0.07939399999999987,0.0,1.0,3.4616212844848633
0.5,0.01,0,62,4,0.01,0.5,15,0.07939399999999987,0.0,1.0,3.440830707550049
0.5,0.01,0,62,4,0.01,0.5,16,0.07939399999999987,0.0,1.0,3.4544036388397217
0.5,0.01,0,62,4,0.01,0.5,17,0.07939399999999987,0.0,1.0,3.6565916538238525
0.5,0.01,0,62,4,0.01,0.5,18,0.07939399999999987,0.0,1.0,3.4835431575775146
0.5,0.01,0,62,4,0.01,0.5,19,0.07939399999999987,0.0,1.0,3.4875025749206543
0.5,0.01,0,62,4,0.01,0.5,20,0.07939399999999987,0.0,1.0,3.49252986907959
0.5,0.01,0,62,4,0.01,0.5,21,0.07939399999999987,0.0,1.0,3.4611692428588867
0.5,0.01,0,62,4,0.01,0.5,22,0.07939399999999987,0.0,1.0,3.4818973541259766
0.5,0.01,0,62,4,0.01,0.5,23,0.07939399999999987,0.0,1.0,3.4737741947174072
0.5,0.01,0,62,4,0.01,0.5,24,0.07939399999999987,0.0,1.0,3.4637527465820312
0.5,0.01,0,62,4,0.01,0.5,25,0.07939399999999987,0.0,1.0,3.492593765258789
0.5,0.01,0,62,4,0.01,0.5,26,0.07939399999999987,0.0,1.0,3.6541504859924316
0.5,0.01,0,62,4,0.01,0.5,27,0.07939399999999987,0.0,1.0,3.474900007247925
0.5,0.01,0,62,4,0.01,0.5,28,0.07939399999999987,0.0,1.0,3.4776952266693115
0.5,0.01,0,62,4,0.01,0.5,29,0.07939399999999987,0.0,1.0,3.463776111602783
0.5,0.01,0,62,4,0.01,0.5,30,0.07939399999999987,0.0,1.0,3.4770431518554688
0.5,0.01,0,62,4,0.01,0.5,31,0.07939399999999987,0.0,1.0,3.478252649307251
0.5,0.01,0,62,4,0.01,0.5,32,0.07939399999999987,0.0,1.0,3.460815906524658
0.5,0.01,0,62,4,0.01,0.5,33,0.07939399999999987,0.0,1.0,3.484156608581543
0.5,0.01,0,62,4,0.01,0.5,34,0.07939399999999987,0.0,1.0,3.667353868484497
0.5,0.01,0,62,4,0.01,0.5,35,0.07939399999999987,0.0,1.0,3.467442035675049
0.5,0.01,0,62,4,0.01,0.5,36,0.07939399999999987,0.0,1.0,3.467303991317749
0.5,0.01,0,62,4,0.01,0.5,37,0.07939399999999987,0.0,1.0,3.4602956771850586
0.5,0.01,0,62,4,0.01,0.5,38,0.07939399999999987,0.0,1.0,3.478440284729004
0.5,0.01,0,62,4,0.01,0.5,39,0.07939399999999987,0.0,1.0,3.4691574573516846
0.5,0.01,0,62,4,0.01,0.5,40,0.07939399999999987,0.0,1.0,3.446739912033081
0.5,0.01,0,62,4,0.01,0.5,41,0.07939399999999987,0.0,1.0,3.478499412536621
0.5,0.01,0,62,4,0.01,0.5,42,0.07939399999999987,0.0,1.0,3.685983657836914
0.5,0.01,0,62,4,0.01,0.5,43,0.07939399999999987,0.0,1.0,3.460235357284546
