network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.1297338274245357,0.01611111111111111,0.9457863660762211,
BitcoinTransactions,1,428,0,0,,2,0.15335179010511643,0.009635525764558023,0.9394793344068706,
BitcoinTransactions,1,428,0,0,,3,0.1393668129536774,0.016247379454926623,0.9483360171765969,
BitcoinTransactions,1,428,0,0,,4,0.13516092965296772,0.012791991101223582,0.9239130434782609,
BitcoinTransactions,1,428,0,0,,5,0.1444411302285221,0.014132278123233465,0.9935587761674718,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.14599571177831877,0.012419274714356682,0.9685990338164251,21.432073831558228
BitcoinTransactions,1,428,4,0.01,0.5,2,0.1433654439469349,0.015483870967741935,0.9690016103059581,21.44941258430481
BitcoinTransactions,1,428,4,0.01,0.5,3,0.13201563540632866,0.01293800539083558,0.9561191626409018,22.769941329956055
BitcoinTransactions,1,428,4,0.01,0.5,4,0.14577673198177346,0.011592741935483871,0.9684648416532474,23.017614603042603
BitcoinTransactions,1,428,4,0.01,0.5,5,0.14232929093290772,0.006617647058823529,0.9483360171765969,23.200752019882202
BitcoinTransactions,1,428,22,0.05,0.5,1,0.13333178217425837,0.013032581453634085,0.9463231347289318,23.19225549697876
BitcoinTransactions,1,428,22,0.05,0.5,2,0.14557977029701472,0.009375,0.9435050993022007,23.18750524520874
BitcoinTransactions,1,428,22,0.05,0.5,3,0.142508290144749,0.01911764705882353,0.9247181964573269,23.13760471343994
BitcoinTransactions,1,428,22,0.05,0.5,4,0.16884417694142706,0.009569377990430622,0.998389694041868,21.724558115005493
BitcoinTransactions,1,428,22,0.05,0.5,5,0.1350943853325961,0.014076576576576577,0.9312936124530328,21.099606037139893
BitcoinTransactions,1,428,43,0.1,0.5,1,0.17207931654885575,0.010493827160493827,0.9998658078368223,21.157252311706543
BitcoinTransactions,1,428,43,0.1,0.5,2,0.14131927117457213,0.007215007215007215,0.9624261943102523,21.300766229629517
BitcoinTransactions,1,428,43,0.1,0.5,3,0.1476153590514227,0.008869179600886918,0.9636339237788513,21.299503087997437
BitcoinTransactions,1,428,43,0.1,0.5,4,0.163444095354457,0.009150326797385621,0.9978529253891573,21.20256018638611
BitcoinTransactions,1,428,43,0.1,0.5,5,0.13937876587730724,0.013736263736263736,0.9436392914653784,21.18288540840149
BitcoinTransactions,1,428,64,0.15,0.5,1,0.16210177677371898,0.01510989010989011,0.9989264626945786,21.281721353530884
BitcoinTransactions,1,428,64,0.15,0.5,2,0.14095672687660912,0.024366471734892786,0.9765163714439077,21.207225799560547
BitcoinTransactions,1,428,64,0.15,0.5,3,0.1377131381965861,0.014405762304921969,0.9616210413311863,21.091527700424194
BitcoinTransactions,1,428,64,0.15,0.5,4,0.13219903474178904,0.015873015873015872,0.9554482018250134,20.995180368423462
BitcoinTransactions,1,428,64,0.15,0.5,5,0.1416600172979716,0.011979166666666667,0.9600107353730543,21.30921721458435
BitcoinTransactions,1,428,86,0.2,0.5,1,0.1399807661140361,0.015151515151515152,0.9589371980676329,21.321123600006104
BitcoinTransactions,1,428,86,0.2,0.5,2,0.1404509042298909,0.017139479905437353,0.9468599033816425,21.1429922580719
BitcoinTransactions,1,428,86,0.2,0.5,3,0.15638830730584896,0.01173469387755102,0.9958400429414922,21.229242086410522
BitcoinTransactions,1,428,86,0.2,0.5,4,0.14653644195789872,0.011063011063011063,0.9738325281803543,21.041072607040405
