network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,305,0,0,,1,0.18869808284460116,0.015977443609022556,0.5642857142857143,
Wiki,1,305,0,0,,2,0.1864185561179307,0.012318029115341545,0.508095238095238,
Wiki,1,305,0,0,,3,0.16821559343551068,0.016194331983805668,0.5604761904761905,
Wiki,1,305,0,0,,4,0.09427526056739535,0.0,0.9990476190476191,
Wiki,1,305,0,0,,5,0.1700978874191967,0.016260162601626018,0.5971428571428572,
Wiki,1,305,0,0,,6,0.09777609000274828,0.0,0.9852380952380952,
Wiki,1,305,0,0,,7,0.09646159507949009,0.0,0.9890476190476191,
Wiki,1,305,0,0,,8,0.18080265648762422,0.01662049861495845,0.5547619047619048,
Wiki,1,305,0,0,,9,0.19745610394620863,0.014912280701754385,0.49523809523809526,
Wiki,1,305,0,0,,10,0.17745800210607734,0.017543859649122806,0.5247619047619048,
Wiki,1,305,0,0,,11,0.18127495579415512,0.014912280701754385,0.5266666666666666,
Wiki,1,305,0,0,,12,0.20043211397900376,0.013848396501457727,0.5928571428571429,
Wiki,1,305,0,0,,13,0.18591568988885887,0.01918859649122807,0.5333333333333333,
Wiki,1,305,0,0,,14,0.1917959848563172,0.01346389228886169,0.4895238095238095,
Wiki,1,305,0,0,,15,0.17652783782805515,0.017082179132040628,0.5966666666666667,
Wiki,1,305,0,0,,16,0.17817582021842335,0.013264869490800172,0.4633333333333333,
Wiki,1,305,0,0,,17,0.1766754754960032,0.014976465554129225,0.5438095238095239,
Wiki,1,305,0,0,,18,0.19766006892826116,0.016783216783216783,0.5661904761904762,
Wiki,1,305,0,0,,19,0.1739738583511782,0.017042606516290727,0.5090476190476191,
Wiki,1,305,0,0,,20,0.18784362561200524,0.014354066985645933,0.5533333333333333,
Wiki,1,305,0,0,,21,0.174807721703975,0.016194331983805668,0.5638095238095238,
Wiki,1,305,0,0,,22,0.17963148031482726,0.014752791068580542,0.5719047619047619,
Wiki,1,305,0,0,,23,0.198571157808711,0.018109790605546124,0.41619047619047617,
Wiki,1,305,0,0,,24,0.19196907820259132,0.012585812356979404,0.49047619047619045,
Wiki,1,305,0,0,,25,0.1922322478823589,0.01569713758079409,0.5514285714285714,
Wiki,1,305,0,0,,26,0.17261891337709503,0.015107212475633527,0.4828571428571429,
Wiki,1,305,0,0,,27,0.18320532308033058,0.01540436456996149,0.5223809523809524,
Wiki,1,305,0,0,,28,0.17996382685522844,0.015744489428699954,0.5323809523809524,
Wiki,1,305,0,0,,29,0.1751926566146933,0.017543859649122806,0.5885714285714285,
Wiki,1,305,0,0,,30,0.18270782361821578,0.017042606516290727,0.5,
Wiki,1,305,0,0,,31,0.1784631412232548,0.016541353383458645,0.5114285714285715,
Wiki,1,305,0,0,,32,0.17929426534871862,0.018075491759702286,0.5166666666666667,
Wiki,1,305,0,0,,33,0.183068253755499,0.016644174538911382,0.5504761904761905,
Wiki,1,305,0,0,,34,0.18992542799091564,0.016114982578397212,0.5733333333333334,
