network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.1407637144136448,0.015018773466833541,0.9460547504025765,
BitcoinTransactions,1,428,0,0,,2,0.1469706577682328,0.012121212121212121,0.9679280730005367,
BitcoinTransactions,1,428,0,0,,3,0.1303417290864012,0.007936507936507936,0.9714170692431562,
BitcoinTransactions,1,428,0,0,,4,0.14963579779239672,0.011904761904761904,0.9736983360171766,
BitcoinTransactions,1,428,0,0,,5,0.14317406032927976,0.015448603683897801,0.9510198604401503,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.14420003703918888,0.01818181818181818,0.9766505636070854,21.538464307785034
BitcoinTransactions,1,428,4,0.01,0.5,2,0.1479198708706161,0.01265022137887413,0.9565217391304348,21.54158639907837
BitcoinTransactions,1,428,4,0.01,0.5,3,0.14699599987850914,0.013477088948787063,0.9437734836285561,21.576051235198975
BitcoinTransactions,1,428,4,0.01,0.5,4,0.1425517180661145,0.01884498480243161,0.9516908212560387,21.641342878341675
BitcoinTransactions,1,428,4,0.01,0.5,5,0.1482996683026089,0.01519916142557652,0.9773215244229737,21.6627676486969
BitcoinTransactions,1,428,22,0.05,0.5,1,0.14252323443014303,0.008561643835616438,0.9158615136876006,21.67885112762451
BitcoinTransactions,1,428,22,0.05,0.5,2,0.10790565330371202,0.008333333333333333,1.0,21.74412989616394
BitcoinTransactions,1,428,22,0.05,0.5,3,0.13632803557210263,0.014761904761904763,0.9732957595276436,21.67245602607727
BitcoinTransactions,1,428,22,0.05,0.5,4,0.14137056131171405,0.02304147465437788,0.9754428341384863,21.66718077659607
BitcoinTransactions,1,428,22,0.05,0.5,5,0.14029575413075998,0.015318627450980392,0.9479334406870639,21.661316394805908
BitcoinTransactions,1,428,43,0.1,0.5,1,0.14840811472273785,0.011003521126760563,0.9691358024691358,21.570133447647095
BitcoinTransactions,1,428,43,0.1,0.5,2,0.15020769577997067,0.014278159703860392,0.9731615673644659,21.64704942703247
BitcoinTransactions,1,428,43,0.1,0.5,3,0.1388958479515457,0.014911014911014911,0.9715512614063339,21.636529445648193
BitcoinTransactions,1,428,43,0.1,0.5,4,0.16498834566980258,0.009408602150537635,0.9970477724100912,21.65205144882202
BitcoinTransactions,1,428,43,0.1,0.5,5,0.1473842051998565,0.012217194570135747,0.9704777241009125,21.61228346824646
BitcoinTransactions,1,428,64,0.15,0.5,1,0.1422192208110796,0.014577259475218658,0.9445786366076221,21.642568111419678
BitcoinTransactions,1,428,64,0.15,0.5,2,0.14798943375569254,0.0125,0.9475308641975309,21.637807607650757
BitcoinTransactions,1,428,64,0.15,0.5,3,0.15359427400506503,0.011076923076923076,0.9722222222222222,21.688444137573242
BitcoinTransactions,1,428,64,0.15,0.5,4,0.14674700849637842,0.008306962025316455,0.9389425657541599,21.6283221244812
BitcoinTransactions,1,428,64,0.15,0.5,5,0.1478567583347842,0.010047593865679535,0.9664519592055824,21.635448694229126
BitcoinTransactions,1,428,86,0.2,0.5,1,0.14421363533934878,0.01842948717948718,0.9741009125067096,21.62165331840515
BitcoinTransactions,1,428,86,0.2,0.5,2,0.1443024063348636,0.009083044982698962,0.9680622651637144,21.63421869277954
BitcoinTransactions,1,428,86,0.2,0.5,3,0.13421406252382648,0.017263427109974423,0.9479334406870639,21.634264945983887
BitcoinTransactions,1,428,86,0.2,0.5,4,0.135179187522967,0.008522727272727272,0.991009125067096,21.50623369216919
BitcoinTransactions,1,428,86,0.2,0.5,5,0.15218905603161775,0.014901960784313726,0.9677938808373591,21.62504553794861
BitcoinTransactions,1,428,108,0.25,0.5,1,0.1406083888732445,0.01680672268907563,0.966988727858293,21.32899284362793
BitcoinTransactions,1,428,108,0.25,0.5,2,0.14415374474386747,0.014568764568764568,0.9671229200214707,21.334864139556885
BitcoinTransactions,1,428,108,0.25,0.5,3,0.1492653833219551,0.012072434607645875,0.9706119162640902,21.314308643341064
BitcoinTransactions,1,428,108,0.25,0.5,4,0.1417912879609376,0.008771929824561403,0.9533011272141707,21.32698154449463
BitcoinTransactions,1,428,108,0.25,0.5,5,0.14156288836286543,0.019027484143763214,0.9724906065485776,21.298883199691772
BitcoinTransactions,1,428,129,0.3,0.5,1,0.14179343719700344,0.016339869281045753,0.9543746645195921,21.336812496185303
BitcoinTransactions,1,428,129,0.3,0.5,2,0.1348172546700732,0.0196078431372549,0.940955448201825,21.337547063827515
BitcoinTransactions,1,428,129,0.3,0.5,3,0.16458651651017076,0.011428571428571429,0.9959742351046699,21.37687110900879
BitcoinTransactions,1,428,129,0.3,0.5,4,0.13937706815271383,0.014204545454545454,0.9720880300590445,21.36984372138977
BitcoinTransactions,1,428,129,0.3,0.5,5,0.1362584475120805,0.015151515151515152,0.9761137949543747,21.37898540496826
BitcoinTransactions,1,428,150,0.35,0.5,1,0.13513154901807947,0.011904761904761904,0.9585346215780999,21.36173439025879
BitcoinTransactions,1,428,150,0.35,0.5,2,0.13855550754727594,0.013477088948787063,0.9622920021470747,21.384459972381592
BitcoinTransactions,1,428,150,0.35,0.5,3,0.13895988109014343,0.013032581453634085,0.9739667203435319,21.369150400161743
BitcoinTransactions,1,428,150,0.35,0.5,4,0.14662926074713883,0.012568306010928962,0.9716854535695115,21.34833812713623
BitcoinTransactions,1,428,150,0.35,0.5,5,0.13030106548804862,0.016581632653061226,0.9757112184648417,21.350438833236694
BitcoinTransactions,1,428,172,0.4,0.5,1,0.14456278596450522,0.015141540487162607,0.9726247987117552,21.326621055603027
BitcoinTransactions,1,428,172,0.4,0.5,2,0.1433883281130081,0.015197568389057751,0.9632313472893183,21.33804702758789
BitcoinTransactions,1,428,172,0.4,0.5,3,0.1536187508340218,0.010064412238325281,0.9720880300590445,21.368808269500732
BitcoinTransactions,1,428,172,0.4,0.5,4,0.143360593217386,0.014447884416924664,0.9722222222222222,21.37009620666504
BitcoinTransactions,1,428,172,0.4,0.5,5,0.1444984800379073,0.013793103448275862,0.9520933977455717,21.339839458465576
BitcoinTransactions,1,428,194,0.45,0.5,1,0.14182787366999938,0.010199125789218067,0.9727589908749329,21.35690665245056
BitcoinTransactions,1,428,194,0.45,0.5,2,0.14544149243093712,0.012866700977869275,0.9579978529253892,21.359477996826172
BitcoinTransactions,1,428,194,0.45,0.5,3,0.14785376859397154,0.013085399449035813,0.9766505636070854,21.37112069129944
BitcoinTransactions,1,428,194,0.45,0.5,4,0.15464563788037677,0.01206896551724138,0.9600107353730543,21.343873262405396
BitcoinTransactions,1,428,194,0.45,0.5,5,0.1455724867428946,0.012222222222222223,0.9436392914653784,21.373713493347168
BitcoinTransactions,1,428,215,0.5,0.5,1,0.14257686590365645,0.019385026737967916,0.9750402576489533,21.33212447166443
BitcoinTransactions,1,428,215,0.5,0.5,2,0.14201506307520148,0.014814814814814815,0.9825550187869029,21.3442804813385
BitcoinTransactions,1,428,215,0.5,0.5,3,0.11185935749869305,0.02964254577157803,0.9765163714439077,21.362383127212524
BitcoinTransactions,1,428,215,0.5,0.5,4,0.14017447926876084,0.01870967741935484,0.9966451959205582,21.3828067779541
BitcoinTransactions,1,428,215,0.5,0.5,5,0.15102243461906892,0.013810420590081607,0.998792270531401,21.355575561523438
BitcoinTransactions,1,428,237,0.55,0.5,1,0.14090582298073437,0.015306122448979591,0.9741009125067096,21.35622239112854
BitcoinTransactions,1,428,237,0.55,0.5,2,0.15207881684174548,0.016927083333333332,0.9684648416532474,21.35038709640503
BitcoinTransactions,1,428,237,0.55,0.5,3,0.14292486296743215,0.013691683569979716,0.9663177670424047,21.350740671157837
BitcoinTransactions,1,428,237,0.55,0.5,4,0.1466452363927514,0.015151515151515152,0.9716854535695115,21.365453004837036
BitcoinTransactions,1,428,237,0.55,0.5,5,0.1381318561190988,0.012903225806451613,0.9451154052603328,21.370140314102173
BitcoinTransactions,1,428,258,0.6,0.5,1,0.1433646971595108,0.010285179990649837,0.9918142780461621,21.361947536468506
BitcoinTransactions,1,428,258,0.6,0.5,2,0.14053384601153582,0.013071895424836602,0.9510198604401503,21.22618794441223
BitcoinTransactions,1,428,258,0.6,0.5,3,0.14648385194045127,0.007867820613690008,0.9664519592055824,21.347463130950928
BitcoinTransactions,1,428,258,0.6,0.5,4,0.1622763188438247,0.014545454545454545,0.999194847020934,21.343080759048462
BitcoinTransactions,1,428,258,0.6,0.5,5,0.13832390671802053,0.013513513513513514,0.9936929683306495,21.36695909500122
