network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,1,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,2,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,3,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,4,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,5,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,6,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,7,0.13748045480855836,0.002881844380403458,1.0,
Facebook,1,350,0,0,,8,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,9,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,10,0.09510350340677516,0.0,1.0,
Facebook,1,350,28,0.01,0.5,1,0.09510350340677516,0.0,1.0,10.236469507217407
Facebook,1,350,28,0.01,0.5,2,0.09510350340677516,0.0,1.0,10.293631553649902
Facebook,1,350,28,0.01,0.5,3,0.09438769773214416,0.0,0.9924098671726755,10.337067604064941
Facebook,1,350,28,0.01,0.5,4,0.09510350340677516,0.0,1.0,10.352021932601929
Facebook,1,350,28,0.01,0.5,5,0.09510350340677516,0.0,1.0,10.333074569702148
Facebook,1,350,28,0.01,0.5,6,0.09510350340677516,0.0,1.0,10.3551344871521
Facebook,1,350,28,0.01,0.5,7,0.09510350340677516,0.0,1.0,10.311304807662964
Facebook,1,350,28,0.01,0.5,8,0.09510350340677516,0.0,1.0,10.452910900115967
Facebook,1,350,28,0.01,0.5,9,0.09510350340677516,0.0,1.0,10.402493476867676
Facebook,1,350,28,0.01,0.5,10,0.09510350340677516,0.0,1.0,10.39400863647461
Facebook,1,350,142,0.05,0.5,1,0.09510350340677516,0.0,1.0,10.362598419189453
Facebook,1,350,142,0.05,0.5,2,0.09510350340677516,0.0,1.0,10.390692710876465
Facebook,1,350,142,0.05,0.5,3,0.13754290424350651,0.0005730659025787965,0.8687991325562483,10.359693765640259
Facebook,1,350,142,0.05,0.5,4,0.09510350340677516,0.0,1.0,10.342007875442505
Facebook,1,350,142,0.05,0.5,5,0.09510350340677516,0.0,1.0,10.505279302597046
Facebook,1,350,142,0.05,0.5,6,0.11402207747852677,0.0049261083743842365,1.0,10.323527097702026
Facebook,1,350,142,0.05,0.5,7,0.09510350340677516,0.0,1.0,10.700316905975342
Facebook,1,350,142,0.05,0.5,8,0.09510350340677516,0.0,1.0,10.432285070419312
Facebook,1,350,142,0.05,0.5,9,0.09506197362145226,0.0,0.9997289238275956,10.755003929138184
Facebook,1,350,142,0.05,0.5,10,0.09510350340677516,0.0,1.0,10.335345029830933
Facebook,1,350,284,0.1,0.5,1,0.09510350340677516,0.0,1.0,11.07616376876831
Facebook,1,350,284,0.1,0.5,2,0.09510350340677516,0.0,1.0,10.744841814041138
Facebook,1,350,284,0.1,0.5,3,0.09510350340677516,0.0,1.0,11.522804975509644
Facebook,1,350,284,0.1,0.5,4,0.09510350340677516,0.0,1.0,11.137611865997314
Facebook,1,350,284,0.1,0.5,5,0.09510350340677516,0.0,1.0,11.535750150680542
Facebook,1,350,284,0.1,0.5,6,0.09577376363483321,0.0014326647564469914,0.9994578476551911,10.88228464126587
Facebook,1,350,284,0.1,0.5,7,0.09510350340677516,0.0,1.0,10.974287509918213
Facebook,1,350,284,0.1,0.5,8,0.09510350340677516,0.0,1.0,10.422513484954834
Facebook,1,350,284,0.1,0.5,9,0.0950001877333576,0.0028653295128939827,1.0,11.126225233078003
Facebook,1,350,284,0.1,0.5,10,0.09494188041785606,0.0014326647564469914,0.9994578476551911,11.046912908554077
Facebook,1,350,427,0.15,0.5,1,0.09498825734372875,0.0,0.9991867714827867,10.757993221282959
Facebook,1,350,427,0.15,0.5,2,0.09510350340677516,0.0,1.0,10.696682214736938
Facebook,1,350,427,0.15,0.5,3,0.13392473575659522,0.0028735632183908046,1.0,10.535415410995483
Facebook,1,350,427,0.15,0.5,4,0.09493168067402705,0.0,0.9986446191379778,10.702491521835327
Facebook,1,350,427,0.15,0.5,5,0.09510350340677516,0.0,1.0,10.64076542854309
Facebook,1,350,427,0.15,0.5,6,0.09510350340677516,0.0,1.0,10.603924989700317
Facebook,1,350,427,0.15,0.5,7,0.10328602967921009,0.003003003003003003,1.0,10.598076581954956
Facebook,1,350,427,0.15,0.5,8,0.09510350340677516,0.0,1.0,10.701133728027344
Facebook,1,350,427,0.15,0.5,9,0.10757977793626644,0.0030864197530864196,1.0,10.59596848487854
Facebook,1,350,427,0.15,0.5,10,0.10569889072800617,0.003003003003003003,1.0,10.583645343780518
Facebook,1,350,569,0.2,0.5,1,0.09510350340677516,0.0,1.0,10.693703174591064
Facebook,1,350,569,0.2,0.5,2,0.09510350340677516,0.0,1.0,10.644490957260132
Facebook,1,350,569,0.2,0.5,3,0.09510350340677516,0.0,1.0,10.600775957107544
Facebook,1,350,569,0.2,0.5,4,0.09401878138559201,0.0029069767441860465,1.0,10.68309211730957
Facebook,1,350,569,0.2,0.5,5,0.09510350340677516,0.0,1.0,10.707056045532227
Facebook,1,350,569,0.2,0.5,6,0.09510350340677516,0.0,1.0,10.669973373413086
Facebook,1,350,569,0.2,0.5,7,0.0958195827535991,0.0028735632183908046,1.0,10.600822687149048
Facebook,1,350,569,0.2,0.5,8,0.09510350340677516,0.0,1.0,10.526082277297974
Facebook,1,350,569,0.2,0.5,9,0.09510350340677516,0.0,1.0,10.629958868026733
Facebook,1,350,569,0.2,0.5,10,0.11390532359242023,0.0016129032258064516,0.9994578476551911,10.63471245765686
Facebook,1,350,711,0.25,0.5,1,0.09510350340677516,0.0,1.0,10.653560638427734
Facebook,1,350,711,0.25,0.5,2,0.09510350340677516,0.0,1.0,10.6233651638031
Facebook,1,350,711,0.25,0.5,3,0.09510350340677516,0.0,1.0,10.679762363433838
Facebook,1,350,711,0.25,0.5,4,0.09507297986604714,0.0,0.9997289238275956,10.661454200744629
Facebook,1,350,711,0.25,0.5,5,0.09510350340677516,0.0,1.0,10.708874225616455
Facebook,1,350,711,0.25,0.5,6,0.09430473524513391,0.0014326647564469914,0.9853618866901599,10.648109912872314
Facebook,1,350,711,0.25,0.5,7,0.09510350340677516,0.0,1.0,10.721099853515625
Facebook,1,350,711,0.25,0.5,8,0.09510350340677516,0.0,1.0,10.617429494857788
Facebook,1,350,711,0.25,0.5,9,0.11110278140240551,0.004524886877828055,1.0,10.671278953552246
Facebook,1,350,711,0.25,0.5,10,0.09510350340677516,0.0,1.0,10.664227485656738
Facebook,1,350,854,0.3,0.5,1,0.09510350340677516,0.0,1.0,10.73366093635559
Facebook,1,350,854,0.3,0.5,2,0.09510350340677516,0.0,1.0,10.785812377929688
Facebook,1,350,854,0.3,0.5,3,0.09510350340677516,0.0,1.0,10.77586841583252
Facebook,1,350,854,0.3,0.5,4,0.095003726956509,0.0,0.9991867714827867,10.712115049362183
Facebook,1,350,854,0.3,0.5,5,0.09501881749442284,0.0,0.9994578476551911,10.63454556465149
Facebook,1,350,854,0.3,0.5,6,0.09501881749442284,0.0,0.9994578476551911,11.345322132110596
Facebook,1,350,854,0.3,0.5,7,0.09494188041785606,0.0028653295128939827,1.0,11.407817602157593
Facebook,1,350,854,0.3,0.5,8,0.09510350340677516,0.0,1.0,11.259292364120483
Facebook,1,350,854,0.3,0.5,9,0.09510350340677516,0.0,1.0,11.427098035812378
Facebook,1,350,854,0.3,0.5,10,0.09510350340677516,0.0,1.0,10.921307563781738
Facebook,1,350,996,0.35,0.5,1,0.10575953674138334,0.001736111111111111,0.9997289238275956,10.846087217330933
Facebook,1,350,996,0.35,0.5,2,0.1046957167252636,0.002008032128514056,0.9994578476551911,10.486178159713745
Facebook,1,350,996,0.35,0.5,3,0.09510350340677516,0.0,1.0,10.495011568069458
Facebook,1,350,996,0.35,0.5,4,0.09510350340677516,0.0,1.0,10.82709264755249
Facebook,1,350,996,0.35,0.5,5,0.09510350340677516,0.0,1.0,10.597982406616211
Facebook,1,350,996,0.35,0.5,6,0.09510350340677516,0.0,1.0,10.921404361724854
Facebook,1,350,996,0.35,0.5,7,0.09510350340677516,0.0,1.0,10.525127172470093
Facebook,1,350,996,0.35,0.5,8,0.0948854030174918,0.0014326647564469914,0.9994578476551911,10.879610300064087
Facebook,1,350,996,0.35,0.5,9,0.09510350340677516,0.0,1.0,10.80346155166626
Facebook,1,350,996,0.35,0.5,10,0.09510350340677516,0.0,1.0,11.476749658584595
Facebook,1,350,1138,0.4,0.5,1,0.09886100483342806,0.0015337423312883436,0.9989156953103823,10.805915117263794
Facebook,1,350,1138,0.4,0.5,2,0.09510350340677516,0.0,1.0,11.495933055877686
Facebook,1,350,1138,0.4,0.5,3,0.09510350340677516,0.0,1.0,11.027652978897095
Facebook,1,350,1138,0.4,0.5,4,0.09510350340677516,0.0,1.0,11.554822206497192
Facebook,1,350,1138,0.4,0.5,5,0.09510350340677516,0.0,1.0,10.918260335922241
Facebook,1,350,1138,0.4,0.5,6,0.09510350340677516,0.0,1.0,11.584071397781372
Facebook,1,350,1138,0.4,0.5,7,0.09497161962175545,0.0,0.9983735429655733,10.920428991317749
Facebook,1,350,1138,0.4,0.5,8,0.09494188041785606,0.0014326647564469914,0.9989156953103823,11.225425958633423
Facebook,1,350,1138,0.4,0.5,9,0.09506036847848005,0.0,0.9997289238275956,10.783261060714722
Facebook,1,350,1138,0.4,0.5,10,0.09510350340677516,0.0,1.0,11.028457164764404
Facebook,1,350,1280,0.45,0.5,1,0.09496053449665348,0.0,0.9989156953103823,10.709967136383057
Facebook,1,350,1280,0.45,0.5,2,0.09510350340677516,0.0,1.0,10.925683736801147
Facebook,1,350,1280,0.45,0.5,3,0.09510350340677516,0.0,1.0,10.81363296508789
Facebook,1,350,1280,0.45,0.5,4,0.09510350340677516,0.0,1.0,11.20915937423706
Facebook,1,350,1280,0.45,0.5,5,0.11172611366044148,0.003663003663003663,1.0,10.728055238723755
Facebook,1,350,1280,0.45,0.5,6,0.09510350340677516,0.0,1.0,11.260466814041138
Facebook,1,350,1280,0.45,0.5,7,0.09510350340677516,0.0,1.0,11.080268859863281
Facebook,1,350,1280,0.45,0.5,8,0.09864215111584572,0.0,0.9371103280021686,10.830318212509155
Facebook,1,350,1280,0.45,0.5,9,0.09510350340677516,0.0,1.0,10.749001026153564
Facebook,1,350,1280,0.45,0.5,10,0.09510350340677516,0.0,1.0,10.634475708007812
Facebook,1,350,1422,0.5,0.5,1,0.09510350340677516,0.0,1.0,10.79409408569336
Facebook,1,350,1422,0.5,0.5,2,0.09510350340677516,0.0,1.0,10.616230964660645
Facebook,1,350,1422,0.5,0.5,3,0.09463370613178797,0.0014326647564469914,0.9994578476551911,10.900434732437134
Facebook,1,350,1422,0.5,0.5,4,0.09510350340677516,0.0,1.0,10.665814638137817
Facebook,1,350,1422,0.5,0.5,5,0.09510350340677516,0.0,1.0,10.962119817733765
Facebook,1,350,1422,0.5,0.5,6,0.09506197362145226,0.0,0.9997289238275956,10.637007713317871
Facebook,1,350,1422,0.5,0.5,7,0.09485289677091278,0.0028653295128939827,1.0,10.913804292678833
Facebook,1,350,1422,0.5,0.5,8,0.09510350340677516,0.0,1.0,10.378676652908325
Facebook,1,350,1422,0.5,0.5,9,0.09510350340677516,0.0,1.0,10.745712757110596
Facebook,1,350,1422,0.5,0.5,10,0.09510350340677516,0.0,1.0,10.34814739227295
Facebook,1,350,1565,0.55,0.5,1,0.09510350340677516,0.0,1.0,10.8250150680542
Facebook,1,350,1565,0.55,0.5,2,0.09506197362145226,0.0,0.9997289238275956,10.228492736816406
Facebook,1,350,1565,0.55,0.5,3,0.09510350340677516,0.0,1.0,10.840420961380005
Facebook,1,350,1565,0.55,0.5,4,0.10440605307916445,0.0038461538461538464,1.0,10.256457328796387
Facebook,1,350,1565,0.55,0.5,5,0.09491194953243533,0.0009551098376313276,0.9910544863106533,10.8249831199646
Facebook,1,350,1565,0.55,0.5,6,0.09489587629981457,0.0014367816091954023,0.9994578476551911,10.414071321487427
Facebook,1,350,1565,0.55,0.5,7,0.0949154251122647,0.0014326647564469914,0.9994578476551911,10.75397515296936
Facebook,1,350,1565,0.55,0.5,8,0.09510350340677516,0.0,1.0,10.497988224029541
Facebook,1,350,1565,0.55,0.5,9,0.09501881749442284,0.0,0.9994578476551911,10.731355428695679
Facebook,1,350,1565,0.55,0.5,10,0.0949154251122647,0.0028653295128939827,1.0,10.833759546279907
Facebook,1,350,1707,0.6,0.5,1,0.09510350340677516,0.0,1.0,10.762904167175293
Facebook,1,350,1707,0.6,0.5,2,0.09501881749442284,0.0,0.9994578476551911,11.304115056991577
Facebook,1,350,1707,0.6,0.5,3,0.09510350340677516,0.0,1.0,10.936694622039795
Facebook,1,350,1707,0.6,0.5,4,0.09510350340677516,0.0,1.0,11.191365718841553
Facebook,1,350,1707,0.6,0.5,5,0.09510350340677516,0.0,1.0,10.782776117324829
Facebook,1,350,1707,0.6,0.5,6,0.09510350340677516,0.0,1.0,11.0722815990448
Facebook,1,350,1707,0.6,0.5,7,0.09510350340677516,0.0,1.0,10.793943881988525
Facebook,1,350,1707,0.6,0.5,8,0.0948854030174918,0.0028653295128939827,1.0,11.09497356414795
Facebook,1,350,1707,0.6,0.5,9,0.09510350340677516,0.0,1.0,10.780970573425293
Facebook,1,350,1707,0.6,0.5,10,0.09510350340677516,0.0,1.0,11.120648384094238
Facebook,1,350,1849,0.65,0.5,1,0.09510350340677516,0.0,1.0,10.905319690704346
Facebook,1,350,1849,0.65,0.5,2,0.09510350340677516,0.0,1.0,11.214179992675781
Facebook,1,350,1849,0.65,0.5,3,0.09498825734372875,0.0,0.9991867714827867,10.93851613998413
Facebook,1,350,1849,0.65,0.5,4,0.0977538857466108,0.0035971223021582736,1.0,11.067268133163452
Facebook,1,350,1849,0.65,0.5,5,0.09510350340677516,0.0,1.0,10.928951501846313
Facebook,1,350,1849,0.65,0.5,6,0.12363353204554667,0.002325581395348837,0.8842504743833017,10.950855016708374
Facebook,1,350,1849,0.65,0.5,7,0.09506036847848005,0.0,0.9997289238275956,10.99340009689331
