network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18498897384111868,0.0035587188612099642,1.0,
Actor,0,853,0,0,,0,0.20018919096400875,0.0033222591362126247,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18583666658297507,0.003424657534246575,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18757396685872435,0.002857142857142857,1.0,
Actor,0,853,0,0,,0,0.20285311208601978,0.00234375,0.9980732177263969,
Actor,0,853,0,0,,0,0.1903805329677176,0.0035460992907801418,1.0,
Actor,0,853,0,0,,0,0.1816750140991075,0.003236245954692557,1.0,
Actor,0,853,0,0,,0,0.19251513934804648,0.003194888178913738,1.0,
Actor,0,853,0,0,,0,0.18396069741172888,0.003289473684210526,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18802906885025483,0.003663003663003663,1.0,
Actor,0,853,0,0,,0,0.19316177799455372,0.0021321961620469083,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18729662246308051,0.003787878787878788,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.19396073110844209,0.003236245954692557,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18450414952061484,0.003125,1.0,
Actor,0,853,0,0,,0,0.1866134330851579,0.0036496350364963502,1.0,
Actor,0,853,0,0,,0,0.18695962029314428,0.002770083102493075,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.1968233792093721,0.0028011204481792717,1.0,
Actor,0,853,0,0,,0,0.19251203929504052,0.0027100271002710027,1.0,
Actor,0,853,0,0,,0,0.19789970258376408,0.004032258064516129,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18366096608404278,0.003076923076923077,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18989572879308902,0.003105590062111801,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18498498422350323,0.003246753246753247,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18716701004886013,0.0035971223021582736,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18259231434209178,0.0029940119760479044,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,3,0.01,0.5,1,0.18383188151284968,0.0033333333333333335,1.0,5.438745737075806
Actor,0,853,3,0.01,0.5,2,0.21342673130193923,0.0,1.0,5.797484397888184
Actor,0,853,3,0.01,0.5,3,0.21342673130193923,0.0,1.0,5.973226547241211
Actor,0,853,3,0.01,0.5,4,0.21342673130193923,0.0,1.0,6.073145389556885
