network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.2897389833064654,0.03017241379310345,0.8508430609597925,
Wiki,0,92,0,0,,0,0.265470537086268,0.022727272727272728,0.7388672719412019,
Wiki,0,92,1,0.01,0.5,1,0.23893079070146622,0.03804347826086957,0.9615218331171639,2.299346923828125
Wiki,0,92,1,0.01,0.5,2,0.24519257790033583,0.041666666666666664,0.8780804150453956,2.1399261951446533
Wiki,0,92,5,0.05,0.5,1,0.24889773207772078,0.02546296296296296,0.7392996108949417,2.197248697280884
Wiki,0,92,5,0.05,0.5,2,0.2767916006697772,0.026515151515151516,0.8720276696930394,2.2367911338806152
Wiki,0,92,10,0.1,0.5,1,0.24472990646473958,0.026785714285714284,0.7652399481193255,2.349055528640747
Wiki,0,92,10,0.1,0.5,2,0.2748349617582076,0.03804347826086957,0.9230436662343278,2.2203729152679443
Wiki,0,92,15,0.15,0.5,1,0.25538492919671396,0.04375,0.8530047557284911,2.2058136463165283
Wiki,0,92,15,0.15,0.5,2,0.23952996323283682,0.025390625,0.8672719412019023,2.3888590335845947
Wiki,0,92,20,0.2,0.5,1,0.29643267703448634,0.03804347826086957,0.9148292261132728,2.19807767868042
Wiki,0,92,20,0.2,0.5,2,0.2572578871390346,0.03804347826086957,0.9260700389105059,2.1080124378204346
Wiki,0,92,24,0.25,0.5,1,0.2575215336562444,0.02142857142857143,0.7769130998702983,2.0359272956848145
Wiki,0,92,24,0.25,0.5,2,0.2476860332980502,0.03125,0.7544314742758322,2.169834613800049
Wiki,0,92,29,0.3,0.5,1,0.24473937287201197,0.04375,0.885430177258971,2.0494589805603027
Wiki,0,92,29,0.3,0.5,2,0.26987107752339917,0.036458333333333336,0.8893212278426286,2.060473680496216
Wiki,0,92,34,0.35,0.5,1,0.25451223940066686,0.039473684210526314,0.7777777777777778,2.1955084800720215
Wiki,0,92,34,0.35,0.5,2,0.2581945351521559,0.041666666666666664,1.0,2.0812387466430664
Wiki,0,92,39,0.4,0.5,1,0.29132411362776206,0.0546875,0.8400345871162992,2.0576171875
Wiki,0,92,39,0.4,0.5,2,0.282653465030578,0.033854166666666664,0.8396022481625595,2.06622576713562
Wiki,0,92,44,0.45,0.5,1,0.3151825650352795,0.02620967741935484,0.869433635970601,2.1842594146728516
Wiki,0,92,44,0.45,0.5,2,0.28679089404882785,0.029166666666666667,0.8655425853869434,2.0635910034179688
Wiki,0,92,49,0.5,0.5,1,0.24242130393117417,0.04779411764705882,0.8227410289667099,2.060845136642456
Wiki,0,92,49,0.5,0.5,2,0.2619821757077067,0.036057692307692304,0.9316904453091224,2.1799380779266357
Wiki,0,92,54,0.55,0.5,1,0.23841144935278447,0.051470588235294115,0.9022913964548206,2.0645925998687744
Wiki,0,92,54,0.55,0.5,2,0.27323330893620834,0.035,0.8672719412019023,2.0612576007843018
Wiki,0,92,59,0.6,0.5,1,0.24459285122492042,0.03125,0.7998270644185042,2.0645058155059814
Wiki,0,92,59,0.6,0.5,2,0.27315171504303015,0.05514705882352941,0.9848681366191094,2.208281993865967
Wiki,0,92,64,0.65,0.5,1,0.2516968213331664,0.03009259259259259,0.8089061824470385,2.0572118759155273
Wiki,0,92,64,0.65,0.5,2,0.29208958044822364,0.05078125,0.8279290964115866,2.068920373916626
Wiki,0,92,69,0.7,0.5,1,0.2891200819823147,0.02462121212121212,0.880674448767834,2.200272798538208
Wiki,0,92,69,0.7,0.5,2,0.2788420776249646,0.043478260869565216,1.0,2.068218469619751
Wiki,0,92,74,0.75,0.5,1,0.25838237406325043,0.023706896551724137,0.7297881539126675,2.0635342597961426
Wiki,0,92,74,0.75,0.5,2,0.2691965039514685,0.05078125,0.8400345871162992,2.078117847442627
Wiki,0,92,78,0.8,0.5,1,0.2520829374960671,0.035326086956521736,0.8447903156074362,2.1765880584716797
Wiki,0,92,78,0.8,0.5,2,0.23619630252963242,0.05859375,0.95157803718115,2.0642623901367188
Wiki,0,92,83,0.85,0.5,1,0.29402050442674643,0.02364864864864865,0.9221789883268483,2.0662267208099365
Wiki,0,92,83,0.85,0.5,2,0.27035020847830055,0.033854166666666664,0.8465196714223951,2.192551851272583
Wiki,0,92,88,0.9,0.5,1,0.23695952751012989,0.03009259259259259,0.856463467358409,2.071843147277832
