network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.2539308526534258,0.04779411764705882,0.7872892347600519,
Wiki,0,92,0,0,,0,0.2309456843141828,0.035326086956521736,0.8357111975789019,
Wiki,0,92,0,0,,0,0.2519604555956305,0.05859375,0.9178555987894509,
Wiki,0,92,0,0,,0,0.2427992298224133,0.02620967741935484,0.8318201469952443,
Wiki,0,92,0,0,,0,0.31892013887537785,0.0546875,0.8914829226113273,
Wiki,0,92,0,0,,0,0.28058091146602676,0.04375,0.9061824470384782,
Wiki,0,92,0,0,,0,0.25327961967381374,0.03125,0.8019887591872028,
Wiki,0,92,0,0,,0,0.2736394397998844,0.0546875,0.9260700389105059,
Wiki,0,92,0,0,,0,0.2551591771702751,0.027083333333333334,0.9061824470384782,
Wiki,0,92,0,0,,0,0.25851534081196825,0.015625,0.7968006917423259,
Wiki,0,92,1,0.01,0.5,1,0.29609502948609273,0.03365384615384615,0.9070471249459576,1.6038835048675537
Wiki,0,92,1,0.01,0.5,2,0.26061712750855703,0.05078125,0.8201469952442715,1.593895673751831
Wiki,0,92,1,0.01,0.5,3,0.25775470847505444,0.014534883720930232,0.7038478166882837,1.7509572505950928
Wiki,0,92,1,0.01,0.5,4,0.20455031718987776,0.03017241379310345,0.8962386511024644,1.5692214965820312
Wiki,0,92,1,0.01,0.5,5,0.2336220430153153,0.040625,0.8495460440985733,1.5622200965881348
Wiki,0,92,1,0.01,0.5,6,0.23371728888726667,0.026785714285714284,0.8408992650237787,1.5760431289672852
Wiki,0,92,1,0.01,0.5,7,0.24016441848736203,0.035326086956521736,0.8724600086467791,1.7256321907043457
Wiki,0,92,1,0.01,0.5,8,0.2738898905862621,0.033854166666666664,0.8473843493298746,1.5727856159210205
Wiki,0,92,1,0.01,0.5,9,0.2594918744779725,0.03869047619047619,0.8357111975789019,1.5770409107208252
Wiki,0,92,1,0.01,0.5,10,0.31049187232766834,0.03125,0.869433635970601,1.585939645767212
Wiki,0,92,5,0.05,0.5,1,0.24716337005684258,0.02462121212121212,0.795071335927367,1.7095513343811035
Wiki,0,92,5,0.05,0.5,2,0.25319857814231866,0.032327586206896554,0.9641158668396023,1.5566942691802979
Wiki,0,92,5,0.05,0.5,3,0.2656477164312028,0.03409090909090909,0.7142239515780372,1.560990333557129
Wiki,0,92,5,0.05,0.5,4,0.27363065973338213,0.046875,0.9870298313878081,1.691175937652588
Wiki,0,92,5,0.05,0.5,5,0.263300944429479,0.033854166666666664,0.7648076091655858,1.5659961700439453
Wiki,0,92,5,0.05,0.5,6,0.24299903824657956,0.026515151515151516,0.9269347168179853,1.5609757900238037
Wiki,0,92,5,0.05,0.5,7,0.2530785232616185,0.02027027027027027,0.7492434068309555,1.5643320083618164
Wiki,0,92,5,0.05,0.5,8,0.24422778521994978,0.025,0.8495460440985733,1.7053918838500977
Wiki,0,92,5,0.05,0.5,9,0.2791934527526551,0.0275,0.6964980544747081,1.5739638805389404
Wiki,0,92,5,0.05,0.5,10,0.24756894778711494,0.020833333333333332,0.8447903156074362,1.577714204788208
Wiki,0,92,10,0.1,0.5,1,0.2706636726528484,0.03125,0.9083441418071768,1.7046184539794922
Wiki,0,92,10,0.1,0.5,2,0.2432177566675948,0.036931818181818184,0.8292261132728059,1.5679855346679688
Wiki,0,92,10,0.1,0.5,3,0.2507428012603731,0.027083333333333334,0.8287937743190662,1.5699212551116943
Wiki,0,92,10,0.1,0.5,4,0.26249506516619064,0.024305555555555556,0.8594898400345872,1.690028190612793
Wiki,0,92,10,0.1,0.5,5,0.2851720932240835,0.04861111111111111,0.9014267185473411,1.574653148651123
Wiki,0,92,10,0.1,0.5,6,0.29329448137478625,0.04276315789473684,0.7946389969736273,1.563082218170166
Wiki,0,92,10,0.1,0.5,7,0.2745408799471989,0.032407407407407406,0.9260700389105059,1.5759179592132568
Wiki,0,92,10,0.1,0.5,8,0.2540057262368404,0.027573529411764705,0.8971033290099438,1.7100868225097656
Wiki,0,92,10,0.1,0.5,9,0.2759719612606085,0.025735294117647058,0.8672719412019023,1.5603117942810059
Wiki,0,92,10,0.1,0.5,10,0.24335398209623235,0.033854166666666664,0.8577604842196281,1.5806496143341064
Wiki,0,92,15,0.15,0.5,1,0.2700922685134807,0.03804347826086957,0.849978383052313,1.7053275108337402
Wiki,0,92,15,0.15,0.5,2,0.24882110197210008,0.02389705882352941,0.7808041504539559,1.564934492111206
Wiki,0,92,15,0.15,0.5,3,0.25494796800866126,0.046052631578947366,0.874189364461738,1.5675938129425049
Wiki,0,92,15,0.15,0.5,4,0.2759961499118411,0.036458333333333336,0.8897535667963683,1.5683567523956299
Wiki,0,92,15,0.15,0.5,5,0.23080143851312224,0.033854166666666664,0.7877215737137916,1.709028959274292
Wiki,0,92,15,0.15,0.5,6,0.24361307541634414,0.0234375,0.7846952010376135,1.565532922744751
Wiki,0,92,15,0.15,0.5,7,0.24183972896006303,0.017857142857142856,0.7989623865110247,1.572474479675293
Wiki,0,92,15,0.15,0.5,8,0.26340537844359657,0.04861111111111111,0.9118028534370947,1.7066802978515625
Wiki,0,92,15,0.15,0.5,9,0.27431983054403886,0.04513888888888889,0.8136619109381755,1.569427728652954
Wiki,0,92,15,0.15,0.5,10,0.24879429172009265,0.035326086956521736,0.8404669260700389,1.5733129978179932
Wiki,0,92,20,0.2,0.5,1,0.27777886056881385,0.026442307692307692,0.7392996108949417,1.562990427017212
Wiki,0,92,20,0.2,0.5,2,0.30402464514349126,0.026785714285714284,0.8763510592304367,1.702683448791504
Wiki,0,92,20,0.2,0.5,3,0.23708218552316576,0.022569444444444444,0.7665369649805448,1.5720219612121582
Wiki,0,92,20,0.2,0.5,4,0.24467008337081522,0.024553571428571428,0.6977950713359273,1.5598657131195068
Wiki,0,92,20,0.2,0.5,5,0.2602437876367584,0.036931818181818184,0.832252485948984,1.6989619731903076
Wiki,0,92,20,0.2,0.5,6,0.24400352572097575,0.03260869565217391,0.8296584522265457,1.5697741508483887
Wiki,0,92,20,0.2,0.5,7,0.24709233655856014,0.02389705882352941,0.7756160830090791,1.5119218826293945
Wiki,0,92,20,0.2,0.5,8,0.2885784140649272,0.036458333333333336,0.8720276696930394,1.4407193660736084
Wiki,0,92,20,0.2,0.5,9,0.26111936519817225,0.029017857142857144,0.8331171638564635,1.5770511627197266
Wiki,0,92,20,0.2,0.5,10,0.23946473927892767,0.05555555555555555,1.0,1.4387216567993164
Wiki,0,92,24,0.25,0.5,1,0.2972541466644694,0.029017857142857144,0.8672719412019023,1.4394538402557373
Wiki,0,92,24,0.25,0.5,2,0.2850079665363733,0.04076086956521739,0.9463899697362732,1.5749096870422363
Wiki,0,92,24,0.25,0.5,3,0.25534369687215397,0.02734375,0.8837008214440121,1.439460277557373
Wiki,0,92,24,0.25,0.5,4,0.25705105850911353,0.0234375,0.7769130998702983,1.4506845474243164
Wiki,0,92,24,0.25,0.5,5,0.25761543504194695,0.022569444444444444,0.7998270644185042,1.4344215393066406
Wiki,0,92,24,0.25,0.5,6,0.23310111750728738,0.041666666666666664,0.8711629917855599,1.5623838901519775
Wiki,0,92,24,0.25,0.5,7,0.26350034384967325,0.06666666666666667,1.0,1.434446096420288
Wiki,0,92,24,0.25,0.5,8,0.23146553837912903,0.035326086956521736,0.7535667963683528,1.4331302642822266
Wiki,0,92,24,0.25,0.5,9,0.2946670232008647,0.0375,0.8127972330306961,1.579284906387329
Wiki,0,92,24,0.25,0.5,10,0.28305758882002974,0.034375,0.7782101167315175,1.44384765625
Wiki,0,92,29,0.3,0.5,1,0.2654466336090616,0.040625,0.8326848249027238,1.4376063346862793
Wiki,0,92,29,0.3,0.5,2,0.28376996881257527,0.025,0.7570255079982706,1.4368138313293457
Wiki,0,92,29,0.3,0.5,3,0.3042223876866012,0.025,0.7168179853004756,1.5709774494171143
Wiki,0,92,29,0.3,0.5,4,0.27965927155355624,0.04375,0.8638132295719845,1.4310922622680664
Wiki,0,92,29,0.3,0.5,5,0.25485698571573373,0.046052631578947366,0.9204496325118893,1.421250581741333
Wiki,0,92,29,0.3,0.5,6,0.2643421018239887,0.0375,0.9213143104193687,1.5673174858093262
Wiki,0,92,29,0.3,0.5,7,0.2518121274882832,0.03571428571428571,0.8110678772157371,1.4489920139312744
Wiki,0,92,29,0.3,0.5,8,0.2428840894219298,0.04375,0.8962386511024644,1.4254226684570312
Wiki,0,92,29,0.3,0.5,9,0.2592015882613003,0.036931818181818184,0.8746217034154777,1.4399921894073486
Wiki,0,92,29,0.3,0.5,10,0.2608210409119673,0.046052631578947366,0.9035884133160398,1.5753552913665771
Wiki,0,92,34,0.35,0.5,1,0.2734019748471828,0.028409090909090908,0.7137916126242975,1.4275622367858887
Wiki,0,92,34,0.35,0.5,2,0.26001478018499824,0.023148148148148147,0.712926934716818,1.444885492324829
Wiki,0,92,34,0.35,0.5,3,0.27500166324726355,0.02195945945945946,0.7881539126675313,1.5678832530975342
Wiki,0,92,34,0.35,0.5,4,0.25752289153061725,0.033482142857142856,0.9554690877648077,1.4377827644348145
Wiki,0,92,34,0.35,0.5,5,0.26133777434481115,0.03365384615384615,0.8702983138780804,1.4407541751861572
Wiki,0,92,34,0.35,0.5,6,0.2859012770916838,0.04513888888888889,0.8002594033722439,1.427598237991333
Wiki,0,92,34,0.35,0.5,7,0.2890772976186258,0.028409090909090908,0.914396887159533,1.5700688362121582
Wiki,0,92,34,0.35,0.5,8,0.23319982944790807,0.02734375,0.8910505836575876,1.4392361640930176
Wiki,0,92,34,0.35,0.5,9,0.24109253692775312,0.05416666666666667,0.8305231301340251,1.4288475513458252
