network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,191,0,0,,0,0.25666593667148235,0.006966213862765587,0.13279132791327913,
Wiki,1,191,0,0,,0,0.27486825185267844,0.006060606060606061,0.13730803974706413,
Wiki,1,191,0,0,,0,0.2892381320741458,0.005892255892255892,0.17886178861788618,
Wiki,1,191,0,0,,0,0.2808121993886442,0.005782312925170068,0.1016260162601626,
Wiki,1,191,0,0,,0,0.2839043256295882,0.006944444444444444,0.15537488708220415,
Wiki,1,191,0,0,,0,0.27579106147185667,0.007381507381507382,0.13595302619692864,
Wiki,1,191,0,0,,0,0.2766764919096029,0.007215007215007215,0.15492321589882566,
Wiki,1,191,0,0,,0,0.2799959477401939,0.005985783763561541,0.12014453477868112,
Wiki,1,191,0,0,,0,0.27572816840189496,0.006424792139077854,0.12420957542908763,
Wiki,1,191,0,0,,0,0.2901229317213196,0.0058309037900874635,0.15808491418247517,
Wiki,1,191,5,0.01,0.5,1,0.28200528403391195,0.0050224689399947136,0.14272809394760613,2.186704635620117
Wiki,1,191,5,0.01,0.5,2,0.27735466423740984,0.005208333333333333,0.12962962962962962,2.297308921813965
Wiki,1,191,5,0.01,0.5,3,0.2876518796787588,0.007241606319947334,0.16260162601626016,2.18056583404541
Wiki,1,191,5,0.01,0.5,4,0.28252098864944053,0.0073145245559038665,0.14588979223125564,2.131293296813965
Wiki,1,191,5,0.01,0.5,5,0.2762606630526986,0.004027926960257788,0.08446251129177959,2.0107147693634033
Wiki,1,191,5,0.01,0.5,6,0.2934074247091691,0.005256648113790971,0.0966576332429991,2.091315269470215
Wiki,1,191,5,0.01,0.5,7,0.27052519138166936,0.007744107744107744,0.17795844625112917,1.981212854385376
Wiki,1,191,5,0.01,0.5,8,0.26872127313662714,0.006122448979591836,0.11743450767841011,1.9804532527923584
Wiki,1,191,5,0.01,0.5,9,0.28621516553863413,0.005050505050505051,0.11653116531165311,2.011744976043701
Wiki,1,191,5,0.01,0.5,10,0.27803049152663417,0.0065832784726793945,0.14634146341463414,2.098632574081421
Wiki,1,191,26,0.05,0.5,1,0.29344265909822914,0.006734006734006734,0.16169828364950317,1.9838485717773438
Wiki,1,191,26,0.05,0.5,2,0.28190267017910603,0.005595786701777485,0.11698283649503162,1.980212688446045
Wiki,1,191,26,0.05,0.5,3,0.28243289096917235,0.006443298969072165,0.16666666666666666,2.0985355377197266
Wiki,1,191,26,0.05,0.5,4,0.2798140793654327,0.003993422598073761,0.0998193315266486,1.9863016605377197
Wiki,1,191,26,0.05,0.5,5,0.27316940741940554,0.0055393586005830905,0.14317976513098465,1.9850952625274658
Wiki,1,191,26,0.05,0.5,6,0.29185789217838987,0.005892255892255892,0.14634146341463414,2.1038429737091064
Wiki,1,191,26,0.05,0.5,7,0.2793030411460517,0.0065832784726793945,0.12059620596205962,2.0011894702911377
Wiki,1,191,26,0.05,0.5,8,0.2928500904601557,0.00510204081632653,0.1061427280939476,1.9825985431671143
Wiki,1,191,26,0.05,0.5,9,0.2742980513376953,0.007653061224489796,0.15130984643179765,1.9837627410888672
Wiki,1,191,26,0.05,0.5,10,0.2734189104056534,0.006493506493506494,0.11698283649503162,2.0929172039031982
Wiki,1,191,52,0.1,0.5,1,0.2882213505282169,0.006443298969072165,0.17434507678410116,1.9854230880737305
Wiki,1,191,52,0.1,0.5,2,0.26045814111636983,0.008011145942180425,0.17389340560072267,1.9813578128814697
Wiki,1,191,52,0.1,0.5,3,0.2644765482326777,0.007636502481863307,0.16305329719963865,1.983222484588623
Wiki,1,191,52,0.1,0.5,4,0.2808387871375631,0.006705539358600583,0.18112014453477868,2.100914716720581
Wiki,1,191,52,0.1,0.5,5,0.2689147036729917,0.006628787878787879,0.18112014453477868,1.9920437335968018
Wiki,1,191,52,0.1,0.5,6,0.2729690515637062,0.00510204081632653,0.1011743450767841,1.9830822944641113
Wiki,1,191,52,0.1,0.5,7,0.29888366236755604,0.005293953747561995,0.14272809394760613,2.100738048553467
Wiki,1,191,52,0.1,0.5,8,0.285788645477668,0.006902761104441777,0.1928635953026197,1.9872052669525146
Wiki,1,191,52,0.1,0.5,9,0.28492114594706935,0.006618863761720904,0.19060523938572718,1.98628830909729
Wiki,1,191,52,0.1,0.5,10,0.2745646716324747,0.008471814923427827,0.24480578139114725,2.09855580329895
Wiki,1,191,78,0.15,0.5,1,0.2897920041662573,0.007109847138286527,0.15176151761517614,1.989612340927124
Wiki,1,191,78,0.15,0.5,2,0.26812844057112223,0.012866015971606033,0.2732610659439928,2.009061098098755
Wiki,1,191,78,0.15,0.5,3,0.28268091517354477,0.006122448979591836,0.14950316169828365,1.9850256443023682
Wiki,1,191,78,0.15,0.5,4,0.28557916376596587,0.007575757575757576,0.18473351400180668,2.10447096824646
Wiki,1,191,78,0.15,0.5,5,0.2747396770864574,0.007930214115781126,0.16034327009936766,1.9863522052764893
Wiki,1,191,78,0.15,0.5,6,0.2763367916205055,0.006408470325996099,0.18066847335140018,1.9846928119659424
Wiki,1,191,78,0.15,0.5,7,0.2766527525545034,0.010612244897959184,0.1987353206865402,2.1141695976257324
Wiki,1,191,78,0.15,0.5,8,0.2878571785309968,0.006966213862765587,0.14859981933152666,1.9926385879516602
Wiki,1,191,78,0.15,0.5,9,0.2879375976749011,0.00937950937950938,0.19241192411924118,1.986379623413086
Wiki,1,191,78,0.15,0.5,10,0.2709568434809785,0.007741027445460943,0.1991869918699187,1.9853365421295166
Wiki,1,191,104,0.2,0.5,1,0.2897735985636475,0.00795837159473523,0.21680216802168023,2.1046054363250732
Wiki,1,191,104,0.2,0.5,2,0.26848245838442986,0.00935374149659864,0.1969286359530262,1.9957678318023682
Wiki,1,191,104,0.2,0.5,3,0.2752677053813962,0.01020408163265306,0.23757904245709124,1.9857268333435059
Wiki,1,191,104,0.2,0.5,4,0.26426571382054753,0.010884353741496598,0.27822944896115626,1.9899697303771973
Wiki,1,191,104,0.2,0.5,5,0.28450448462495337,0.008707767328456984,0.1874435411020777,2.1167824268341064
Wiki,1,191,104,0.2,0.5,6,0.2841748079952052,0.007142857142857143,0.17524841915085818,1.9918599128723145
Wiki,1,191,104,0.2,0.5,7,0.2813265838027768,0.008746355685131196,0.1874435411020777,2.0081264972686768
Wiki,1,191,104,0.2,0.5,8,0.2736952193245715,0.008229098090849244,0.2127371273712737,1.9882194995880127
Wiki,1,191,104,0.2,0.5,9,0.2829588888803191,0.006734006734006734,0.1919602529358627,2.1147067546844482
Wiki,1,191,104,0.2,0.5,10,0.26945906319125135,0.005772005772005772,0.15085817524841916,1.9898712635040283
Wiki,1,191,130,0.25,0.5,1,0.2868178049712766,0.008219954648526076,0.2768744354110208,1.990164041519165
Wiki,1,191,130,0.25,0.5,2,0.2953528717521274,0.007288629737609329,0.22583559168925021,2.1098570823669434
Wiki,1,191,130,0.25,0.5,3,0.294539068202073,0.00942562592047128,0.27235772357723576,1.9931261539459229
Wiki,1,191,130,0.25,0.5,4,0.2812632822258844,0.01020408163265306,0.25700090334236675,1.989363193511963
Wiki,1,191,130,0.25,0.5,5,0.27937098281764994,0.006253006253006253,0.18699186991869918,1.9907944202423096
Wiki,1,191,130,0.25,0.5,6,0.2807913416368537,0.006516780710329097,0.16485998193315266,2.1042428016662598
Wiki,1,191,130,0.25,0.5,7,0.2908315379190408,0.007596310363537711,0.29494128274616077,1.993086576461792
Wiki,1,191,130,0.25,0.5,8,0.2754826403023714,0.011595547309833023,0.21951219512195122,1.994882345199585
Wiki,1,191,130,0.25,0.5,9,0.28824873682888985,0.008703481392557022,0.21725383920505872,1.9895086288452148
Wiki,1,191,130,0.25,0.5,10,0.28413016707448135,0.006911217437533227,0.23757904245709124,2.1140189170837402
Wiki,1,191,155,0.3,0.5,1,0.27330565630579823,0.01020408163265306,0.35953026196928634,2.001920223236084
Wiki,1,191,155,0.3,0.5,2,0.2746836855730321,0.006377551020408163,0.22628726287262874,2.0040974617004395
Wiki,1,191,155,0.3,0.5,3,0.2629971234857671,0.00798611111111111,0.1973803071364047,1.9920008182525635
Wiki,1,191,155,0.3,0.5,4,0.2808234874164696,0.008698092031425365,0.3355916892502258,2.1312732696533203
Wiki,1,191,155,0.3,0.5,5,0.2642267511997539,0.011447811447811448,0.2926829268292683,2.0056025981903076
Wiki,1,191,155,0.3,0.5,6,0.28681847699525326,0.009785353535353536,0.28319783197831977,1.9885578155517578
Wiki,1,191,155,0.3,0.5,7,0.27678086966113236,0.007215007215007215,0.23712737127371275,1.9937407970428467
Wiki,1,191,155,0.3,0.5,8,0.2950588396514483,0.008698453608247423,0.23125564588979222,2.122896909713745
Wiki,1,191,155,0.3,0.5,9,0.2761566182786415,0.010426849136526556,0.2669376693766938,1.9917945861816406
Wiki,1,191,155,0.3,0.5,10,0.27824711491072784,0.010865874363327675,0.3288166214995483,1.993166208267212
Wiki,1,191,181,0.35,0.5,1,0.2807036773719196,0.013343799058084773,0.3310749774164408,2.1034531593322754
Wiki,1,191,181,0.35,0.5,2,0.2619060661300436,0.011428571428571429,0.24841915085817526,2.0024280548095703
Wiki,1,191,181,0.35,0.5,3,0.28942620179508965,0.013469387755102041,0.32113821138211385,1.9933946132659912
Wiki,1,191,181,0.35,0.5,4,0.2752312827641361,0.00715922107674685,0.22854561878952123,2.1194381713867188
Wiki,1,191,181,0.35,0.5,5,0.29477351902963594,0.009235209235209235,0.2971996386630533,1.9978246688842773
Wiki,1,191,181,0.35,0.5,6,0.2844094005236201,0.011904761904761904,0.3355916892502258,2.0029211044311523
Wiki,1,191,181,0.35,0.5,7,0.27321419514358136,0.009752699407871821,0.2181571815718157,1.9925992488861084
Wiki,1,191,181,0.35,0.5,8,0.2695574536142581,0.007518796992481203,0.22990063233965674,2.110441207885742
Wiki,1,191,181,0.35,0.5,9,0.26543608736671737,0.0106951871657754,0.33062330623306235,1.9941577911376953
Wiki,1,191,181,0.35,0.5,10,0.2769324318128787,0.013888888888888888,0.37037037037037035,1.9944400787353516
Wiki,1,191,207,0.4,0.5,1,0.289426565675747,0.009863945578231292,0.2809394760614273,1.9932029247283936
Wiki,1,191,207,0.4,0.5,2,0.2749975655778547,0.011306950448952444,0.3324299909665763,2.1206769943237305
Wiki,1,191,207,0.4,0.5,3,0.2875410492326477,0.009154040404040404,0.24841915085817526,1.9957704544067383
Wiki,1,191,207,0.4,0.5,4,0.28474435634026185,0.010691103474608629,0.23396567299006324,1.9989302158355713
Wiki,1,191,207,0.4,0.5,5,0.286248269809396,0.011363636363636364,0.2181571815718157,1.9958317279815674
Wiki,1,191,207,0.4,0.5,6,0.2831571009688724,0.009523809523809525,0.33785004516711836,2.119783639907837
Wiki,1,191,207,0.4,0.5,7,0.28635888659700426,0.011447811447811448,0.2931345980126468,2.000514507293701
Wiki,1,191,207,0.4,0.5,8,0.2822472878524593,0.009259259259259259,0.3093947606142728,1.9956004619598389
Wiki,1,191,207,0.4,0.5,9,0.28398410027485804,0.010522959183673469,0.3283649503161698,2.1091878414154053
Wiki,1,191,207,0.4,0.5,10,0.2699091571367262,0.012849584278155708,0.3062330623306233,1.99751615524292
Wiki,1,191,233,0.45,0.5,1,0.2813818646293886,0.008410200759631037,0.2971996386630533,2.038541555404663
Wiki,1,191,233,0.45,0.5,2,0.27387961298558955,0.0141287284144427,0.34327009936766034,2.002234697341919
Wiki,1,191,233,0.45,0.5,3,0.26999156956981624,0.012626262626262626,0.2660343270099368,2.121490240097046
Wiki,1,191,233,0.45,0.5,4,0.2775888100048729,0.013737373737373737,0.3265582655826558,2.003965139389038
Wiki,1,191,233,0.45,0.5,5,0.26135330268456264,0.010426849136526556,0.28184281842818426,1.9982788562774658
Wiki,1,191,233,0.45,0.5,6,0.28010734937896414,0.013019000703729768,0.35953026196928634,2.114093780517578
Wiki,1,191,233,0.45,0.5,7,0.2694194428406358,0.01020408163265306,0.3188798554652213,2.000504970550537
Wiki,1,191,233,0.45,0.5,8,0.2751881851273773,0.012626262626262626,0.3297199638663053,1.9996309280395508
Wiki,1,191,233,0.45,0.5,9,0.2630012166230114,0.010822510822510822,0.33378500451671184,1.9950902462005615
Wiki,1,191,233,0.45,0.5,10,0.2686014893128714,0.008658008658008658,0.26558265582655827,2.1227784156799316
Wiki,1,191,259,0.5,0.5,1,0.2614580091037048,0.014913657770800628,0.33739837398373984,2.003425359725952
Wiki,1,191,259,0.5,0.5,2,0.2594628600005987,0.01020408163265306,0.21589882565492322,2.0027527809143066
Wiki,1,191,259,0.5,0.5,3,0.2739001564483866,0.010841836734693877,0.3107497741644083,2.119075298309326
Wiki,1,191,259,0.5,0.5,4,0.2636533852438804,0.00816326530612245,0.32475158084914185,2.0000948905944824
Wiki,1,191,259,0.5,0.5,5,0.2778244161363055,0.010787172011661808,0.3509485094850949,2.0034103393554688
Wiki,1,191,259,0.5,0.5,6,0.2813395917805989,0.011661807580174927,0.2800361336946703,2.0162079334259033
