network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.37009324738586347,0.0025157232704402514,0.6927036027853467,
Facebook,1,736,0,0,,0,0.35047875658168887,0.0028268551236749115,0.6606115652437178,
Facebook,1,736,0,0,,0,0.42824918325614636,0.0016260162601626016,0.5376930063578564,
Facebook,1,736,0,0,,0,0.3572242993410168,0.002523659305993691,0.6715107478050257,
Facebook,1,736,0,0,,0,0.3963400070825159,0.0022058823529411764,0.5525280048440812,
Facebook,1,736,0,0,,0,0.3712450043223588,0.0025806451612903226,0.6966394187102634,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.29318509966844064,0.004329004329004329,1.0,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.3593287197377558,0.002888086642599278,0.6933091129276415,
Facebook,1,736,0,0,,0,0.3884112221719414,0.001910828025477707,0.5716015743263699,
Facebook,1,736,0,0,,0,0.4063215340617154,0.0027100271002710027,1.0,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,52,0.01,0.5,1,0.34467007351822704,0.002909090909090909,0.6678776869512565,3.476564645767212
Facebook,1,736,52,0.01,0.5,2,0.1745908194803562,0.0,1.0,3.6436097621917725
Facebook,1,736,52,0.01,0.5,3,0.36881062670370907,0.0037735849056603774,0.7026945201332122,3.3583643436431885
Facebook,1,736,52,0.01,0.5,4,0.3571070644329058,0.0031620553359683794,0.6924008477141992,3.4914133548736572
Facebook,1,736,52,0.01,0.5,5,0.1745908194803562,0.0,1.0,3.515927314758301
Facebook,1,736,52,0.01,0.5,6,0.3801942274236896,0.002531645569620253,0.6890705419315774,3.5456089973449707
Facebook,1,736,52,0.01,0.5,7,0.3623705178841065,0.0024922118380062306,0.6754465637299425,3.390078067779541
Facebook,1,736,52,0.01,0.5,8,0.1745908194803562,0.0,1.0,3.558553457260132
Facebook,1,736,52,0.01,0.5,9,0.1745908194803562,0.0,1.0,3.4793365001678467
Facebook,1,736,52,0.01,0.5,10,0.1745908194803562,0.0,1.0,3.5760045051574707
Facebook,1,736,52,0.01,0.5,11,0.40005476031733056,0.0022988505747126436,0.7184377838328792,3.339642286300659
Facebook,1,736,52,0.01,0.5,12,0.1745908194803562,0.0,1.0,3.662999153137207
Facebook,1,736,52,0.01,0.5,13,0.3386367127672982,0.0035087719298245615,0.667574931880109,3.3417246341705322
Facebook,1,736,52,0.01,0.5,14,0.1745908194803562,0.0,1.0,3.631542205810547
Facebook,1,736,52,0.01,0.5,15,0.1745908194803562,0.0,1.0,3.6630685329437256
Facebook,1,736,262,0.05,0.5,1,0.1745908194803562,0.0,1.0,3.5130913257598877
Facebook,1,736,262,0.05,0.5,2,0.4119351523306766,0.002162162162162162,0.7033000302755071,3.5808873176574707
Facebook,1,736,262,0.05,0.5,3,0.1745908194803562,0.0,1.0,3.5225110054016113
Facebook,1,736,262,0.05,0.5,4,0.1745908194803562,0.0,1.0,3.6776833534240723
Facebook,1,736,262,0.05,0.5,5,0.1745908194803562,0.0,1.0,3.505892753601074
Facebook,1,736,262,0.05,0.5,6,0.39160550930051097,0.0024691358024691358,0.7033000302755071,3.491046905517578
Facebook,1,736,262,0.05,0.5,7,0.1745908194803562,0.0,1.0,3.502946138381958
Facebook,1,736,262,0.05,0.5,8,0.42609116302439587,0.0020887728459530026,0.709355131698456,3.5002408027648926
Facebook,1,736,262,0.05,0.5,9,0.41709640719056107,0.0020304568527918783,0.701180744777475,3.3806915283203125
Facebook,1,736,262,0.05,0.5,10,0.3681923467691635,0.002631578947368421,0.6824099303663337,3.526369571685791
Facebook,1,736,262,0.05,0.5,11,0.4227463402420819,0.001477832512315271,0.5664547381168634,3.38269305229187
Facebook,1,736,262,0.05,0.5,12,0.1745908194803562,0.0,1.0,3.675771713256836
Facebook,1,736,262,0.05,0.5,13,0.1745908194803562,0.0,1.0,3.512070655822754
Facebook,1,736,262,0.05,0.5,14,0.1745908194803562,0.0,1.0,3.665553331375122
Facebook,1,736,262,0.05,0.5,15,0.1745908194803562,0.0,1.0,3.6739730834960938
Facebook,1,736,524,0.1,0.5,1,0.3709288112613105,0.0025806451612903226,0.7002724795640327,3.415780544281006
Facebook,1,736,524,0.1,0.5,2,0.41530517496366354,0.0020100502512562816,0.7181350287617317,3.5130653381347656
Facebook,1,736,524,0.1,0.5,3,0.43103162108109183,0.0021164021164021165,0.7045110505600969,3.413299322128296
Facebook,1,736,524,0.1,0.5,4,0.1745908194803562,0.0,1.0,3.719435930252075
Facebook,1,736,524,0.1,0.5,5,0.1745908194803562,0.0,1.0,3.552757978439331
Facebook,1,736,524,0.1,0.5,6,0.3794975690006854,0.002909090909090909,0.6754465637299425,3.5990517139434814
Facebook,1,736,524,0.1,0.5,7,0.33748083058887285,0.0030303030303030303,0.6615198304571601,3.450216054916382
Facebook,1,736,524,0.1,0.5,8,0.1745908194803562,0.0,1.0,3.7063140869140625
Facebook,1,736,524,0.1,0.5,9,0.3651827648241861,0.002173913043478261,0.6712079927338783,3.3785974979400635
Facebook,1,736,524,0.1,0.5,10,0.4028090639122979,0.0025974025974025974,1.0,3.547267436981201
Facebook,1,736,524,0.1,0.5,11,0.1745908194803562,0.0,1.0,3.717679977416992
Facebook,1,736,524,0.1,0.5,12,0.4224809632582571,0.0018867924528301887,0.7081441114138661,3.364595413208008
Facebook,1,736,524,0.1,0.5,13,0.3569795715002033,0.002366863905325444,0.6636391159551922,3.5200955867767334
Facebook,1,736,524,0.1,0.5,14,0.1745908194803562,0.0,1.0,3.515935182571411
Facebook,1,736,524,0.1,0.5,15,0.1745908194803562,0.0,1.0,3.6566927433013916
Facebook,1,736,787,0.15,0.5,1,0.1745908194803562,0.0,1.0,3.604994773864746
Facebook,1,736,787,0.15,0.5,2,0.1745908194803562,0.0,1.0,3.7534213066101074
Facebook,1,736,787,0.15,0.5,3,0.1745908194803562,0.0,1.0,3.6016013622283936
Facebook,1,736,787,0.15,0.5,4,0.42928822368805075,0.0017817371937639199,0.7008779897063275,3.6548757553100586
Facebook,1,736,787,0.15,0.5,5,0.4261529698501295,0.0022624434389140274,1.0,3.667919874191284
Facebook,1,736,787,0.15,0.5,6,0.3669984771339224,0.0026954177897574125,1.0,3.4677629470825195
Facebook,1,736,787,0.15,0.5,7,0.1745908194803562,0.0,1.0,3.667034864425659
Facebook,1,736,787,0.15,0.5,8,0.1745908194803562,0.0,1.0,3.5801546573638916
Facebook,1,736,787,0.15,0.5,9,0.1745908194803562,0.0,1.0,3.76181697845459
Facebook,1,736,787,0.15,0.5,10,0.3799385910684796,0.002484472049689441,0.7084468664850136,3.469487190246582
Facebook,1,736,787,0.15,0.5,11,0.4386111342775395,0.0017660044150110375,0.7026945201332122,3.6244709491729736
Facebook,1,736,787,0.15,0.5,12,0.38453007144454426,0.0026578073089701,0.6996669694217378,3.5893309116363525
Facebook,1,736,787,0.15,0.5,13,0.1745908194803562,0.0,1.0,3.602351188659668
Facebook,1,736,787,0.15,0.5,14,0.40399092523509966,0.002638522427440633,1.0,3.5976688861846924
Facebook,1,736,787,0.15,0.5,15,0.44362075355996666,0.0015296367112810707,0.6887677868604299,3.4874658584594727
Facebook,1,736,1049,0.2,0.5,1,0.4416321922610759,0.0019646365422396855,1.0,3.6709988117218018
Facebook,1,736,1049,0.2,0.5,2,0.3526398742368566,0.0032653061224489797,0.6754465637299425,3.634319543838501
Facebook,1,736,1049,0.2,0.5,3,0.1745908194803562,0.0,1.0,3.634554624557495
Facebook,1,736,1049,0.2,0.5,4,0.4012993619772279,0.003003003003003003,1.0,3.6433117389678955
Facebook,1,736,1049,0.2,0.5,5,0.3930607753060586,0.003134796238244514,1.0,3.497257947921753
Facebook,1,736,1049,0.2,0.5,6,0.39253428075027386,0.0030581039755351682,1.0,3.6373438835144043
Facebook,1,736,1049,0.2,0.5,7,0.1745908194803562,0.0,1.0,3.6111464500427246
Facebook,1,736,1049,0.2,0.5,8,0.1745908194803562,0.0,1.0,3.8703176975250244
Facebook,1,736,1049,0.2,0.5,9,0.41446473531872524,0.002457002457002457,1.0,3.6550326347351074
Facebook,1,736,1049,0.2,0.5,10,0.1745908194803562,0.0,1.0,3.5992400646209717
Facebook,1,736,1049,0.2,0.5,11,0.37115385695411224,0.00291970802919708,0.6942173781410839,3.5856502056121826
Facebook,1,736,1049,0.2,0.5,12,0.41077586353316975,0.0022346368715083797,0.7108689070541931,3.4799118041992188
Facebook,1,736,1049,0.2,0.5,13,0.3598408510163057,0.0037174721189591076,1.0,3.61962628364563
Facebook,1,736,1049,0.2,0.5,14,0.1745908194803562,0.0,1.0,3.6341159343719482
Facebook,1,736,1049,0.2,0.5,15,0.1745908194803562,0.0,1.0,3.77101731300354
Facebook,1,736,1311,0.25,0.5,1,0.3992212642656754,0.002572347266881029,0.6905843172873145,3.7396862506866455
Facebook,1,736,1311,0.25,0.5,2,0.45641506381256214,0.001873536299765808,0.6996669694217378,3.575639009475708
Facebook,1,736,1311,0.25,0.5,3,0.42753371351956637,0.002044989775051125,1.0,3.6568291187286377
Facebook,1,736,1311,0.25,0.5,4,0.36394723015311264,0.0025974025974025974,1.0,3.555490016937256
Facebook,1,736,1311,0.25,0.5,5,0.435843685374235,0.002506265664160401,1.0,3.659275770187378
Facebook,1,736,1311,0.25,0.5,6,0.1745908194803562,0.0,1.0,3.653254985809326
Facebook,1,736,1311,0.25,0.5,7,0.1745908194803562,0.0,1.0,3.845395803451538
Facebook,1,736,1311,0.25,0.5,8,0.3848768501421843,0.002909090909090909,0.6539509536784741,3.7023980617523193
Facebook,1,736,1311,0.25,0.5,9,0.37273584959911893,0.0031545741324921135,1.0,3.507777690887451
Facebook,1,736,1311,0.25,0.5,10,0.42793920976437627,0.001937046004842615,0.7151074780502573,3.662219524383545
Facebook,1,736,1311,0.25,0.5,11,0.1745908194803562,0.0,1.0,3.6544275283813477
Facebook,1,736,1311,0.25,0.5,12,0.38414545013559104,0.002359882005899705,0.6951256433545262,3.6909284591674805
Facebook,1,736,1311,0.25,0.5,13,0.1745908194803562,0.0,1.0,3.6504156589508057
Facebook,1,736,1311,0.25,0.5,14,0.4161206596229653,0.0024509803921568627,1.0,3.674774408340454
Facebook,1,736,1311,0.25,0.5,15,0.3593769124891717,0.0035211267605633804,1.0,3.5456132888793945
Facebook,1,736,1573,0.3,0.5,1,0.40200177127522396,0.0031645569620253164,1.0,3.6996517181396484
Facebook,1,736,1573,0.3,0.5,2,0.1745908194803562,0.0,1.0,3.882615327835083
Facebook,1,736,1573,0.3,0.5,3,0.3743902381208541,0.0035335689045936395,1.0,3.5179922580718994
Facebook,1,736,1573,0.3,0.5,4,0.1745908194803562,0.0,1.0,3.8043017387390137
Facebook,1,736,1573,0.3,0.5,5,0.3826167538686135,0.0029411764705882353,0.6975476839237057,3.5321502685546875
Facebook,1,736,1573,0.3,0.5,6,0.1745908194803562,0.0,1.0,3.830936908721924
Facebook,1,736,1573,0.3,0.5,7,0.1745908194803562,0.0,1.0,3.7056820392608643
Facebook,1,736,1573,0.3,0.5,8,0.1745908194803562,0.0,1.0,3.8613181114196777
Facebook,1,736,1573,0.3,0.5,9,0.4315968193648234,0.0020887728459530026,0.696336663639116,3.6702067852020264
Facebook,1,736,1573,0.3,0.5,10,0.43038070398008277,0.002373887240356083,0.7181350287617317,3.635087728500366
Facebook,1,736,1573,0.3,0.5,11,0.3696317608966691,0.0027303754266211604,0.6924008477141992,3.6880176067352295
Facebook,1,736,1573,0.3,0.5,12,0.1745908194803562,0.0,1.0,3.914027214050293
Facebook,1,736,1573,0.3,0.5,13,0.1745908194803562,0.0,1.0,3.6529436111450195
Facebook,1,736,1573,0.3,0.5,14,0.1745908194803562,0.0,1.0,3.8109095096588135
Facebook,1,736,1573,0.3,0.5,15,0.1745908194803562,0.0,1.0,3.674499750137329
Facebook,1,736,1835,0.35,0.5,1,0.1745908194803562,0.0,1.0,3.8488826751708984
Facebook,1,736,1835,0.35,0.5,2,0.1745908194803562,0.0,1.0,3.7441141605377197
Facebook,1,736,1835,0.35,0.5,3,0.39988881324240366,0.0029154518950437317,1.0,3.7952017784118652
Facebook,1,736,1835,0.35,0.5,4,0.1745908194803562,0.0,1.0,3.728109359741211
Facebook,1,736,1835,0.35,0.5,5,0.40643171887571317,0.002099737532808399,0.7020890099909174,3.8061811923980713
Facebook,1,736,1835,0.35,0.5,6,0.38223117850358207,0.0035398230088495575,0.7148047229791099,3.82393217086792
Facebook,1,736,1835,0.35,0.5,7,0.3929753864538685,0.003076923076923077,1.0,3.5610244274139404
Facebook,1,736,1835,0.35,0.5,8,0.40692643798713984,0.003257328990228013,1.0,3.7332510948181152
Facebook,1,736,1835,0.35,0.5,9,0.1745908194803562,0.0,1.0,3.749105930328369
Facebook,1,736,1835,0.35,0.5,10,0.43027155985501175,0.002421307506053269,1.0,3.74912691116333
Facebook,1,736,1835,0.35,0.5,11,0.37917691137853404,0.0031496062992125984,0.7026945201332122,3.6429288387298584
Facebook,1,736,1835,0.35,0.5,12,0.3975955240643678,0.0033444816053511705,1.0,3.7529232501983643
Facebook,1,736,1835,0.35,0.5,13,0.40890709614581155,0.0025889967637540453,0.7254011504692703,3.8519296646118164
Facebook,1,736,1835,0.35,0.5,14,0.3969098200645576,0.0031746031746031746,0.7132909476233726,3.6425487995147705
Facebook,1,736,1835,0.35,0.5,15,0.1745908194803562,0.0,1.0,3.9265263080596924
Facebook,1,736,2098,0.4,0.5,1,0.40206403299430976,0.003215434083601286,1.0,3.6051185131073
Facebook,1,736,2098,0.4,0.5,2,0.3785948327496643,0.00261437908496732,0.6872540115046927,3.772332191467285
Facebook,1,736,2098,0.4,0.5,3,0.1745908194803562,0.0,1.0,3.7579309940338135
Facebook,1,736,2098,0.4,0.5,4,0.40374053563650575,0.0022598870056497176,0.6920980926430518,3.831878423690796
Facebook,1,736,2098,0.4,0.5,5,0.3476453701428943,0.003787878787878788,1.0,3.6457035541534424
Facebook,1,736,2098,0.4,0.5,6,0.1745908194803562,0.0,1.0,3.9386231899261475
Facebook,1,736,2098,0.4,0.5,7,0.40116380167673305,0.003484320557491289,1.0,3.8288967609405518
Facebook,1,736,2098,0.4,0.5,8,0.1745908194803562,0.0,1.0,3.7946953773498535
Facebook,1,736,2098,0.4,0.5,9,0.1745908194803562,0.0,1.0,3.955888032913208
Facebook,1,736,2098,0.4,0.5,10,0.1745908194803562,0.0,1.0,3.7216222286224365
Facebook,1,736,2098,0.4,0.5,11,0.39702204410578196,0.0025889967637540453,0.706024825915834,3.732516288757324
Facebook,1,736,2098,0.4,0.5,12,0.4198740385709577,0.003194888178913738,1.0,3.673593759536743
Facebook,1,736,2098,0.4,0.5,13,0.38188415155195937,0.0024922118380062306,0.6833181955797759,3.780714273452759
Facebook,1,736,2098,0.4,0.5,14,0.40634994710760064,0.0027100271002710027,1.0,3.69336199760437
Facebook,1,736,2098,0.4,0.5,15,0.4128192974823598,0.003401360544217687,1.0,3.8112308979034424
Facebook,1,736,2360,0.45,0.5,1,0.37258984868324735,0.0038314176245210726,1.0,3.6861374378204346
Facebook,1,736,2360,0.45,0.5,2,0.1745908194803562,0.0,1.0,3.948150157928467
Facebook,1,736,2360,0.45,0.5,3,0.4098424171292933,0.0021390374331550803,0.7099606418407508,3.8707313537597656
Facebook,1,736,2360,0.45,0.5,4,0.4030309848967556,0.0034602076124567475,1.0,3.663864850997925
Facebook,1,736,2360,0.45,0.5,5,0.1745908194803562,0.0,1.0,4.0170676708221436
Facebook,1,736,2360,0.45,0.5,6,0.1745908194803562,0.0,1.0,3.824859619140625
Facebook,1,736,2360,0.45,0.5,7,0.3472451420696607,0.0026246719160104987,1.0,3.782287359237671
Facebook,1,736,2360,0.45,0.5,8,0.4042650845342555,0.0032679738562091504,1.0,3.671861171722412
Facebook,1,736,2360,0.45,0.5,9,0.2783287731673134,0.0037174721189591076,1.0,3.8563895225524902
Facebook,1,736,2360,0.45,0.5,10,0.1745908194803562,0.0,1.0,3.8213727474212646
Facebook,1,736,2360,0.45,0.5,11,0.3578910646240108,0.002973977695167286,0.6905843172873145,3.8158795833587646
Facebook,1,736,2360,0.45,0.5,12,0.38624105609030984,0.003246753246753247,1.0,3.844139814376831
Facebook,1,736,2360,0.45,0.5,13,0.3177545925325212,0.002952029520295203,0.6745382985165002,3.7044148445129395
Facebook,1,736,2360,0.45,0.5,14,0.41009003352237156,0.003875968992248062,1.0,3.820904016494751
Facebook,1,736,2360,0.45,0.5,15,0.1745908194803562,0.0,1.0,3.8125808238983154
Facebook,1,736,2622,0.5,0.5,1,0.1745908194803562,0.0,1.0,4.012261867523193
Facebook,1,736,2622,0.5,0.5,2,0.36373980639347486,0.0027210884353741495,0.6751438086587951,3.836620807647705
Facebook,1,736,2622,0.5,0.5,3,0.1745908194803562,0.0,1.0,3.8379671573638916
Facebook,1,736,2622,0.5,0.5,4,0.1745908194803562,0.0,1.0,3.9828078746795654
Facebook,1,736,2622,0.5,0.5,5,0.1745908194803562,0.0,1.0,3.869805097579956
Facebook,1,736,2622,0.5,0.5,6,0.1745908194803562,0.0,1.0,3.9817872047424316
Facebook,1,736,2622,0.5,0.5,7,0.391214436189811,0.002967359050445104,1.0,3.8945488929748535
Facebook,1,736,2622,0.5,0.5,8,0.1745908194803562,0.0,1.0,3.7997779846191406
Facebook,1,736,2622,0.5,0.5,9,0.1745908194803562,0.0,1.0,3.9345107078552246
Facebook,1,736,2622,0.5,0.5,10,0.3935288601465477,0.002785515320334262,1.0,3.7470593452453613
Facebook,1,736,2622,0.5,0.5,11,0.1745908194803562,0.0,1.0,4.045892715454102
Facebook,1,736,2622,0.5,0.5,12,0.1745908194803562,0.0,1.0,3.958768129348755
Facebook,1,736,2622,0.5,0.5,13,0.3779653106086341,0.003952569169960474,1.0,3.701737403869629
Facebook,1,736,2622,0.5,0.5,14,0.39708099802561186,0.0028653295128939827,1.0,3.8588593006134033
Facebook,1,736,2622,0.5,0.5,15,0.3988617442926176,0.0029498525073746312,1.0,3.7232673168182373
Facebook,1,736,2884,0.55,0.5,1,0.3170689188430712,0.004016064257028112,1.0,3.9034523963928223
Facebook,1,736,2884,0.55,0.5,2,0.41217780205754834,0.0028368794326241137,0.7166212534059946,3.7891438007354736
Facebook,1,736,2884,0.55,0.5,3,0.1745908194803562,0.0,1.0,4.009037256240845
Facebook,1,736,2884,0.55,0.5,4,0.39717602382184153,0.002976190476190476,1.0,3.9481375217437744
Facebook,1,736,2884,0.55,0.5,5,0.1745908194803562,0.0,1.0,3.827432632446289
Facebook,1,736,2884,0.55,0.5,6,0.1745908194803562,0.0,1.0,4.061108350753784
Facebook,1,736,2884,0.55,0.5,7,0.38153759609778737,0.0037735849056603774,1.0,3.7579238414764404
Facebook,1,736,2884,0.55,0.5,8,0.39441552538805885,0.003816793893129771,1.0,3.9223904609680176
Facebook,1,736,2884,0.55,0.5,9,0.1745908194803562,0.0,1.0,3.904179096221924
Facebook,1,736,2884,0.55,0.5,10,0.1745908194803562,0.0,1.0,4.031282186508179
Facebook,1,736,2884,0.55,0.5,11,0.38117499270607513,0.004310344827586207,1.0,3.899106025695801
Facebook,1,736,2884,0.55,0.5,12,0.3850068835273497,0.003745318352059925,1.0,3.7670557498931885
Facebook,1,736,2884,0.55,0.5,13,0.41156009953620937,0.0032258064516129032,1.0,3.914687156677246
Facebook,1,736,2884,0.55,0.5,14,0.3536767190060291,0.00299625468164794,0.6920980926430518,3.8155899047851562
Facebook,1,736,2884,0.55,0.5,15,0.3865178409044284,0.0028169014084507044,0.703905540417802,3.897928476333618
Facebook,1,736,3146,0.6,0.5,1,0.39857322096738357,0.0029411764705882353,1.0,3.974881410598755
Facebook,1,736,3146,0.6,0.5,2,0.1745908194803562,0.0,1.0,3.844043016433716
Facebook,1,736,3146,0.6,0.5,3,0.38818404787610783,0.0041841004184100415,1.0,3.98276948928833
Facebook,1,736,3146,0.6,0.5,4,0.38934259100632185,0.0033222591362126247,1.0,3.7366414070129395
Facebook,1,736,3146,0.6,0.5,5,0.33972813425871773,0.004405286343612335,1.0,3.889265537261963
Facebook,1,736,3146,0.6,0.5,6,0.1745908194803562,0.0,1.0,3.9463250637054443
Facebook,1,736,3146,0.6,0.5,7,0.1745908194803562,0.0,1.0,4.046908140182495
Facebook,1,736,3146,0.6,0.5,8,0.1745908194803562,0.0,1.0,4.091296911239624
Facebook,1,736,3146,0.6,0.5,9,0.3909317538660496,0.0035714285714285713,1.0,3.836900234222412
Facebook,1,736,3146,0.6,0.5,10,0.41581032194775586,0.0023952095808383233,0.7117771722676355,3.8958513736724854
Facebook,1,736,3146,0.6,0.5,11,0.4066814578525253,0.0035714285714285713,1.0,3.7902462482452393
