network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,736,0,0,,0,0.4003665145297282,0.002112676056338028,0.5555555555555556,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.40661126952198523,0.001639344262295082,0.5849227974568574,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.4027734574949783,0.002888086642599278,0.7317590069633666,
Facebook,1,736,52,0.01,0.5,1,0.1745908194803562,0.0,1.0,4.723644971847534
Facebook,1,736,52,0.01,0.5,2,0.4331522567150846,0.00199501246882793,0.7042082954889495,4.463776111602783
Facebook,1,736,52,0.01,0.5,3,0.2994723812111845,0.003484320557491289,1.0,4.626205205917358
Facebook,1,736,52,0.01,0.5,4,0.1745908194803562,0.0,1.0,4.664486885070801
Facebook,1,736,52,0.01,0.5,5,0.4119130803285378,0.0017543859649122807,0.5667574931880109,4.699301719665527
Facebook,1,736,262,0.05,0.5,1,0.36963999792369434,0.002318840579710145,0.6724190130184681,4.499631404876709
Facebook,1,736,262,0.05,0.5,2,0.1745908194803562,0.0,1.0,4.74053430557251
Facebook,1,736,262,0.05,0.5,3,0.1745908194803562,0.0,1.0,4.784664154052734
Facebook,1,736,262,0.05,0.5,4,0.4595762558172142,0.0023752969121140144,1.0,4.437116622924805
Facebook,1,736,262,0.05,0.5,5,0.3611416866982822,0.0027491408934707906,0.6766575840145322,4.5015082359313965
Facebook,1,736,524,0.1,0.5,1,0.1745908194803562,0.0,1.0,4.3485658168792725
Facebook,1,736,524,0.1,0.5,2,0.4665516639600051,0.002079002079002079,1.0,4.358521938323975
Facebook,1,736,524,0.1,0.5,3,0.1745908194803562,0.0,1.0,4.40972900390625
Facebook,1,736,524,0.1,0.5,4,0.31744588366864124,0.0047169811320754715,1.0,4.399606466293335
Facebook,1,736,524,0.1,0.5,5,0.43725938152514987,0.0018475750577367205,0.6975476839237057,4.266465663909912
Facebook,1,736,787,0.15,0.5,1,0.45612810948026283,0.002070393374741201,1.0,4.4505791664123535
Facebook,1,736,787,0.15,0.5,2,0.1745908194803562,0.0,1.0,4.439082622528076
Facebook,1,736,787,0.15,0.5,3,0.42094485086919925,0.002652519893899204,1.0,4.478955268859863
Facebook,1,736,787,0.15,0.5,4,0.3732921533769878,0.0027210884353741495,0.688162276718135,4.295467376708984
Facebook,1,736,787,0.15,0.5,5,0.1745908194803562,0.0,1.0,4.596980094909668
Facebook,1,736,1049,0.2,0.5,1,0.3689338510185285,0.0033472803347280333,0.6999697244928853,4.363996267318726
