network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,191,0,0,,0,0.28597424664861587,0.006734006734006734,0.14001806684733514,
Wiki,1,191,0,0,,0,0.2665467576332019,0.006060606060606061,0.10794941282746161,
Wiki,1,191,0,0,,0,0.28538514588502345,0.007741027445460943,0.15763324299909665,
Wiki,1,191,0,0,,0,0.28802882367904825,0.006122448979591836,0.13188798554652212,
Wiki,1,191,0,0,,0,0.28338031623714244,0.004136789851075565,0.11336946702800361,
Wiki,1,191,0,0,,0,0.2766604321190231,0.006397306397306397,0.11969286359530262,
Wiki,1,191,0,0,,0,0.2749760239894294,0.00510204081632653,0.06187895212285456,
Wiki,1,191,0,0,,0,0.27026935527665197,0.006734006734006734,0.11833785004516711,
Wiki,1,191,0,0,,0,0.27491548697290696,0.006462585034013605,0.14995483288166214,
Wiki,1,191,0,0,,0,0.2817930519053489,0.005266622778143515,0.1102077687443541,
Wiki,1,191,5,0.01,0.5,1,0.26543828685841625,0.0063335679099225895,0.10975609756097561,2.1545350551605225
Wiki,1,191,5,0.01,0.5,2,0.29287743470020455,0.005653475224476222,0.12330623306233063,2.245506525039673
Wiki,1,191,5,0.01,0.5,3,0.2870597178261047,0.007288629737609329,0.15492321589882566,2.1239817142486572
Wiki,1,191,5,0.01,0.5,4,0.27834388867124643,0.006397306397306397,0.12420957542908763,2.121058702468872
Wiki,1,191,5,0.01,0.5,5,0.28268488842657924,0.006121824303642486,0.17524841915085818,2.1532840728759766
Wiki,1,191,5,0.01,0.5,6,0.2818188846228196,0.004251700680272109,0.0975609756097561,2.243398904800415
Wiki,1,191,5,0.01,0.5,7,0.2719807539767483,0.005420918367346939,0.12330623306233063,2.119525194168091
Wiki,1,191,5,0.01,0.5,8,0.2802840150437269,0.00701530612244898,0.17118337850045168,2.1292483806610107
Wiki,1,191,5,0.01,0.5,9,0.2857469710053599,0.0048833423765599565,0.11065943992773261,2.1519806385040283
Wiki,1,191,5,0.01,0.5,10,0.2763567186969282,0.005739795918367347,0.13233965672990064,2.255821943283081
Wiki,1,191,26,0.05,0.5,1,0.27869283918134585,0.007389162561576354,0.17253839205058719,2.1276865005493164
Wiki,1,191,26,0.05,0.5,2,0.29241081436557076,0.007644007644007644,0.24119241192411925,2.1206414699554443
Wiki,1,191,26,0.05,0.5,3,0.26522137856733635,0.006300114547537228,0.1942186088527552,2.2404820919036865
Wiki,1,191,26,0.05,0.5,4,0.278336242130537,0.005668934240362812,0.12962962962962962,2.1336004734039307
Wiki,1,191,26,0.05,0.5,5,0.29012564635582927,0.008229098090849244,0.1946702800361337,2.1268248558044434
Wiki,1,191,26,0.05,0.5,6,0.28418445583125107,0.007543103448275862,0.1784101174345077,2.2534308433532715
Wiki,1,191,26,0.05,0.5,7,0.2780519026066039,0.00808080808080808,0.16531165311653118,2.1322128772735596
Wiki,1,191,26,0.05,0.5,8,0.2854552988145434,0.005582137161084529,0.14724480578139115,2.127992868423462
Wiki,1,191,26,0.05,0.5,9,0.26348816113300055,0.007905138339920948,0.11788617886178862,2.0469446182250977
Wiki,1,191,26,0.05,0.5,10,0.25578945278474036,0.007254677357770141,0.14634146341463414,2.0445199012756348
Wiki,1,191,52,0.1,0.5,1,0.2797069893738894,0.00701530612244898,0.1928635953026197,1.9303460121154785
Wiki,1,191,52,0.1,0.5,2,0.2801891039569761,0.004769921436588103,0.0993676603432701,1.9289898872375488
Wiki,1,191,52,0.1,0.5,3,0.27162947934988624,0.008417508417508417,0.14408310749774164,1.9227230548858643
Wiki,1,191,52,0.1,0.5,4,0.2755793250117017,0.006637806637806638,0.17570009033423667,2.0453872680664062
Wiki,1,191,52,0.1,0.5,5,0.2865478209528601,0.0058309037900874635,0.16124661246612465,1.922877550125122
Wiki,1,191,52,0.1,0.5,6,0.28826646281040974,0.006560449859418931,0.14679313459801266,1.923187017440796
Wiki,1,191,52,0.1,0.5,7,0.28699973734676043,0.006313131313131313,0.1842818428184282,2.0400912761688232
Wiki,1,191,52,0.1,0.5,8,0.26978497790054795,0.006379585326953748,0.1878952122854562,1.9246728420257568
Wiki,1,191,52,0.1,0.5,9,0.2747840082714219,0.00726010101010101,0.14769647696476965,1.9236960411071777
Wiki,1,191,52,0.1,0.5,10,0.28674411779131764,0.006535947712418301,0.16169828364950317,2.0373284816741943
Wiki,1,191,78,0.15,0.5,1,0.276339990698664,0.006802721088435374,0.17570009033423667,1.9359838962554932
Wiki,1,191,78,0.15,0.5,2,0.28307051089893087,0.005385487528344671,0.14679313459801266,1.9206702709197998
Wiki,1,191,78,0.15,0.5,3,0.28119151283366667,0.008541973490427098,0.23983739837398374,1.92535400390625
Wiki,1,191,78,0.15,0.5,4,0.27736622001430455,0.0065832784726793945,0.14634146341463414,2.06274676322937
Wiki,1,191,78,0.15,0.5,5,0.2711061012918918,0.006944444444444444,0.17615176151761516,1.9243757724761963
Wiki,1,191,78,0.15,0.5,6,0.2836400045929839,0.008888888888888889,0.1969286359530262,1.925825834274292
Wiki,1,191,78,0.15,0.5,7,0.2776201175395297,0.007936507936507936,0.17795844625112917,2.0515177249908447
Wiki,1,191,78,0.15,0.5,8,0.27144127353848935,0.006645401382243487,0.1960252935862692,1.9269869327545166
Wiki,1,191,78,0.15,0.5,9,0.2557468707500909,0.009879725085910653,0.1860885275519422,1.9257111549377441
Wiki,1,191,78,0.15,0.5,10,0.28112247549704783,0.00701530612244898,0.16982836495031617,1.9218459129333496
Wiki,1,191,104,0.2,0.5,1,0.27328162399248473,0.007856341189674524,0.16621499548328816,2.0451371669769287
Wiki,1,191,104,0.2,0.5,2,0.29706473539565253,0.006911217437533227,0.2041553748870822,1.9299216270446777
Wiki,1,191,104,0.2,0.5,3,0.27714129112655694,0.006713211600429645,0.1897018970189702,1.9263794422149658
Wiki,1,191,104,0.2,0.5,4,0.28227880741805783,0.010309278350515464,0.21906052393857273,1.9274640083312988
Wiki,1,191,104,0.2,0.5,5,0.2830610499970674,0.010101010101010102,0.20596205962059622,2.0590665340423584
Wiki,1,191,104,0.2,0.5,6,0.27381261118238204,0.006519274376417234,0.1874435411020777,1.9267702102661133
Wiki,1,191,104,0.2,0.5,7,0.29355044779576867,0.010568513119533527,0.23441734417344173,1.9284579753875732
Wiki,1,191,104,0.2,0.5,8,0.29050020460591086,0.00844475721323012,0.19828364950316169,1.9296784400939941
Wiki,1,191,104,0.2,0.5,9,0.27791041425045093,0.008348794063079777,0.21318879855465223,2.0645864009857178
Wiki,1,191,104,0.2,0.5,10,0.29381273504023764,0.007211538461538462,0.2610659439927733,1.9273686408996582
Wiki,1,191,130,0.25,0.5,1,0.2873203173648431,0.006184291898577613,0.14317976513098465,1.929903268814087
Wiki,1,191,130,0.25,0.5,2,0.27475016262494795,0.006713211600429645,0.25248419150858176,2.053072452545166
Wiki,1,191,130,0.25,0.5,3,0.27826418930817026,0.012371134020618556,0.26784101174345076,1.9383373260498047
Wiki,1,191,130,0.25,0.5,4,0.2751135553820423,0.008558262014483212,0.21138211382113822,1.9309685230255127
