network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,0,0.7324767926381694,0.00013257324671881213,0.010735373054213635,
BitcoinTransactions,1,428,0,0,,0,0.7473162126551295,0.0001271294177472667,0.02818035426731079,
BitcoinTransactions,1,428,0,0,,0,0.6824423629117512,0.00016632016632016632,0.00630703166935051,
BitcoinTransactions,1,428,0,0,,0,0.7029410866344803,0.0001457938474996355,0.00644122383252818,
BitcoinTransactions,1,428,0,0,,0,0.7450082383206094,8.830801836806782e-05,0.00013419216317767042,
BitcoinTransactions,1,428,0,0,,0,0.7072256447754708,0.00013850415512465375,0.03556092324208266,
BitcoinTransactions,1,428,0,0,,0,0.7336558952324477,0.0002006957452502007,0.04495437466451959,
BitcoinTransactions,1,428,0,0,,0,0.7188535166528599,0.00012774655084312725,0.036097691894793345,
BitcoinTransactions,1,428,0,0,,0,0.7030431061108783,0.0002105263157894737,0.0013419216317767043,
BitcoinTransactions,1,428,0,0,,0,0.7499939629304184,6.325910931174089e-05,0.0005367686527106817,
BitcoinTransactions,1,428,0,0,,0,0.7124681985830814,0.00018886930244270964,0.0038915727321524422,
BitcoinTransactions,1,428,0,0,,0,0.7306037955443855,6.67913438418381e-05,0.00040257648953301127,
BitcoinTransactions,1,428,0,0,,0,0.7120325753895241,7.112375533428166e-05,0.004159957058507783,
BitcoinTransactions,1,428,0,0,,0,0.7359296851348013,7.43383883437407e-05,0.00026838432635534085,
BitcoinTransactions,1,428,0,0,,0,0.7018573813953702,0.0001422475106685633,0.010601180891035964,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.12322006842584127,0.0060916179337231965,0.6494900697799249,6.6711366176605225
BitcoinTransactions,1,428,4,0.01,0.5,2,0.10138681112631256,0.007949561403508772,0.7569779924852389,5.315987586975098
BitcoinTransactions,1,428,4,0.01,0.5,3,0.10887486217832622,0.004990925589836661,0.5756843800322061,5.32622766494751
BitcoinTransactions,1,428,4,0.01,0.5,4,0.11783166241281456,0.004748713889988128,0.6258722490606549,5.312209129333496
BitcoinTransactions,1,428,4,0.01,0.5,5,0.11680019806156343,0.006925207756232687,0.6549919484702094,5.316154479980469
BitcoinTransactions,1,428,4,0.01,0.5,6,0.11987605327229053,0.006072874493927126,0.7901234567901234,5.317803859710693
BitcoinTransactions,1,428,4,0.01,0.5,7,0.1253508677381341,0.004349717268377556,0.5059044551798175,5.3158228397369385
BitcoinTransactions,1,428,4,0.01,0.5,8,0.11596435617038912,0.004182642035552457,0.6155394524959742,5.309740304946899
BitcoinTransactions,1,428,4,0.01,0.5,9,0.12184541262440192,0.006154499151103565,0.7526838432635534,5.316813230514526
BitcoinTransactions,1,428,4,0.01,0.5,10,0.12466046923533348,0.004422821760283061,0.514224369296833,5.311106204986572
BitcoinTransactions,1,428,4,0.01,0.5,11,0.11046888174206815,0.004818383988139363,0.6850509930220076,5.31283164024353
BitcoinTransactions,1,428,4,0.01,0.5,12,0.11789427675618663,0.004723346828609987,0.5438808373590982,5.30898642539978
BitcoinTransactions,1,428,4,0.01,0.5,13,0.11715391573376951,0.003289473684210526,0.48429951690821255,5.312417268753052
BitcoinTransactions,1,428,4,0.01,0.5,14,0.12247395561131189,0.00435142975549109,0.5454911433172303,5.315239191055298
BitcoinTransactions,1,428,4,0.01,0.5,15,0.1206699834452195,0.003811252268602541,0.5363660762211487,5.318826675415039
BitcoinTransactions,1,428,22,0.05,0.5,1,0.11207628926451742,0.006021409455842997,0.7116210413311863,5.323199510574341
BitcoinTransactions,1,428,22,0.05,0.5,2,0.11435567076591024,0.005404135338345864,0.6089640365002684,5.325865268707275
BitcoinTransactions,1,428,22,0.05,0.5,3,0.11275155470021003,0.009179926560587515,0.7816693505099302,5.319190740585327
BitcoinTransactions,1,428,22,0.05,0.5,4,0.10375261297991714,0.006394490900147565,0.6799516908212561,5.3175883293151855
BitcoinTransactions,1,428,22,0.05,0.5,5,0.11200275759066526,0.005152741994847258,0.7296027911969941,5.317892074584961
BitcoinTransactions,1,428,22,0.05,0.5,6,0.11256645141700067,0.007442849548112706,0.7376543209876543,5.329206705093384
BitcoinTransactions,1,428,22,0.05,0.5,7,0.1180589824247871,0.004881154499151104,0.5987654320987654,5.325766563415527
