network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,0,0.0897206449119506,0.02631578947368421,0.9354535695115406,
BitcoinTransactions,1,428,0,0,,0,0.08969721726177522,0.02564102564102564,1.0,
BitcoinTransactions,1,428,0,0,,0,0.09986426698993499,0.02706766917293233,0.9598765432098766,
BitcoinTransactions,1,428,0,0,,0,0.09578544704609976,0.02863777089783282,0.9813472893183038,
BitcoinTransactions,1,428,0,0,,0,0.09302962450042697,0.03125,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08904254101805524,0.02857142857142857,1.0,
BitcoinTransactions,1,428,0,0,,0,0.0892542902835547,0.030560271646859084,0.9351851851851852,
BitcoinTransactions,1,428,0,0,,0,0.09039564352206524,0.027046783625730993,0.9872517444981214,
BitcoinTransactions,1,428,0,0,,0,0.09584622251506256,0.029505582137161084,0.9822866344605475,
BitcoinTransactions,1,428,0,0,,0,0.09329550667794813,0.03042763157894737,0.9732957595276436,
BitcoinTransactions,1,428,0,0,,0,0.09292498601613171,0.024930747922437674,0.953569511540526,
BitcoinTransactions,1,428,0,0,,0,0.08879989744560199,0.027046783625730993,0.9802737520128825,
BitcoinTransactions,1,428,0,0,,0,0.08284745104031954,0.03571428571428571,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08838389082110772,0.020933014354066987,0.9265968867418143,
BitcoinTransactions,1,428,0,0,,0,0.08328105726306459,0.03333333333333333,1.0,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.09713323638528078,0.025,1.0,4.6961963176727295
BitcoinTransactions,1,428,4,0.01,0.5,2,0.10716274689727802,0.02706766917293233,0.9561191626409018,4.717185735702515
BitcoinTransactions,1,428,4,0.01,0.5,3,0.0909154433587345,0.024893314366998577,0.9467257112184648,4.702442646026611
BitcoinTransactions,1,428,4,0.01,0.5,4,0.0830461022599196,0.02863777089783282,0.9837627482555019,4.7140302658081055
BitcoinTransactions,1,428,4,0.01,0.5,5,0.08429728009250118,0.028708133971291867,0.9452495974235104,4.708811044692993
BitcoinTransactions,1,428,4,0.01,0.5,6,0.08770872937612416,0.03477443609022556,0.9688674181427804,4.713767051696777
BitcoinTransactions,1,428,4,0.01,0.5,7,0.08821837601977753,0.025584795321637425,0.9300858829844337,4.711971759796143
BitcoinTransactions,1,428,4,0.01,0.5,8,0.09139036385770039,0.027777777777777776,1.0,4.709507465362549
BitcoinTransactions,1,428,4,0.01,0.5,9,0.08374065987796055,0.03125,1.0,4.711631774902344
BitcoinTransactions,1,428,4,0.01,0.5,10,0.08744224803217113,0.03571428571428571,1.0,4.71380615234375
BitcoinTransactions,1,428,4,0.01,0.5,11,0.09016810078543115,0.02857142857142857,1.0,4.715988636016846
BitcoinTransactions,1,428,4,0.01,0.5,12,0.0876960302820031,0.03744939271255061,0.988593666129898,4.724804401397705
BitcoinTransactions,1,428,4,0.01,0.5,13,0.09372707577102066,0.0341130604288499,0.9315619967793881,4.727279901504517
BitcoinTransactions,1,428,4,0.01,0.5,14,0.09287516078211347,0.029411764705882353,1.0,4.724224328994751
BitcoinTransactions,1,428,4,0.01,0.5,15,0.08951483787718564,0.02496626180836707,0.9847020933977456,4.723005056381226
BitcoinTransactions,1,428,22,0.05,0.5,1,0.09601380876808806,0.02863777089783282,0.9966451959205582,4.714149475097656
BitcoinTransactions,1,428,22,0.05,0.5,2,0.09540124242913692,0.02631578947368421,0.9714170692431562,4.7063515186309814
BitcoinTransactions,1,428,22,0.05,0.5,3,0.08525873913924056,0.031409168081494056,0.988593666129898,4.7035017013549805
