network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,0,0.8574955781558208,0.0,0.006776904310111141,
Facebook,1,350,0,0,,0,0.924382440543984,0.0,0.01192735158579561,
Facebook,1,350,0,0,,0,0.9148674874123152,0.0,0.0,
Facebook,1,350,0,0,,0,0.9177311005615263,0.00019102196752626553,0.07454594741122256,
Facebook,1,350,0,0,,0,0.9349639028773602,0.00020466639377814163,0.012198427758200054,
Facebook,1,350,0,0,,0,0.8886218858495047,0.0,0.007047980482515587,
Facebook,1,350,0,0,,0,0.9274525264533843,0.0002058460271716756,0.049878015722418,
Facebook,1,350,0,0,,0,0.9311076483140001,0.0,0.0,
Facebook,1,350,0,0,,0,0.9021285953359193,0.0004116920543433512,0.036324207102195714,
Facebook,1,350,0,0,,0,0.950433226553279,0.00019102196752626553,0.012198427758200054,
Facebook,1,350,0,0,,0,0.8649574740384802,0.0004116920543433512,0.06722689075630252,
Facebook,1,350,0,0,,0,0.9075656479118792,0.0,0.006776904310111141,
Facebook,1,350,0,0,,0,0.9117229262044647,0.00019157088122605365,0.006776904310111141,
Facebook,1,350,0,0,,0,0.7960045177348556,0.0010107816711590297,0.1317430197885606,
Facebook,1,350,0,0,,0,0.8747557077277066,0.00020525451559934318,0.03659528327460016,
Facebook,1,350,0,0,,0,0.90635184579276,0.0,0.0,
Facebook,1,350,0,0,,0,0.8833361885904948,0.0001932367149758454,0.0,
Facebook,1,350,0,0,,0,0.8882070639683756,0.00020466639377814163,0.0,
Facebook,1,350,0,0,,0,0.9612566914441549,0.0,0.006776904310111141,
Facebook,1,350,0,0,,0,0.8826747372089593,0.0,0.0,
Facebook,1,350,0,0,,0,0.9125343551093842,0.00020466639377814163,0.0002710761724044456,
Facebook,1,350,0,0,,0,0.8850234030001705,0.0,0.0,
Facebook,1,350,0,0,,0,0.8473592275991139,0.00019102196752626553,0.12496611547844945,
Facebook,1,350,0,0,,0,0.9168472700595115,0.00019212295869356388,0.005150447275684467,
Facebook,1,350,0,0,,0,0.8793543929528371,0.00020525451559934318,0.061263214963404714,
