mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.01,0.01,0,15,0,0,0,0.7103472636126471,0.008333333333333333,0.05989847715736041,
0.01,0.01,0,15,1,0.01,0.5,1,0.6508914233909371,0.0,0.03248730964467005,1.296764612197876
0.01,0.01,0,15,1,0.01,0.5,2,0.6882818845009012,0.0,0.027411167512690356,1.2055585384368896
0.01,0.01,0,15,1,0.01,0.5,3,0.6961436815134773,0.0,0.03147208121827411,1.2057337760925293
0.01,0.01,0,15,1,0.01,0.5,4,0.6987787058596093,0.0,0.04568527918781726,1.2095189094543457
0.01,0.01,0,15,1,0.01,0.5,5,0.7004462641924493,0.0,0.03248730964467005,1.2114367485046387
0.01,0.01,0,15,1,0.01,0.5,6,0.6992332000801045,0.002976190476190476,0.048730964467005075,1.3555238246917725
0.01,0.01,0,15,1,0.01,0.5,7,0.6582174560922938,0.0,0.023350253807106598,1.2199680805206299
0.01,0.01,0,15,1,0.01,0.5,8,0.6966047814719302,0.010416666666666666,0.07715736040609138,1.2319157123565674
0.01,0.01,0,15,1,0.01,0.5,9,0.5902659629117892,0.0,0.0416243654822335,1.2105798721313477
0.01,0.01,0,15,1,0.01,0.5,10,0.6106024795146004,0.012422360248447204,0.09746192893401015,1.205183744430542
0.01,0.01,0,15,1,0.01,0.5,11,0.6779667556899875,0.013888888888888888,0.132994923857868,1.2052257061004639
0.01,0.01,0,15,1,0.01,0.5,12,0.7301790491035817,0.0,0.026395939086294416,1.205686330795288
0.01,0.01,0,15,1,0.01,0.5,13,0.7121442457807174,0.0,0.03959390862944162,1.2064824104309082
0.01,0.01,0,15,1,0.01,0.5,14,0.6757415803574043,0.003105590062111801,0.050761421319796954,1.357041358947754
0.01,0.01,0,15,1,0.01,0.5,15,0.7056611290621216,0.0,0.03248730964467005,1.2328355312347412
0.01,0.01,0,15,1,0.01,0.5,16,0.6285797468315106,0.0,0.04263959390862944,1.2125043869018555
0.01,0.01,0,15,1,0.01,0.5,17,0.7196293156433815,0.0,0.0040609137055837565,1.2117221355438232
0.01,0.01,0,15,1,0.01,0.5,18,0.6877817319222971,0.0,0.049746192893401014,1.2144088745117188
0.01,0.01,0,15,1,0.01,0.5,19,0.7054655578721379,0.0,0.03248730964467005,1.212733507156372
0.01,0.01,0,15,1,0.01,0.5,20,0.6241716652329891,0.002976190476190476,0.05177664974619289,1.2058742046356201
0.01,0.01,0,15,1,0.01,0.65,1,0.5941209468866923,0.0,0.04263959390862944,1.3580479621887207
0.01,0.01,0,15,1,0.01,0.65,2,0.6643240411159077,0.0,0.05583756345177665,1.2055881023406982
0.01,0.01,0,15,1,0.01,0.65,3,0.6717683202176237,0.002976190476190476,0.05786802030456853,1.20792818069458
0.01,0.01,0,15,1,0.01,0.65,4,0.6397516518135749,0.0,0.0,1.2115180492401123
0.01,0.01,0,15,1,0.01,0.65,5,0.6720258490766141,0.0,0.03147208121827411,1.2197003364562988
0.01,0.01,0,15,1,0.01,0.65,6,0.6153483397052565,0.003472222222222222,0.03654822335025381,1.2119450569152832
0.01,0.01,0,15,1,0.01,0.65,7,0.6573746261857246,0.003472222222222222,0.06802030456852792,1.205883264541626
0.01,0.01,0,15,1,0.01,0.65,8,0.6734177954522191,0.002976190476190476,0.04467005076142132,1.2170195579528809
0.01,0.01,0,15,1,0.01,0.65,9,0.6207470137007542,0.003787878787878788,0.08426395939086294,1.216264009475708
0.01,0.01,0,15,1,0.01,0.65,10,0.6832931540359591,0.007575757575757576,0.10456852791878173,1.3811688423156738
0.01,0.01,0,15,1,0.01,0.65,11,0.627158708481242,0.0,0.018274111675126905,1.2404184341430664
0.01,0.01,0,15,1,0.01,0.65,12,0.6758926826621304,0.0,0.02131979695431472,1.2406890392303467
0.01,0.01,0,15,1,0.01,0.65,13,0.6189457727836793,0.002976190476190476,0.03147208121827411,1.2291662693023682
0.01,0.01,0,15,1,0.01,0.65,14,0.6268539892404335,0.0,0.03248730964467005,1.226301908493042
0.01,0.01,0,15,1,0.01,0.65,15,0.6181260142347575,0.003472222222222222,0.03857868020304569,1.213089942932129
0.01,0.01,0,15,1,0.01,0.65,16,0.6201938735584345,0.0,0.024365482233502538,1.2082929611206055
0.01,0.01,0,15,1,0.01,0.65,17,0.6910208841754998,0.0,0.019289340101522844,1.2072155475616455
