mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,0.01,0,23,0,0,0,0.11287556186996674,0.05555555555555555,0.37563971340839303,
0.3,0.01,0,23,1,0.01,0.5,1,0.11273354698055053,0.0763888888888889,0.458546571136131,1.4891972541809082
0.3,0.01,0,23,1,0.01,0.5,2,0.13573471622065342,0.052083333333333336,0.4002047082906858,1.4390881061553955
0.3,0.01,0,23,1,0.01,0.5,3,0.11557372853037493,0.125,0.5301944728761515,1.4325330257415771
0.3,0.01,0,23,1,0.01,0.5,4,0.10616039277253041,0.125,0.4790174002047083,1.444096565246582
0.3,0.01,0,23,1,0.01,0.5,5,0.11619845764056978,0.09166666666666666,0.4677584442169908,1.4187085628509521
0.3,0.01,0,23,1,0.01,0.5,6,0.12034022364168048,0.1,0.49641760491299897,1.5392255783081055
0.3,0.01,0,23,1,0.01,0.5,7,0.11531043042531802,0.11458333333333333,0.5148413510747185,1.4107019901275635
0.3,0.01,0,23,1,0.01,0.5,8,0.11985446816359852,0.0625,0.40429887410440124,1.4455013275146484
0.3,0.01,0,23,1,0.01,0.5,9,0.12370515711060238,0.047619047619047616,0.33879222108495394,1.4506635665893555
0.3,0.01,0,23,1,0.01,0.5,10,0.11659531988885827,0.11458333333333333,0.5066530194472876,1.446453332901001
0.3,0.01,0,23,1,0.01,0.5,11,0.1209971073655177,0.16666666666666666,0.5179119754350051,1.4323396682739258
0.3,0.01,0,23,1,0.01,0.5,12,0.11529110115093795,0.11458333333333333,0.5015353121801432,1.4241769313812256
0.3,0.01,0,23,1,0.01,0.5,13,0.11763664973995668,0.18055555555555555,0.5731832139201638,1.602843999862671
0.3,0.01,0,23,1,0.01,0.5,14,0.11131724350021167,0.075,0.3725690890481064,1.420032024383545
0.3,0.01,0,23,1,0.01,0.5,15,0.1080847305175942,0.06944444444444445,0.41453428863868985,1.4339094161987305
0.3,0.01,0,23,1,0.01,0.5,16,0.10811045883304624,0.09166666666666666,0.4872057318321392,1.4019277095794678
0.3,0.01,0,23,1,0.01,0.5,17,0.1221845457137424,0.075,0.37871033776867963,1.4201257228851318
0.3,0.01,0,23,1,0.01,0.5,18,0.11393533160239024,0.05555555555555555,0.3694984646878199,1.4343016147613525
0.3,0.01,0,23,1,0.01,0.5,19,0.09481860445174144,0.125,0.5322415557830092,1.4387931823730469
0.3,0.01,0,23,1,0.01,0.5,20,0.10634174739065881,0.075,0.3991811668372569,1.4465887546539307
0.3,0.01,0,23,1,0.01,0.65,1,0.12054534363121126,0.125,0.5281473899692938,1.6157846450805664
0.3,0.01,0,23,1,0.01,0.65,2,0.13484278995758114,0.18055555555555555,0.5465711361310133,1.428851842880249
0.3,0.01,0,23,1,0.01,0.65,3,0.12812393702677877,0.075,0.3705220061412487,1.4261212348937988
0.3,0.01,0,23,1,0.01,0.65,4,0.13555240001779373,0.10416666666666667,0.4196519959058342,1.4364352226257324
0.3,0.01,0,23,1,0.01,0.65,5,0.12684297494474217,0.1388888888888889,0.44012282497441146,1.4289600849151611
0.3,0.01,0,23,1,0.01,0.65,6,0.10900609966161949,0.15625,0.6192425793244627,1.4323370456695557
0.3,0.01,0,23,1,0.01,0.65,7,0.15142436362401246,0.16666666666666666,0.5209825997952917,1.4015541076660156
0.3,0.01,0,23,1,0.01,0.65,8,0.10933318978545958,0.125,0.5158648925281474,1.459381103515625
0.3,0.01,0,23,1,0.01,0.65,9,0.1130221614539718,0.18055555555555555,0.5629477993858751,1.5900142192840576
0.3,0.01,0,23,1,0.01,0.65,10,0.11527196673058057,0.13541666666666666,0.5721596724667349,1.451028823852539
0.3,0.01,0,23,1,0.01,0.65,11,0.11709396611143406,0.09166666666666666,0.48311156601842375,1.376889944076538
0.3,0.01,0,23,1,0.01,0.65,12,0.12460440247629716,0.09375,0.3889457523029683,1.404968500137329
0.3,0.01,0,23,1,0.01,0.65,13,0.104426292904835,0.16666666666666666,0.5465711361310133,1.427910566329956
0.3,0.01,0,23,1,0.01,0.65,14,0.12892507889916527,0.08333333333333333,0.4257932446264074,1.4091572761535645
0.3,0.01,0,23,1,0.01,0.65,15,0.11491965744872365,0.10416666666666667,0.4452405322415558,1.3862056732177734
0.3,0.01,0,23,1,0.01,0.65,16,0.14570877802442384,0.125,0.5414534288638689,1.3845446109771729
0.3,0.01,0,23,1,0.01,0.65,17,0.11292649976646725,0.09166666666666666,0.4923234390992835,1.5754978656768799
0.3,0.01,0,23,1,0.01,0.65,18,0.11094847637725105,0.11458333333333333,0.46366427840327534,1.4088046550750732
0.3,0.01,0,23,1,0.01,0.65,19,0.12928822822739314,0.1,0.5312180143295804,1.416651964187622
0.3,0.01,0,23,1,0.01,0.65,20,0.12169476535882827,0.10416666666666667,0.42988741044012285,1.398416519165039
0.3,0.01,0,23,4,0.05,0.5,1,0.13405594561438597,0.09166666666666666,0.4790174002047083,1.386418342590332
0.3,0.01,0,23,4,0.05,0.5,2,0.13024241963916441,0.075,0.38178096212896623,1.3996641635894775
0.3,0.01,0,23,4,0.05,0.5,3,0.12996517898411813,0.05357142857142857,0.4165813715455476,1.402824878692627
0.3,0.01,0,23,4,0.05,0.5,4,0.1293837776575415,0.06547619047619048,0.4953940634595701,1.4073054790496826
0.3,0.01,0,23,4,0.05,0.5,5,0.11986940029630797,0.10416666666666667,0.44114636642784033,1.592766523361206
0.3,0.01,0,23,4,0.05,0.5,6,0.1111028040578872,0.18055555555555555,0.5373592630501536,1.4364268779754639
0.3,0.01,0,23,4,0.05,0.5,7,0.1282661456625468,0.10416666666666667,0.44319344933469806,1.4371511936187744
0.3,0.01,0,23,4,0.05,0.5,8,0.12098686433063148,0.19444444444444445,0.579324462640737,1.4455158710479736
0.3,0.01,0,23,4,0.05,0.5,9,0.11497616839371393,0.15625,0.6243602865916069,1.438438892364502
0.3,0.01,0,23,4,0.05,0.5,10,0.12424891552918056,0.125,0.49641760491299897,1.4398672580718994
0.3,0.01,0,23,4,0.05,0.5,11,0.12021693491553177,0.075,0.39508700102354144,1.4310004711151123
0.3,0.01,0,23,4,0.05,0.5,12,0.10289082117699516,0.13541666666666666,0.5803480040941658,1.4123444557189941
0.3,0.01,0,23,4,0.05,0.5,13,0.13353037866970507,0.16666666666666666,0.5230296827021494,1.40474534034729
0.3,0.01,0,23,4,0.05,0.5,14,0.11814631045088253,0.08333333333333333,0.45138178096212894,1.5956206321716309
0.3,0.01,0,23,4,0.05,0.5,15,0.10736823816519854,0.3333333333333333,0.6530194472876152,1.4372446537017822
0.3,0.01,0,23,4,0.05,0.5,16,0.12691703534903515,0.20833333333333334,0.6591606960081884,1.4361271858215332
0.3,0.01,0,23,4,0.05,0.5,17,0.14192367977254908,0.13541666666666666,0.5353121801432958,1.4401538372039795
0.3,0.01,0,23,4,0.05,0.5,18,0.11437289751269954,0.075,0.38178096212896623,1.4119646549224854
0.3,0.01,0,23,4,0.05,0.5,19,0.11000502702999203,0.18055555555555555,0.601842374616172,1.3999557495117188
0.3,0.01,0,23,4,0.05,0.5,20,0.10280108992729615,0.19444444444444445,0.5834186284544524,1.432011604309082
0.3,0.01,0,23,4,0.05,0.65,1,0.11649981085143869,0.20833333333333334,0.6417604912998977,1.5990703105926514
0.3,0.01,0,23,4,0.05,0.65,2,0.11468331460353585,0.19444444444444445,0.6028659160696008,1.4366974830627441
0.3,0.01,0,23,4,0.05,0.65,3,0.12773517633733045,0.15625,0.6560900716479018,1.430633783340454
0.3,0.01,0,23,4,0.05,0.65,4,0.10431328924976159,0.13541666666666666,0.6100307062436029,1.4032573699951172
0.3,0.01,0,23,4,0.05,0.65,5,0.13387981119935172,0.11458333333333333,0.4851586489252815,1.4260027408599854
0.3,0.01,0,23,4,0.05,0.65,6,0.12266756987200217,0.125,0.49948822927328557,1.4284164905548096
0.3,0.01,0,23,4,0.05,0.65,7,0.1213441903462693,0.2222222222222222,0.7205731832139202,1.4094107151031494
0.3,0.01,0,23,4,0.05,0.65,8,0.12421758618869616,0.11458333333333333,0.48004094165813715,1.4113407135009766
0.3,0.01,0,23,4,0.05,0.65,9,0.12695674192099493,0.08333333333333333,0.5005117707267144,1.627338171005249
0.3,0.01,0,23,4,0.05,0.65,10,0.13589905577221278,0.05555555555555555,0.5025588536335721,1.4258778095245361
0.3,0.01,0,23,4,0.05,0.65,11,0.11230921785977127,0.125,0.4953940634595701,1.418936014175415
0.3,0.01,0,23,4,0.05,0.65,12,0.12316802241063851,0.14583333333333334,0.5885363357215967,1.4321885108947754
0.3,0.01,0,23,4,0.05,0.65,13,0.1307472324938138,0.09166666666666666,0.4646878198567042,1.4240946769714355
0.3,0.01,0,23,4,0.05,0.65,14,0.1165540430780182,0.18055555555555555,0.5537359263050153,1.426748275756836
0.3,0.01,0,23,4,0.05,0.65,15,0.12927489977895965,0.18055555555555555,0.5496417604912999,1.4319524765014648
0.3,0.01,0,23,4,0.05,0.65,16,0.12444675638900125,0.09166666666666666,0.47389969293756395,1.410414457321167
0.3,0.01,0,23,4,0.05,0.65,17,0.12526429550211357,0.07142857142857142,0.5158648925281474,1.6267993450164795
0.3,0.01,0,23,4,0.05,0.65,18,0.12887359126342557,0.09375,0.3766632548618219,1.4332265853881836
0.3,0.01,0,23,4,0.05,0.65,19,0.1414958787952695,0.10416666666666667,0.4329580348004094,1.4241280555725098
0.3,0.01,0,23,4,0.05,0.65,20,0.12741619975264018,0.13541666666666666,0.5230296827021494,1.3841843605041504
0.3,0.01,0,23,9,0.1,0.5,1,0.11559317055648384,0.09375,0.39815762538382804,1.4152722358703613
