mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,5.0,0,39,0,0,0,0.8668294722774555,0.001644736842105263,0.12070759625390219,
0.3,5.0,0,39,3,0.01,0.5,1,0.8049627609628285,0.001589825119236884,0.07700312174817898,1.3557958602905273
0.3,5.0,0,39,3,0.01,0.5,2,0.8311234067847084,0.0,0.0,1.3492956161499023
0.3,5.0,0,39,3,0.01,0.5,3,0.8269580837771929,0.001644736842105263,0.03954214360041623,1.3375804424285889
0.3,5.0,0,39,3,0.01,0.5,4,0.8624334093442882,0.0,0.04058272632674298,1.3433091640472412
0.3,5.0,0,39,3,0.01,0.5,5,0.791395954668849,0.0,0.03433922996878252,1.4878623485565186
0.3,5.0,0,39,3,0.01,0.5,6,0.8906687143598105,0.0016806722689075631,0.002081165452653486,1.3463454246520996
0.3,5.0,0,39,3,0.01,0.5,7,0.8193957346653742,0.0017543859649122807,0.06555671175858481,1.3484792709350586
0.3,5.0,0,39,3,0.01,0.5,8,0.8045968997314566,0.0022624434389140274,0.11030176899063475,1.350346565246582
0.3,5.0,0,39,3,0.01,0.5,9,0.9328476063050225,0.0,0.002081165452653486,1.341672658920288
0.3,5.0,0,39,3,0.01,0.5,10,0.7998544078085891,0.0015479876160990713,0.04162330905306972,1.3400590419769287
0.3,5.0,0,39,3,0.01,0.5,11,0.865400665735692,0.0,0.0,1.317323923110962
0.3,5.0,0,39,3,0.01,0.5,12,0.7977674718158342,0.0,0.07180020811654526,1.2459557056427002
0.3,5.0,0,39,3,0.01,0.5,13,0.8976861739152514,0.001589825119236884,0.0,1.242150068283081
0.3,5.0,0,39,3,0.01,0.5,14,0.8314456770389604,0.0,0.06659729448491156,1.3988125324249268
0.3,5.0,0,39,3,0.01,0.5,15,0.8676599643939757,0.0,0.07388137356919876,1.235736608505249
0.3,5.0,0,39,3,0.01,0.5,16,0.8595964792229739,0.0,0.0,1.229867935180664
0.3,5.0,0,39,3,0.01,0.5,17,0.8561852880889048,0.0,0.0,1.2337617874145508
0.3,5.0,0,39,3,0.01,0.5,18,0.8045450648914291,0.001644736842105263,0.001040582726326743,1.226949691772461
0.3,5.0,0,39,3,0.01,0.5,19,0.8643642423081491,0.0,0.03954214360041623,1.2366456985473633
0.3,5.0,0,39,3,0.01,0.5,20,0.8910130317462699,0.0034602076124567475,0.19562955254942768,1.2408206462860107
0.3,5.0,0,39,3,0.01,0.65,1,0.8603069108475255,0.0,0.04058272632674298,1.3805630207061768
0.3,5.0,0,39,3,0.01,0.65,2,0.8657052686738189,0.0,0.002081165452653486,1.2294692993164062
0.3,5.0,0,39,3,0.01,0.65,3,0.8562073574935661,0.0,0.03954214360041623,1.2294514179229736
0.3,5.0,0,39,3,0.01,0.65,4,0.8965400833392407,0.0,0.001040582726326743,1.2348103523254395
0.3,5.0,0,39,3,0.01,0.65,5,0.8479122973226795,0.0,0.054110301768990635,1.2301435470581055
0.3,5.0,0,39,3,0.01,0.65,6,0.8134125877172266,0.0015479876160990713,0.07492195629552549,1.2300763130187988
0.3,5.0,0,39,3,0.01,0.65,7,0.8681236186852997,0.0,0.037460978147762745,1.229119062423706
0.3,5.0,0,39,3,0.01,0.65,8,0.8602289475476318,0.0015479876160990713,0.08532778355879292,1.2399206161499023
0.3,5.0,0,39,3,0.01,0.65,9,0.8306297000263934,0.0,0.04058272632674298,1.234046459197998
0.3,5.0,0,39,3,0.01,0.65,10,0.8394816661642653,0.0,0.001040582726326743,1.3925459384918213
0.3,5.0,0,39,3,0.01,0.65,11,0.8558258035889292,0.0,0.03433922996878252,1.252004623413086
0.3,5.0,0,39,3,0.01,0.65,12,0.8078030728387046,0.0015479876160990713,0.03537981269510926,1.2496352195739746
0.3,5.0,0,39,3,0.01,0.65,13,0.8271210067539501,0.0032679738562091504,0.11030176899063475,1.2295160293579102
0.3,5.0,0,39,3,0.01,0.65,14,0.8370434072352115,0.0015479876160990713,0.08428720083246619,1.2433357238769531
0.3,5.0,0,39,3,0.01,0.65,15,0.8619552958579642,0.001644736842105263,0.001040582726326743,1.2644989490509033
0.3,5.0,0,39,3,0.01,0.65,16,0.8191355043943122,0.002150537634408602,0.1529656607700312,1.2372138500213623
0.3,5.0,0,39,3,0.01,0.65,17,0.8692719168972185,0.0,0.0,1.395256757736206
0.3,5.0,0,39,3,0.01,0.65,18,0.8574241250824336,0.0,0.001040582726326743,1.2412009239196777
0.3,5.0,0,39,3,0.01,0.65,19,0.898514597966601,0.0,0.0,1.2558724880218506
0.3,5.0,0,39,3,0.01,0.65,20,0.873193818215293,0.0,0.0,1.2370383739471436
0.3,5.0,0,39,3,0.01,0.8,1,0.8610618355616887,0.0,0.03850156087408949,1.2345750331878662
0.3,5.0,0,39,3,0.01,0.8,2,0.887384809265403,0.0055147058823529415,0.17273673257023933,1.2306461334228516
0.3,5.0,0,39,3,0.01,0.8,3,0.843911403015406,0.001644736842105263,0.001040582726326743,1.228727102279663
0.3,5.0,0,39,3,0.01,0.8,4,0.8826455545615832,0.001589825119236884,0.03850156087408949,1.2365763187408447
0.3,5.0,0,39,3,0.01,0.8,5,0.8695946876906459,0.0,0.0,1.4007980823516846
0.3,5.0,0,39,3,0.01,0.8,6,0.8465802395719557,0.001736111111111111,0.08116545265348596,1.2468812465667725
0.3,5.0,0,39,3,0.01,0.8,7,0.8252922689627138,0.003703703703703704,0.19250780437044746,1.233795404434204
0.3,5.0,0,39,3,0.01,0.8,8,0.8641810131386967,0.0,0.0,1.2345571517944336
0.3,5.0,0,39,3,0.01,0.8,9,0.8149634365729235,0.001644736842105263,0.001040582726326743,1.2317185401916504
0.3,5.0,0,39,3,0.01,0.8,10,0.8275085173046496,0.0015479876160990713,0.10197710718002082,1.2336344718933105
0.3,5.0,0,39,3,0.01,0.8,11,0.845362888773399,0.005208333333333333,0.16233090530697192,1.2347443103790283
0.3,5.0,0,39,3,0.01,0.8,12,0.8001495871657398,0.003787878787878788,0.014568158168574402,1.231909990310669
0.3,5.0,0,39,3,0.01,0.8,13,0.7898510339604506,0.0015479876160990713,0.002081165452653486,1.2357289791107178
0.3,5.0,0,39,3,0.01,0.8,14,0.8121411247907533,0.0,0.03537981269510926,1.3996939659118652
0.3,5.0,0,39,3,0.01,0.8,15,0.8635296715456896,0.0016339869281045752,0.026014568158168574,1.237574815750122
0.3,5.0,0,39,3,0.01,0.8,16,0.8970937546594566,0.0,0.001040582726326743,1.2315099239349365
0.3,5.0,0,39,3,0.01,0.8,17,0.8729303092720327,0.0015479876160990713,0.12174817898022892,1.2378346920013428
0.3,5.0,0,39,3,0.01,0.8,18,0.8215171014181126,0.0,0.03537981269510926,1.2372546195983887
0.3,5.0,0,39,3,0.01,0.8,19,0.8387144023075959,0.0,0.04058272632674298,1.2957470417022705
0.3,5.0,0,39,3,0.01,0.8,20,0.8718815890590581,0.001644736842105263,0.07180020811654526,1.2334864139556885
0.3,5.0,0,39,3,0.01,0.95,1,0.8408059928164198,0.0,0.04058272632674298,1.2376701831817627
0.3,5.0,0,39,3,0.01,0.95,2,0.8935780480131712,0.0015479876160990713,0.04058272632674298,1.3983392715454102
0.3,5.0,0,39,3,0.01,0.95,3,0.8087595888735384,0.0017543859649122807,0.062434963579604576,1.2373995780944824
0.3,5.0,0,39,3,0.01,0.95,4,0.9444262813830668,0.0,0.0,1.2289361953735352
0.3,5.0,0,39,3,0.01,0.95,5,0.8881798739990562,0.0015479876160990713,0.0,1.2379429340362549
0.3,5.0,0,39,3,0.01,0.95,6,0.8250139810896739,0.0017543859649122807,0.013527575442247659,1.2373530864715576
0.3,5.0,0,39,3,0.01,0.95,7,0.8177697127181845,0.001953125,0.062434963579604576,1.235267162322998
0.3,5.0,0,39,3,0.01,0.95,8,0.7924924924814334,0.0019047619047619048,0.11446409989594172,1.2346751689910889
0.3,5.0,0,39,3,0.01,0.95,9,0.8735327075753473,0.0,0.04058272632674298,1.2357707023620605
0.3,5.0,0,39,3,0.01,0.95,10,0.8736501368456329,0.0,0.001040582726326743,1.390869140625
0.3,5.0,0,39,3,0.01,0.95,11,0.8523870071242308,0.0,0.003121748178980229,1.2450788021087646
0.3,5.0,0,39,3,0.01,0.95,12,0.8628803933888034,0.0,0.03954214360041623,1.3097319602966309
0.3,5.0,0,39,3,0.01,0.95,13,0.7849513938127161,0.003179650238473768,0.16337148803329865,1.2333409786224365
0.3,5.0,0,39,3,0.01,0.95,14,0.8665224919071829,0.0,0.001040582726326743,1.2335937023162842
0.3,5.0,0,39,3,0.01,0.95,15,0.895932265107414,0.0,0.0,1.2376701831817627
0.3,5.0,0,39,3,0.01,0.95,16,0.8354655013583977,0.0,0.0,1.2381165027618408
0.3,5.0,0,39,3,0.01,0.95,17,0.8153431404617709,0.001644736842105263,0.1113423517169615,1.231736421585083
0.3,5.0,0,39,3,0.01,0.95,18,0.8466565131461787,0.001644736842105263,0.001040582726326743,1.3950059413909912
0.3,5.0,0,39,3,0.01,0.95,19,0.8664579805061892,0.0,0.001040582726326743,1.2496421337127686
0.3,5.0,0,39,3,0.01,0.95,20,0.7930023335143075,0.0,0.03537981269510926,1.2302167415618896
0.3,5.0,0,39,14,0.05,0.5,1,0.8340329586748687,0.0032679738562091504,0.14568158168574402,1.2371838092803955
0.3,5.0,0,39,14,0.05,0.5,2,0.8042343456249003,0.0,0.002081165452653486,1.235597848892212
0.3,5.0,0,39,14,0.05,0.5,3,0.86742787974307,0.001644736842105263,0.002081165452653486,1.289304494857788
0.3,5.0,0,39,14,0.05,0.5,4,0.8009685616442315,0.004201680672268907,0.15192507804370448,1.2585198879241943
0.3,5.0,0,39,14,0.05,0.5,5,0.8546189171203359,0.0,0.001040582726326743,1.2665586471557617
0.3,5.0,0,39,14,0.05,0.5,6,0.8583711380793048,0.0,0.002081165452653486,1.401350736618042
0.3,5.0,0,39,14,0.05,0.5,7,0.8871457764419479,0.001736111111111111,0.07180020811654526,1.252202033996582
0.3,5.0,0,39,14,0.05,0.5,8,0.8754401208046031,0.0016339869281045752,0.08532778355879292,1.2467007637023926
0.3,5.0,0,39,14,0.05,0.5,9,0.8576449093201165,0.0,0.003121748178980229,1.2416965961456299
0.3,5.0,0,39,14,0.05,0.5,10,0.8571042874166317,0.0,0.037460978147762745,1.2412548065185547
0.3,5.0,0,39,14,0.05,0.5,11,0.8149939203213773,0.0,0.036420395421436005,1.2595324516296387
0.3,5.0,0,39,14,0.05,0.5,12,0.8362441366445226,0.0058823529411764705,0.12903225806451613,1.2499291896820068
0.3,5.0,0,39,14,0.05,0.5,13,0.8622489120072768,0.0,0.006243496357960458,1.2518377304077148
0.3,5.0,0,39,14,0.05,0.5,14,0.8096029113546347,0.0,0.0,1.4142615795135498
0.3,5.0,0,39,14,0.05,0.5,15,0.8694206621321785,0.003703703703703704,0.08740894901144641,1.2458479404449463
0.3,5.0,0,39,14,0.05,0.5,16,0.9142717509459923,0.0,0.03850156087408949,1.2408077716827393
0.3,5.0,0,39,14,0.05,0.5,17,0.899541738765726,0.0,0.001040582726326743,1.2431674003601074
0.3,5.0,0,39,14,0.05,0.5,18,0.8812437127936685,0.003676470588235294,0.12695109261186263,1.2374048233032227
0.3,5.0,0,39,14,0.05,0.5,19,0.8475562704397921,0.0,0.04058272632674298,1.2435379028320312
0.3,5.0,0,39,14,0.05,0.5,20,0.8637811152765285,0.0,0.0,1.2392585277557373
0.3,5.0,0,39,14,0.05,0.65,1,0.8754969329268772,0.0015479876160990713,0.0,1.2438080310821533
0.3,5.0,0,39,14,0.05,0.65,2,0.7990830409843617,0.0015479876160990713,0.08949011446409989,1.4011516571044922
0.3,5.0,0,39,14,0.05,0.65,3,0.8399876846949718,0.0,0.003121748178980229,1.2500641345977783
0.3,5.0,0,39,14,0.05,0.65,4,0.8313014863714168,0.0017301038062283738,0.04058272632674298,1.2459452152252197
0.3,5.0,0,39,14,0.05,0.65,5,0.8991290365718937,0.0,0.003121748178980229,1.2303524017333984
0.3,5.0,0,39,14,0.05,0.65,6,0.8609418222690393,0.0,0.001040582726326743,1.257871389389038
0.3,5.0,0,39,14,0.05,0.65,7,0.8983531976356491,0.0,0.0,1.2570216655731201
0.3,5.0,0,39,14,0.05,0.65,8,0.8275943208674207,0.0,0.03433922996878252,1.2514009475708008
0.3,5.0,0,39,14,0.05,0.65,9,0.8282325683007334,0.001644736842105263,0.036420395421436005,1.24574613571167
0.3,5.0,0,39,14,0.05,0.65,10,0.8586538124245922,0.0017857142857142857,0.0,1.4069416522979736
0.3,5.0,0,39,14,0.05,0.65,11,0.7690138152662619,0.002840909090909091,0.07908428720083246,1.249962329864502
0.3,5.0,0,39,14,0.05,0.65,12,0.8661695633445127,0.0,0.04890738813735692,1.2496685981750488
0.3,5.0,0,39,14,0.05,0.65,13,0.7883796116943589,0.004901960784313725,0.16024973985431842,1.2423138618469238
0.3,5.0,0,39,14,0.05,0.65,14,0.8415270685958365,0.0,0.001040582726326743,1.2398114204406738
0.3,5.0,0,39,14,0.05,0.65,15,0.8225906672475238,0.0,0.03537981269510926,1.2443127632141113
0.3,5.0,0,39,14,0.05,0.65,16,0.9023436256210354,0.0,0.0,1.2486004829406738
0.3,5.0,0,39,14,0.05,0.65,17,0.884208857835597,0.0,0.0,1.254110336303711
0.3,5.0,0,39,14,0.05,0.65,18,0.8961710340651442,0.0,0.002081165452653486,1.406090259552002
0.3,5.0,0,39,14,0.05,0.65,19,0.8163495183105783,0.0017543859649122807,0.06451612903225806,1.2342257499694824
0.3,5.0,0,39,14,0.05,0.65,20,0.8517862400213476,0.0,0.0,1.2396879196166992
0.3,5.0,0,39,14,0.05,0.8,1,0.8647446246651534,0.0,0.002081165452653486,1.2438220977783203
0.3,5.0,0,39,14,0.05,0.8,2,0.8562269311881273,0.0,0.0,1.2414631843566895
0.3,5.0,0,39,14,0.05,0.8,3,0.8506183252951521,0.0,0.03537981269510926,1.2324278354644775
0.3,5.0,0,39,14,0.05,0.8,4,0.8462685323916009,0.0,0.004162330905306972,1.239086627960205
0.3,5.0,0,39,14,0.05,0.8,5,0.9064145271105916,0.0017543859649122807,0.043704474505723206,1.2314586639404297
0.3,5.0,0,39,14,0.05,0.8,6,0.8128911920579283,0.0016891891891891893,0.08428720083246619,1.2443921566009521
0.3,5.0,0,39,14,0.05,0.8,7,0.8401261517223746,0.0,0.001040582726326743,1.40321946144104
0.3,5.0,0,39,14,0.05,0.8,8,0.8528733015789085,0.0,0.029136316337148804,1.2342529296875
0.3,5.0,0,39,14,0.05,0.8,9,0.8951971747397258,0.0,0.0,1.2496047019958496
0.3,5.0,0,39,14,0.05,0.8,10,0.8979646000206672,0.0,0.0,1.2847256660461426
0.3,5.0,0,39,14,0.05,0.8,11,0.8729612600641106,0.0,0.04058272632674298,1.2535316944122314
