mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,0.01,0,66,0,0,0,0.19555639833030028,0.04824561403508772,0.9197002141327623,
0.3,0.01,0,66,8,0.01,0.5,1,0.1908037899995118,0.05555555555555555,1.0,1.4057962894439697
0.3,0.01,0,66,8,0.01,0.5,2,0.20018461184966116,0.04824561403508772,0.9207708779443254,1.4011900424957275
0.3,0.01,0,66,8,0.01,0.5,3,0.18786679168993936,0.058823529411764705,1.0,1.3936963081359863
0.3,0.01,0,66,8,0.01,0.5,4,0.17492577994990763,0.046296296296296294,0.8597430406852249,1.3888461589813232
0.3,0.01,0,66,8,0.01,0.5,5,0.17812401313733034,0.036231884057971016,0.8319057815845824,1.3957607746124268
0.3,0.01,0,66,8,0.01,0.5,6,0.19987460026394105,0.02586206896551724,0.7987152034261242,1.5370509624481201
0.3,0.01,0,66,8,0.01,0.5,7,0.18673844641268478,0.03787878787878788,0.8779443254817987,1.3890235424041748
0.3,0.01,0,66,8,0.01,0.5,8,0.19622110793827452,0.05392156862745098,0.8843683083511777,1.394620418548584
0.3,0.01,0,66,8,0.01,0.5,9,0.20251122706290534,0.022435897435897436,0.5974304068522484,1.4007551670074463
0.3,0.01,0,66,8,0.01,0.5,10,0.2125847379401542,0.07692307692307693,1.0,1.3904986381530762
0.3,0.01,0,66,8,0.01,0.5,11,0.20555455798574315,0.031746031746031744,0.6788008565310493,1.3982048034667969
0.3,0.01,0,66,8,0.01,0.5,12,0.19158889951768568,0.03819444444444445,0.923982869379015,1.3988614082336426
0.3,0.01,0,66,8,0.01,0.5,13,0.1949024083913205,0.03571428571428571,0.7558886509635975,1.5431907176971436
0.3,0.01,0,66,8,0.01,0.5,14,0.19344101566019686,0.0763888888888889,0.9250535331905781,1.4032959938049316
0.3,0.01,0,66,8,0.01,0.5,15,0.1792832184623381,0.025,0.734475374732334,1.3952600955963135
0.3,0.01,0,66,8,0.01,0.5,16,0.20164733251992278,0.052083333333333336,0.8319057815845824,1.385641098022461
0.3,0.01,0,66,8,0.01,0.5,17,0.181036194289608,0.05392156862745098,0.9346895074946466,1.3964228630065918
0.3,0.01,0,66,8,0.01,0.5,18,0.1741779266073718,0.023333333333333334,0.5931477516059958,1.4240391254425049
0.3,0.01,0,66,8,0.01,0.5,19,0.15902911241841816,0.034722222222222224,0.8576017130620985,1.3839476108551025
0.3,0.01,0,66,8,0.01,0.5,20,0.1539957222066618,0.09090909090909091,1.0,1.3900845050811768
0.3,0.01,0,66,8,0.01,0.65,1,0.1985341663222347,0.03333333333333333,0.8297644539614561,1.5612945556640625
0.3,0.01,0,66,8,0.01,0.65,2,0.18819112568156243,0.05392156862745098,0.9421841541755889,1.4063341617584229
0.3,0.01,0,66,8,0.01,0.65,3,0.1965830301611042,0.017543859649122806,0.7098501070663812,1.3896896839141846
0.3,0.01,0,66,8,0.01,0.65,4,0.1885536128297095,0.046296296296296294,0.8351177730192719,1.3920667171478271
0.3,0.01,0,66,8,0.01,0.65,5,0.21943292820006113,0.022988505747126436,0.6434689507494646,1.3954052925109863
0.3,0.01,0,66,8,0.01,0.65,6,0.19628993607552084,0.07051282051282051,0.9443254817987152,1.3915934562683105
0.3,0.01,0,66,8,0.01,0.65,7,0.21008718302590776,0.049019607843137254,0.8650963597430407,1.396758794784546
0.3,0.01,0,66,8,0.01,0.65,8,0.1953893167404333,0.06547619047619048,0.9411134903640257,1.399632453918457
0.3,0.01,0,66,8,0.01,0.65,9,0.17598103712842778,0.04583333333333333,0.9271948608137045,1.5526812076568604
0.3,0.01,0,66,8,0.01,0.65,10,0.18843723921398167,0.058823529411764705,1.0,1.3969178199768066
0.3,0.01,0,66,8,0.01,0.65,11,0.1891467907683525,0.05392156862745098,0.930406852248394,1.3982043266296387
0.3,0.01,0,66,8,0.01,0.65,12,0.1861487358737306,0.03205128205128205,0.8554603854389722,1.3922145366668701
0.3,0.01,0,66,8,0.01,0.65,13,0.17537604025521564,0.041666666666666664,0.7483940042826552,1.371985912322998
0.3,0.01,0,66,8,0.01,0.65,14,0.1825566994957955,0.05952380952380952,0.8490364025695931,1.4040799140930176
0.3,0.01,0,66,8,0.01,0.65,15,0.12532120694731255,0.014285714285714285,0.9218415417558886,1.4068620204925537
0.3,0.01,0,66,8,0.01,0.65,16,0.18621772776533882,0.03333333333333333,0.8372591006423983,1.4008991718292236
0.3,0.01,0,66,8,0.01,0.65,17,0.18784949913665527,0.1111111111111111,1.0,1.4043583869934082
0.3,0.01,0,66,8,0.01,0.65,18,0.21246184802491197,0.045454545454545456,1.0,1.5731251239776611
0.3,0.01,0,66,8,0.01,0.65,19,0.17971337810774451,0.01881720430107527,0.6124197002141327,1.4440946578979492
0.3,0.01,0,66,8,0.01,0.65,20,0.17348009465819292,0.03409090909090909,0.7762312633832976,1.4076271057128906
0.3,0.01,0,66,8,0.01,0.8,1,0.16719569729010783,0.04583333333333333,0.9057815845824411,1.3951609134674072
0.3,0.01,0,66,8,0.01,0.8,2,0.18459162161328385,0.027777777777777776,0.7548179871520343,1.380345344543457
0.3,0.01,0,66,8,0.01,0.8,3,0.2023363840601171,0.07142857142857142,1.0,1.398637056350708
0.3,0.01,0,66,8,0.01,0.8,4,0.19549360051014555,0.057291666666666664,0.892933618843683,1.3937263488769531
0.3,0.01,0,66,8,0.01,0.8,5,0.19796806623318536,0.03508771929824561,0.6895074946466809,1.560971736907959
0.3,0.01,0,66,8,0.01,0.8,6,0.1909988325813838,0.04365079365079365,0.9218415417558886,1.384462594985962
0.3,0.01,0,66,8,0.01,0.8,7,0.1949303892699898,0.02976190476190476,0.8522483940042827,1.39316987991333
0.3,0.01,0,66,8,0.01,0.8,8,0.20136591382061328,0.1,1.0,1.3948230743408203
0.3,0.01,0,66,8,0.01,0.8,9,0.20911494868251737,0.04583333333333333,0.9486081370449678,1.3980352878570557
0.3,0.01,0,66,8,0.01,0.8,10,0.19311262953975408,0.047619047619047616,1.0,1.4022986888885498
0.3,0.01,0,66,8,0.01,0.8,11,0.2029062765859627,0.023809523809523808,0.6723768736616702,1.3973243236541748
0.3,0.01,0,66,8,0.01,0.8,12,0.21055116689322068,0.04365079365079365,0.9047109207708779,1.4001121520996094
0.3,0.01,0,66,8,0.01,0.8,13,0.2512918775616237,0.04824561403508772,0.9325481798715204,1.6191277503967285
0.3,0.01,0,66,8,0.01,0.8,14,0.19140233799448306,0.02586206896551724,0.7558886509635975,1.390782117843628
0.3,0.01,0,66,8,0.01,0.8,15,0.17548832957880336,0.02666666666666667,0.671306209850107,1.3988525867462158
0.3,0.01,0,66,8,0.01,0.8,16,0.20602737791179715,0.01904761904761905,0.6862955032119914,1.3991961479187012
0.3,0.01,0,66,8,0.01,0.8,17,0.23033905366685095,0.02564102564102564,0.6980728051391863,1.3955650329589844
0.3,0.01,0,66,8,0.01,0.8,18,0.1929408378706715,0.043478260869565216,1.0,1.392794132232666
0.3,0.01,0,66,8,0.01,0.8,19,0.19029345398323425,0.036231884057971016,0.8404710920770878,1.392693042755127
0.3,0.01,0,66,8,0.01,0.8,20,0.2054534447783273,0.1,1.0,1.325883388519287
0.3,0.01,0,66,8,0.01,0.95,1,0.1964133829226331,0.027777777777777776,0.7119914346895075,1.4445827007293701
0.3,0.01,0,66,8,0.01,0.95,2,0.20272808269523052,0.028985507246376812,0.6434689507494646,1.2776117324829102
0.3,0.01,0,66,8,0.01,0.95,3,0.21849560306980367,0.028985507246376812,0.6670235546038544,1.271700382232666
0.3,0.01,0,66,8,0.01,0.95,4,0.19792585440688867,0.05263157894736842,1.0,1.266873836517334
0.3,0.01,0,66,8,0.01,0.95,5,0.18905476727719808,0.049019607843137254,0.8404710920770878,1.2754554748535156
0.3,0.01,0,66,8,0.01,0.95,6,0.21816809558754272,0.043859649122807015,0.8319057815845824,1.2765119075775146
0.3,0.01,0,66,8,0.01,0.95,7,0.17169603303387213,0.05263157894736842,1.0,1.2764286994934082
0.3,0.01,0,66,8,0.01,0.95,8,0.1793553341847287,0.04365079365079365,0.9271948608137045,1.2787115573883057
0.3,0.01,0,66,8,0.01,0.95,9,0.22197037457983834,0.034722222222222224,0.8447537473233405,1.2702534198760986
0.3,0.01,0,66,8,0.01,0.95,10,0.17080226272027965,0.05263157894736842,1.0,1.4534566402435303
0.3,0.01,0,66,8,0.01,0.95,11,0.1919340714659449,0.028846153846153848,0.7184154175588865,1.278301477432251
0.3,0.01,0,66,8,0.01,0.95,12,0.1926103811444638,0.028735632183908046,0.8372591006423983,1.2826440334320068
0.3,0.01,0,66,8,0.01,0.95,13,0.22410120885391416,0.05092592592592592,0.9336188436830836,1.2767250537872314
0.3,0.01,0,66,8,0.01,0.95,14,0.22182802029262325,0.0625,1.0,1.272611141204834
0.3,0.01,0,66,8,0.01,0.95,15,0.2048301930794957,0.030303030303030304,0.6895074946466809,1.2712886333465576
0.3,0.01,0,66,8,0.01,0.95,16,0.18324535481947782,0.03409090909090909,0.721627408993576,1.274139642715454
0.3,0.01,0,66,8,0.01,0.95,17,0.19964249782999516,0.026881720430107527,0.867237687366167,1.26985502243042
0.3,0.01,0,66,8,0.01,0.95,18,0.19531289581704797,0.07142857142857142,1.0,1.4343016147613525
0.3,0.01,0,66,8,0.01,0.95,19,0.16416381194182758,0.03333333333333333,0.8190578158458244,1.2746591567993164
0.3,0.01,0,66,8,0.01,0.95,20,0.16630251981810265,0.0375,0.7826552462526767,1.2708988189697266
0.3,0.01,0,66,38,0.05,0.5,1,0.1923412197620846,0.045454545454545456,1.0,1.272965669631958
0.3,0.01,0,66,38,0.05,0.5,2,0.1869267084290255,0.07051282051282051,0.9357601713062098,1.2758638858795166
0.3,0.01,0,66,38,0.05,0.5,3,0.19820307711986757,0.06111111111111111,0.9400428265524625,1.2935047149658203
