mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,62,0,0,0,0.11887939726080507,0.08333333333333333,0.8155650319829424,
0.4,0.01,0,62,5,0.01,0.5,1,0.13180044697358698,0.0625,1.0,1.3664636611938477
0.4,0.01,0,62,5,0.01,0.5,2,0.1285006797075378,0.06111111111111111,0.9211087420042644,1.3779726028442383
0.4,0.01,0,62,5,0.01,0.5,3,0.12074314671281937,0.1111111111111111,1.0,1.3653244972229004
0.4,0.01,0,62,5,0.01,0.5,4,0.1318423377637513,0.07051282051282051,0.9093816631130064,1.3545944690704346
0.4,0.01,0,62,5,0.01,0.5,5,0.13452520495363768,0.0763888888888889,0.9104477611940298,1.3492083549499512
0.4,0.01,0,62,5,0.01,0.5,6,0.12333354987998478,0.0763888888888889,0.9285714285714286,1.4980027675628662
0.4,0.01,0,62,5,0.01,0.5,7,0.12365437324031023,0.08333333333333333,0.9093816631130064,1.367522954940796
0.4,0.01,0,62,5,0.01,0.5,8,0.1251281902799928,0.06944444444444445,0.8390191897654584,1.3626279830932617
0.4,0.01,0,62,5,0.01,0.5,9,0.12903693725218704,0.08333333333333333,1.0,1.3498611450195312
0.4,0.01,0,62,5,0.01,0.5,10,0.12301692815993384,0.06666666666666667,1.0,1.3608145713806152
0.4,0.01,0,62,5,0.01,0.5,11,0.12811358506505227,0.1,1.0,1.3606972694396973
0.4,0.01,0,62,5,0.01,0.5,12,0.12376884134432325,0.0763888888888889,0.9488272921108742,1.3604283332824707
0.4,0.01,0,62,5,0.01,0.5,13,0.1257871365014733,0.05555555555555555,0.8400852878464818,1.5066263675689697
0.4,0.01,0,62,5,0.01,0.5,14,0.13776190821498577,0.07142857142857142,1.0,1.359039068222046
0.4,0.01,0,62,5,0.01,0.5,15,0.12086048764767995,0.125,1.0,1.3685739040374756
0.4,0.01,0,62,5,0.01,0.5,16,0.12436685806771271,0.09259259259259259,0.8486140724946695,1.3521509170532227
0.4,0.01,0,62,5,0.01,0.5,17,0.121970287568104,0.1,1.0,1.3472003936767578
0.4,0.01,0,62,5,0.01,0.5,18,0.12822873329525925,0.1111111111111111,1.0,1.3483469486236572
0.4,0.01,0,62,5,0.01,0.5,19,0.13346727397814676,0.06944444444444445,0.8646055437100213,1.3403828144073486
0.4,0.01,0,62,5,0.01,0.5,20,0.12965803275594287,0.1111111111111111,1.0,1.3780817985534668
0.4,0.01,0,62,5,0.01,0.65,1,0.127167531714968,0.08333333333333333,0.9189765458422174,1.5179615020751953
0.4,0.01,0,62,5,0.01,0.65,2,0.11531173990708944,0.1,1.0,1.3476202487945557
0.4,0.01,0,62,5,0.01,0.65,3,0.1264057662636524,0.0763888888888889,0.9371002132196162,1.3433575630187988
0.4,0.01,0,62,5,0.01,0.65,4,0.12092144808635684,0.1,1.0,1.357133388519287
0.4,0.01,0,62,5,0.01,0.65,5,0.12897422344328396,0.125,1.0,1.339308261871338
0.4,0.01,0,62,5,0.01,0.65,6,0.12244475629415857,0.041666666666666664,0.7590618336886994,1.3478188514709473
0.4,0.01,0,62,5,0.01,0.65,7,0.12881286695570873,0.1,1.0,1.3486096858978271
0.4,0.01,0,62,5,0.01,0.65,8,0.12492248478907976,0.07142857142857142,1.0,1.3352627754211426
0.4,0.01,0,62,5,0.01,0.65,9,0.12023291634174428,0.1111111111111111,1.0,1.5153191089630127
0.4,0.01,0,62,5,0.01,0.65,10,0.12838371944665322,0.0763888888888889,0.9157782515991472,1.3491435050964355
0.4,0.01,0,62,5,0.01,0.65,11,0.13001583249603157,0.06111111111111111,0.9221748400852878,1.3502559661865234
0.4,0.01,0,62,5,0.01,0.65,12,0.11899221763278893,0.057291666666666664,0.906183368869936,1.3535199165344238
0.4,0.01,0,62,5,0.01,0.65,13,0.1212515979910707,0.057291666666666664,0.920042643923241,1.3523106575012207
0.4,0.01,0,62,5,0.01,0.65,14,0.11664262672189468,0.1111111111111111,1.0,1.3514938354492188
0.4,0.01,0,62,5,0.01,0.65,15,0.12426881646835423,0.09166666666666666,0.9232409381663113,1.3397557735443115
0.4,0.01,0,62,5,0.01,0.65,16,0.1309449988973803,0.08333333333333333,1.0,1.3529040813446045
0.4,0.01,0,62,5,0.01,0.65,17,0.11572300338823922,0.07575757575757576,0.8390191897654584,1.5281422138214111
0.4,0.01,0,62,5,0.01,0.65,18,0.11797545609713521,0.1111111111111111,1.0,1.3631718158721924
0.4,0.01,0,62,5,0.01,0.65,19,0.1274323214236753,0.08333333333333333,0.9264392324093816,1.3523216247558594
0.4,0.01,0,62,5,0.01,0.65,20,0.12855109044477497,0.0625,1.0,1.3480751514434814
0.4,0.01,0,62,5,0.01,0.8,1,0.1283296020453259,0.06944444444444445,0.8315565031982942,1.3559856414794922
0.4,0.01,0,62,5,0.01,0.8,2,0.13606186645078355,0.08333333333333333,0.9157782515991472,1.3789777755737305
0.4,0.01,0,62,5,0.01,0.8,3,0.13004235010113493,0.1111111111111111,1.0,1.364640712738037
0.4,0.01,0,62,5,0.01,0.8,4,0.11277817748310116,0.06547619047619048,0.9264392324093816,1.3642840385437012
0.4,0.01,0,62,5,0.01,0.8,5,0.11583485239358819,0.058823529411764705,1.0,1.3611133098602295
0.4,0.01,0,62,5,0.01,0.8,6,0.11640765616059776,0.09166666666666666,0.9221748400852878,1.5312843322753906
0.4,0.01,0,62,5,0.01,0.8,7,0.14690514623037787,0.04824561403508772,0.929637526652452,1.3472886085510254
0.4,0.01,0,62,5,0.01,0.8,8,0.129437654739719,0.07692307692307693,1.0,1.3439347743988037
0.4,0.01,0,62,5,0.01,0.8,9,0.12866657859202774,0.1111111111111111,1.0,1.3488240242004395
0.4,0.01,0,62,5,0.01,0.8,10,0.12942926530706694,0.03409090909090909,0.744136460554371,1.3533892631530762
0.4,0.01,0,62,5,0.01,0.8,11,0.12221347462767931,0.1,1.0,1.3503503799438477
0.4,0.01,0,62,5,0.01,0.8,12,0.11878733820722306,0.08333333333333333,0.9381663113006397,1.3479893207550049
0.4,0.01,0,62,5,0.01,0.8,13,0.12939086666022603,0.0625,1.0,1.5130574703216553
0.4,0.01,0,62,5,0.01,0.8,14,0.12014857702856262,0.09166666666666666,0.9104477611940298,1.3460335731506348
0.4,0.01,0,62,5,0.01,0.8,15,0.11989928429376975,0.08333333333333333,0.929637526652452,1.3319251537322998
0.4,0.01,0,62,5,0.01,0.8,16,0.12086384281865549,0.09090909090909091,1.0,1.3565340042114258
0.4,0.01,0,62,5,0.01,0.8,17,0.12056894361843964,0.09166666666666666,0.9339019189765458,1.3636436462402344
0.4,0.01,0,62,5,0.01,0.8,18,0.12380951280777135,0.046296296296296294,0.8528784648187633,1.3446786403656006
0.4,0.01,0,62,5,0.01,0.8,19,0.128906546364161,0.09090909090909091,1.0,1.3376343250274658
0.4,0.01,0,62,5,0.01,0.8,20,0.11962113366522815,0.07051282051282051,0.9317697228144989,1.3584790229797363
0.4,0.01,0,62,5,0.01,0.95,1,0.12942284725514633,0.07051282051282051,0.9402985074626866,1.3582656383514404
0.4,0.01,0,62,5,0.01,0.95,2,0.1330523098425055,0.09166666666666666,0.9104477611940298,1.5296568870544434
0.4,0.01,0,62,5,0.01,0.95,3,0.1479172160246195,0.08333333333333333,1.0,1.3512179851531982
0.4,0.01,0,62,5,0.01,0.95,4,0.12797456137988775,0.07142857142857142,1.0,1.3728523254394531
0.4,0.01,0,62,5,0.01,0.95,5,0.12875481775558384,0.08333333333333333,0.8464818763326226,1.3558263778686523
0.4,0.01,0,62,5,0.01,0.95,6,0.11630277443365424,0.09166666666666666,0.9040511727078892,1.3515586853027344
0.4,0.01,0,62,5,0.01,0.95,7,0.0851808670840929,0.0196078431372549,1.0,1.3445796966552734
0.4,0.01,0,62,5,0.01,0.95,8,0.12913942716573018,0.07142857142857142,1.0,1.347646713256836
0.4,0.01,0,62,5,0.01,0.95,9,0.12218152215648717,0.07051282051282051,0.9221748400852878,1.5161046981811523
0.4,0.01,0,62,5,0.01,0.95,10,0.12903219526290105,0.07051282051282051,0.906183368869936,1.3480737209320068
0.4,0.01,0,62,5,0.01,0.95,11,0.13889926972847702,0.09090909090909091,1.0,1.3584179878234863
0.4,0.01,0,62,5,0.01,0.95,12,0.1341850619035433,0.0763888888888889,0.9104477611940298,1.3492181301116943
0.4,0.01,0,62,5,0.01,0.95,13,0.08623575616904645,0.017006802721088437,0.9445628997867804,1.3724679946899414
0.4,0.01,0,62,5,0.01,0.95,14,0.12958807136325406,0.08333333333333333,1.0,1.3636806011199951
0.4,0.01,0,62,5,0.01,0.95,15,0.12183423425125492,0.125,1.0,1.3477883338928223
0.4,0.01,0,62,5,0.01,0.95,16,0.07939399999999987,0.0,1.0,1.3648107051849365
0.4,0.01,0,62,5,0.01,0.95,17,0.1271667181695459,0.08333333333333333,1.0,1.5234870910644531
0.4,0.01,0,62,5,0.01,0.95,18,0.1260920549611751,0.05952380952380952,0.837953091684435,1.353104591369629
0.4,0.01,0,62,5,0.01,0.95,19,0.08140411599696659,0.00847457627118644,0.9818763326226013,1.3553466796875
0.4,0.01,0,62,5,0.01,0.95,20,0.12070041117552142,0.1,1.0,1.3394389152526855
0.4,0.01,0,62,25,0.05,0.5,1,0.12023142394816232,0.0763888888888889,0.9253731343283582,1.3732020854949951
0.4,0.01,0,62,25,0.05,0.5,2,0.13432257441511963,0.09166666666666666,0.908315565031983,1.3633499145507812
0.4,0.01,0,62,25,0.05,0.5,3,0.11078181288129474,0.125,1.0,1.3676681518554688
0.4,0.01,0,62,25,0.05,0.5,4,0.12483616170889322,0.1,1.0,1.3712999820709229
0.4,0.01,0,62,25,0.05,0.5,5,0.12944247715507337,0.05263157894736842,1.0,1.5404210090637207
