mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,15,0,0,0,0,0.09703958739069742,0.1388888888888889,0.4588832487309645,
0.4,0.01,0,15,0,0.01,0.95,1,0.08009049752022393,0.22916666666666666,0.4934010152284264,1.3461294174194336
0.4,0.01,0,15,0,0.01,0.95,2,0.08305693734397186,0.09722222222222222,0.3411167512690355,1.3395123481750488
0.4,0.01,0,15,0,0.01,0.95,3,0.0574442370799822,0.03571428571428571,0.9989847715736041,1.339534044265747
0.4,0.01,0,15,0,0.01,0.95,4,0.05772937700781338,0.03571428571428571,0.9868020304568528,1.335170030593872
0.4,0.01,0,15,0,0.01,0.95,5,0.09244270680377667,0.125,0.4101522842639594,1.4547016620635986
0.4,0.01,0,15,0,0.01,0.95,6,0.07876538998524606,0.22916666666666666,0.4862944162436548,1.3169538974761963
0.4,0.01,0,15,0,0.01,0.95,7,0.08079181281278124,0.1388888888888889,0.43959390862944164,1.3249914646148682
0.4,0.01,0,15,0,0.01,0.95,8,0.08643449231036612,0.1388888888888889,0.449746192893401,1.3159053325653076
0.4,0.01,0,15,0,0.01,0.95,9,0.07499928568503747,0.2708333333333333,0.531979695431472,1.3275196552276611
0.4,0.01,0,15,0,0.01,0.95,10,0.08592548748731822,0.22916666666666666,0.5035532994923858,1.3170716762542725
0.4,0.01,0,15,0,0.01,0.95,11,0.0843918376423725,0.1875,0.4152284263959391,1.3242952823638916
0.4,0.01,0,15,0,0.01,0.95,12,0.08222250917785508,0.2708333333333333,0.5238578680203045,1.3238720893859863
0.4,0.01,0,15,0,0.01,0.95,13,0.08002516778366257,0.25,0.5380710659898477,1.3281891345977783
0.4,0.01,0,15,0,0.01,0.95,14,0.08627907012760877,0.09375,0.3756345177664975,1.4828011989593506
0.4,0.01,0,15,0,0.01,0.95,15,0.0835236126309762,0.125,0.36852791878172586,1.3115363121032715
0.4,0.01,0,15,0,0.01,0.95,16,0.07511544029921151,0.10416666666666667,0.4294416243654822,1.3084957599639893
0.4,0.01,0,15,0,0.01,0.95,17,0.08072894109196713,0.22916666666666666,0.4862944162436548,1.306865930557251
0.4,0.01,0,15,0,0.01,0.95,18,0.08505308401277185,0.1527777777777778,0.5015228426395939,1.3133389949798584
0.4,0.01,0,15,0,0.01,0.95,19,0.07350072245636859,0.1388888888888889,0.42741116751269037,1.318504810333252
