mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,5.0,0,15,0,0,0,0,0.5787176524304827,0.125,0.31065989847715736,
0.4,5.0,0,15,0,0.01,0.8,1,0.6605977374465873,0.06666666666666667,0.3269035532994924,1.2223870754241943
0.4,5.0,0,15,0,0.01,0.8,2,0.6336461270357018,0.1111111111111111,0.28426395939086296,1.221994400024414
0.4,5.0,0,15,0,0.01,0.8,3,0.6431931215084878,0.034722222222222224,0.27715736040609135,1.245762825012207
0.4,5.0,0,15,0,0.01,0.8,4,0.6348766900179623,0.09722222222222222,0.27614213197969545,1.2628326416015625
0.4,5.0,0,15,0,0.01,0.8,5,0.60548846594773,0.04861111111111111,0.2883248730964467,1.3957524299621582
0.4,5.0,0,15,0,0.01,0.8,6,0.6035663616867915,0.02976190476190476,0.2934010152284264,1.2266592979431152
0.4,5.0,0,15,0,0.01,0.8,7,0.6417132222744697,0.058333333333333334,0.3147208121827411,1.2218244075775146
0.4,5.0,0,15,0,0.01,0.8,8,0.6306739068078004,0.05,0.29949238578680204,1.245577096939087
0.4,5.0,0,15,0,0.01,0.8,9,0.6049739399805604,0.0625,0.2182741116751269,1.235548973083496
0.4,5.0,0,15,0,0.01,0.8,10,0.6700304609501408,0.125,0.2883248730964467,1.2240405082702637
0.4,5.0,0,15,0,0.01,0.8,11,0.5639702679800662,0.1388888888888889,0.3918781725888325,1.2283954620361328
0.4,5.0,0,15,0,0.01,0.8,12,0.6190824993729243,0.06666666666666667,0.34416243654822337,1.2285346984863281
0.4,5.0,0,15,0,0.01,0.8,13,0.5865267479796902,0.1388888888888889,0.4030456852791878,1.3890788555145264
0.4,5.0,0,15,0,0.01,0.8,14,0.6450240194528334,0.04861111111111111,0.3614213197969543,1.2358827590942383
0.4,5.0,0,15,0,0.01,0.8,15,0.6047831371541162,0.07291666666666667,0.31573604060913707,1.2311100959777832
0.4,5.0,0,15,0,0.01,0.8,16,0.5708538812546615,0.06666666666666667,0.2893401015228426,1.233520746231079
0.4,5.0,0,15,0,0.01,0.8,17,0.6150180749114535,0.05555555555555555,0.3604060913705584,1.2264349460601807
0.4,5.0,0,15,0,0.01,0.8,18,0.6034878748566341,0.07291666666666667,0.2365482233502538,1.2317044734954834
0.4,5.0,0,15,0,0.01,0.8,19,0.5960258127636373,0.06666666666666667,0.3218274111675127,1.2200875282287598
0.4,5.0,0,15,0,0.01,0.8,20,0.6206757557963158,0.041666666666666664,0.3116751269035533,1.2240524291992188
0.4,5.0,0,15,1,0.05,0.8,1,0.5750878520378706,0.05555555555555555,0.42233502538071066,1.410449504852295
0.4,5.0,0,15,1,0.05,0.8,2,0.6119229754362564,0.08333333333333333,0.36243654822335025,1.248816728591919
0.4,5.0,0,15,1,0.05,0.8,3,0.610156183430857,0.06666666666666667,0.3208121827411167,1.2539901733398438
0.4,5.0,0,15,1,0.05,0.8,4,0.6207507512140394,0.09375,0.3086294416243655,1.2515957355499268
0.4,5.0,0,15,1,0.05,0.8,5,0.6454833287926867,0.09375,0.41116751269035534,1.2407739162445068
0.4,5.0,0,15,1,0.05,0.8,6,0.6195299349812521,0.08333333333333333,0.34517766497461927,1.246903419494629
0.4,5.0,0,15,1,0.05,0.8,7,0.5821968546695953,0.08333333333333333,0.3197969543147208,1.2475171089172363
0.4,5.0,0,15,1,0.05,0.8,8,0.6436002644114587,0.04861111111111111,0.3472081218274112,1.245622158050537
0.4,5.0,0,15,1,0.05,0.8,9,0.646570743575741,0.06666666666666667,0.38781725888324875,1.4127299785614014
0.4,5.0,0,15,1,0.05,0.8,10,0.6100606505040475,0.08333333333333333,0.2812182741116751,1.2618720531463623
0.4,5.0,0,15,1,0.05,0.8,11,0.6180325329296777,0.125,0.3847715736040609,1.2530698776245117
0.4,5.0,0,15,1,0.05,0.8,12,0.63398799640124,0.058333333333333334,0.2893401015228426,1.286891222000122
0.4,5.0,0,15,1,0.05,0.8,13,0.6105172565501875,0.02976190476190476,0.24263959390862944,1.2580723762512207
0.4,5.0,0,15,1,0.05,0.8,14,0.6201215328407739,0.075,0.29746192893401013,1.2496044635772705
0.4,5.0,0,15,1,0.05,0.8,15,0.580001295130453,0.09722222222222222,0.2649746192893401,1.2449774742126465
0.4,5.0,0,15,1,0.05,0.8,16,0.5803233480413569,0.041666666666666664,0.29441624365482233,1.2454307079315186
0.4,5.0,0,15,1,0.05,0.8,17,0.63594148993301,0.041666666666666664,0.2893401015228426,1.399811029434204
0.4,5.0,0,15,1,0.05,0.8,18,0.6339619165690786,0.05,0.24974619289340103,1.257641077041626
0.4,5.0,0,15,1,0.05,0.8,19,0.5817977746015872,0.075,0.3766497461928934,1.2516372203826904
0.4,5.0,0,15,1,0.05,0.8,20,0.6171719627191087,0.07291666666666667,0.300507614213198,1.2470381259918213
0.4,5.0,0,15,2,0.1,0.8,1,0.6335696160036757,0.07291666666666667,0.31269035532994927,1.2437217235565186
0.4,5.0,0,15,2,0.1,0.8,2,0.5717192442531894,0.1111111111111111,0.3147208121827411,1.2444744110107422
0.4,5.0,0,15,2,0.1,0.8,3,0.6136473565828019,0.06666666666666667,0.3766497461928934,1.242992639541626
0.4,5.0,0,15,2,0.1,0.8,4,0.6598333686944721,0.125,0.36446700507614216,1.2404351234436035
0.4,5.0,0,15,2,0.1,0.8,5,0.588683492208409,0.08333333333333333,0.332994923857868,1.4088683128356934
0.4,5.0,0,15,2,0.1,0.8,6,0.595665433288834,0.09375,0.3553299492385787,1.2451937198638916
0.4,5.0,0,15,2,0.1,0.8,7,0.6302000775324148,0.1388888888888889,0.3928934010152284,1.2525322437286377
0.4,5.0,0,15,2,0.1,0.8,8,0.6319550782450779,0.075,0.3147208121827411,1.2492685317993164
0.4,5.0,0,15,2,0.1,0.8,9,0.644451902602055,0.1388888888888889,0.3461928934010152,1.2409873008728027
0.4,5.0,0,15,2,0.1,0.8,10,0.6038623953005761,0.07291666666666667,0.22538071065989848,1.2441680431365967
0.4,5.0,0,15,2,0.1,0.8,11,0.6179823604638464,0.1111111111111111,0.4071065989847716,1.2422411441802979
0.4,5.0,0,15,2,0.1,0.8,12,0.6115813709289627,0.08333333333333333,0.35126903553299493,1.2448461055755615
0.4,5.0,0,15,2,0.1,0.8,13,0.5986966418571849,0.20833333333333334,0.3898477157360406,1.4149060249328613
0.4,5.0,0,15,2,0.1,0.8,14,0.6040866198193945,0.058333333333333334,0.29746192893401013,1.249462604522705
0.4,5.0,0,15,2,0.1,0.8,15,0.6380273346035292,0.125,0.34213197969543147,1.2442443370819092
0.4,5.0,0,15,2,0.1,0.8,16,0.6004701839453532,0.08333333333333333,0.3928934010152284,1.2664151191711426
0.4,5.0,0,15,2,0.1,0.8,17,0.6248303096677115,0.06666666666666667,0.3634517766497462,1.242427110671997
0.4,5.0,0,15,2,0.1,0.8,18,0.599088600049932,0.07291666666666667,0.26802030456852793,1.2516436576843262
0.4,5.0,0,15,2,0.1,0.8,19,0.5992879172953883,0.04861111111111111,0.3035532994923858,1.2645187377929688
0.4,5.0,0,15,2,0.1,0.8,20,0.6264633678562711,0.058333333333333334,0.29441624365482233,1.2625937461853027
0.4,5.0,0,15,3,0.15,0.8,1,0.6208598181414309,0.09722222222222222,0.2609137055837564,1.4303045272827148
0.4,5.0,0,15,3,0.15,0.8,2,0.6344362025326139,0.041666666666666664,0.2954314720812183,1.2637310028076172
0.4,5.0,0,15,3,0.15,0.8,3,0.60810537615474,0.018518518518518517,0.23147208121827412,1.2676618099212646
0.4,5.0,0,15,3,0.15,0.8,4,0.6133576181784565,0.04861111111111111,0.3015228426395939,1.2686805725097656
0.4,5.0,0,15,3,0.15,0.8,5,0.631930435305165,0.125,0.3725888324873096,1.272388219833374
0.4,5.0,0,15,3,0.15,0.8,6,0.6176679165228518,0.08333333333333333,0.3847715736040609,1.2686209678649902
0.4,5.0,0,15,3,0.15,0.8,7,0.628219859005321,0.1388888888888889,0.37969543147208124,1.2598936557769775
0.4,5.0,0,15,3,0.15,0.8,8,0.6025679843616397,0.125,0.34822335025380713,1.273916244506836
0.4,5.0,0,15,3,0.15,0.8,9,0.6305915085078637,0.0625,0.2517766497461929,1.4319736957550049
0.4,5.0,0,15,3,0.15,0.8,10,0.6053650908133213,0.07291666666666667,0.3015228426395939,1.2670042514801025
0.4,5.0,0,15,3,0.15,0.8,11,0.6316038622420727,0.08333333333333333,0.29949238578680204,1.2667045593261719
0.4,5.0,0,15,3,0.15,0.8,12,0.5909088215938262,0.125,0.2984771573604061,1.2631685733795166
0.4,5.0,0,15,3,0.15,0.8,13,0.6423961408913601,0.06666666666666667,0.3065989847715736,1.2614343166351318
0.4,5.0,0,15,3,0.15,0.8,14,0.6016896158998623,0.04861111111111111,0.33401015228426395,1.2574131488800049
0.4,5.0,0,15,3,0.15,0.8,15,0.6089842413800447,0.125,0.3695431472081218,1.258948802947998
0.4,5.0,0,15,3,0.15,0.8,16,0.572083270020582,0.07291666666666667,0.23553299492385787,1.2690000534057617
0.4,5.0,0,15,3,0.15,0.8,17,0.5252932617354971,0.08333333333333333,0.38071065989847713,1.4283654689788818
0.4,5.0,0,15,3,0.15,0.8,18,0.5784483483043791,0.1111111111111111,0.3614213197969543,1.2709836959838867
