mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.01,0,64,0,0,0,0,0.06881791326913324,0.13095238095238096,0.9241452991452992,
0.5,0.01,0,64,5,0.01,0.8,1,0.06769238338125419,0.1130952380952381,0.813034188034188,1.417980432510376
0.5,0.01,0,64,5,0.01,0.8,2,0.06366099726246396,0.125,0.8707264957264957,1.373703956604004
0.5,0.01,0,64,5,0.01,0.8,3,0.06591322707811556,0.14285714285714285,1.0,1.3852500915527344
0.5,0.01,0,64,5,0.01,0.8,4,0.07123545172520102,0.1130952380952381,0.8247863247863247,1.3677747249603271
0.5,0.01,0,64,5,0.01,0.8,5,0.06407040374136067,0.08333333333333333,0.8301282051282052,1.5102496147155762
0.5,0.01,0,64,5,0.01,0.8,6,0.06632869587471621,0.1527777777777778,0.9241452991452992,1.3679986000061035
0.5,0.01,0,64,5,0.01,0.8,7,0.06592280167468212,0.10416666666666667,0.8493589743589743,1.3836798667907715
0.5,0.01,0,64,5,0.01,0.8,8,0.06229410018911142,0.09375,0.7542735042735043,1.3072807788848877
0.5,0.01,0,64,5,0.01,0.8,9,0.07135873172948728,0.11904761904761904,0.8408119658119658,1.31026029586792
0.5,0.01,0,64,5,0.01,0.8,10,0.06613806558161799,0.13690476190476192,0.9636752136752137,1.3115551471710205
0.5,0.01,0,64,5,0.01,0.8,11,0.06582026246509193,0.10185185185185185,0.9188034188034188,1.3071224689483643
0.5,0.01,0,64,5,0.01,0.8,12,0.06463605773506279,0.125,0.8792735042735043,1.3102953433990479
0.5,0.01,0,64,5,0.01,0.8,13,0.06714653189004816,0.13095238095238096,0.9262820512820513,1.4622857570648193
0.5,0.01,0,64,5,0.01,0.8,14,0.07547671587085285,0.1130952380952381,0.8044871794871795,1.307391881942749
0.5,0.01,0,64,5,0.01,0.8,15,0.06946854300660413,0.11904761904761904,0.8514957264957265,1.3045411109924316
0.5,0.01,0,64,5,0.01,0.8,16,0.07011720838196336,0.1527777777777778,0.8899572649572649,1.3029851913452148
