mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,2.0,0,64,0,0,0,0,0.35219329183348935,0.008130081300813009,0.3579059829059829,
0.5,2.0,0,64,5,0.01,0.95,1,0.3157453301471141,0.0070921985815602835,0.3579059829059829,1.2797191143035889
0.5,2.0,0,64,5,0.01,0.95,2,0.3231309239200575,0.006628787878787879,0.2564102564102564,1.2603442668914795
0.5,2.0,0,64,5,0.01,0.95,3,0.337303408755282,0.013513513513513514,0.46474358974358976,1.2627370357513428
0.5,2.0,0,64,5,0.01,0.95,4,0.35167656760647936,0.006076388888888889,0.30982905982905984,1.2586126327514648
0.5,2.0,0,64,5,0.01,0.95,5,0.31705954136780834,0.008865248226950355,0.43482905982905984,1.402275800704956
0.5,2.0,0,64,5,0.01,0.95,6,0.2934546270805981,0.014423076923076924,0.3942307692307692,1.2582414150238037
0.5,2.0,0,64,5,0.01,0.95,7,0.37222388885502844,0.0075,0.30982905982905984,1.2571873664855957
0.5,2.0,0,64,5,0.01,0.95,8,0.3220925845121345,0.008928571428571428,0.3856837606837607,1.2597105503082275
0.5,2.0,0,64,5,0.01,0.95,9,0.3146023059558966,0.00550314465408805,0.29273504273504275,1.25840425491333
0.5,2.0,0,64,5,0.01,0.95,10,0.34480205551375936,0.007211538461538462,0.36004273504273504,1.2683451175689697
0.5,2.0,0,64,5,0.01,0.95,11,0.3109811114344587,0.011217948717948718,0.2606837606837607,1.2599539756774902
0.5,2.0,0,64,5,0.01,0.95,12,0.3096253745315322,0.010416666666666666,0.34935897435897434,1.2600584030151367
0.5,2.0,0,64,5,0.01,0.95,13,0.3407830694389385,0.006578947368421052,0.20192307692307693,1.4202396869659424
0.5,2.0,0,64,5,0.01,0.95,14,0.32837502446841793,0.005813953488372093,0.2606837606837607,1.2616302967071533
0.5,2.0,0,64,5,0.01,0.95,15,0.3519194456766223,0.012195121951219513,0.5277777777777778,1.2619998455047607
0.5,2.0,0,64,5,0.01,0.95,16,0.32472247410115357,0.004432624113475178,0.17841880341880342,1.2978806495666504
0.5,2.0,0,64,5,0.01,0.95,17,0.33529673269425747,0.009057971014492754,0.41452991452991456,1.2654399871826172
0.5,2.0,0,64,5,0.01,0.95,18,0.34104223582837495,0.005208333333333333,0.2126068376068376,1.3401031494140625
0.5,2.0,0,64,5,0.01,0.95,19,0.3469497908979137,0.010185185185185186,0.48824786324786323,1.261070728302002
0.5,2.0,0,64,5,0.01,0.95,20,0.32960805746850885,0.006666666666666667,0.2799145299145299,1.263740062713623
0.5,2.0,0,64,27,0.05,0.95,1,0.3291812153639495,0.00508130081300813,0.2232905982905983,1.4325857162475586
0.5,2.0,0,64,27,0.05,0.95,2,0.34659694012185976,0.010416666666666666,0.36645299145299143,1.2704617977142334
0.5,2.0,0,64,27,0.05,0.95,3,0.33648474909185017,0.020833333333333332,0.49786324786324787,1.270003080368042
0.5,2.0,0,64,27,0.05,0.95,4,0.3037386396154497,0.005555555555555556,0.2329059829059829,1.2665345668792725
0.5,2.0,0,64,27,0.05,0.95,5,0.33760647167127295,0.009615384615384616,0.34935897435897434,1.266343593597412
0.5,2.0,0,64,27,0.05,0.95,6,0.33947553145116,0.008169934640522876,0.41346153846153844,1.2730708122253418
0.5,2.0,0,64,27,0.05,0.95,7,0.30619180100488935,0.012626262626262626,0.3472222222222222,1.2651183605194092
0.5,2.0,0,64,27,0.05,0.95,8,0.3326109066105395,0.007978723404255319,0.41346153846153844,1.2633774280548096
0.5,2.0,0,64,27,0.05,0.95,9,0.3086994298769755,0.006628787878787879,0.280982905982906,1.4334826469421387
0.5,2.0,0,64,27,0.05,0.95,10,0.35290933272025277,0.012626262626262626,0.37927350427350426,1.2677395343780518
0.5,2.0,0,64,27,0.05,0.95,11,0.35216172329742557,0.004734848484848485,0.1762820512820513,1.265714406967163
0.5,2.0,0,64,27,0.05,0.95,12,0.33466246487306883,0.008771929824561403,0.3215811965811966,1.2660956382751465
0.5,2.0,0,64,27,0.05,0.95,13,0.352952551622437,0.006340579710144928,0.30235042735042733,1.2692670822143555
0.5,2.0,0,64,27,0.05,0.95,14,0.31605760366590857,0.007882882882882882,0.2831196581196581,1.2617220878601074
0.5,2.0,0,64,27,0.05,0.95,15,0.3492584569004749,0.008333333333333333,0.4113247863247863,1.262901782989502
0.5,2.0,0,64,27,0.05,0.95,16,0.3087256996401613,0.01893939393939394,0.4305555555555556,1.2602803707122803
0.5,2.0,0,64,27,0.05,0.95,17,0.3104687025629442,0.013888888888888888,0.36752136752136755,1.4477803707122803
0.5,2.0,0,64,27,0.05,0.95,18,0.3250384425034248,0.006481481481481481,0.3087606837606838,1.3225202560424805
0.5,2.0,0,64,27,0.05,0.95,19,0.3428085295430167,0.008547008547008548,0.3418803418803419,1.3023838996887207
0.5,2.0,0,64,27,0.05,0.95,20,0.3397264573112169,0.009146341463414634,0.391025641025641,1.275650978088379
0.5,2.0,0,64,53,0.1,0.95,1,0.31518293141393167,0.010912698412698412,0.42948717948717946,1.2683279514312744
0.5,2.0,0,64,53,0.1,0.95,2,0.3340275917717682,0.008522727272727272,0.4198717948717949,1.2577052116394043
0.5,2.0,0,64,53,0.1,0.95,3,0.3655067354929181,0.004629629629629629,0.1955128205128205,1.263369083404541
0.5,2.0,0,64,53,0.1,0.95,4,0.351083641214232,0.007751937984496124,0.33547008547008544,1.261664628982544
0.5,2.0,0,64,53,0.1,0.95,5,0.3503283076962946,0.007751937984496124,0.3920940170940171,1.4394004344940186
0.5,2.0,0,64,53,0.1,0.95,6,0.32934721412819057,0.010714285714285714,0.4017094017094017,1.2630009651184082
0.5,2.0,0,64,53,0.1,0.95,7,0.33072430296290795,0.008333333333333333,0.3803418803418803,1.2724409103393555
0.5,2.0,0,64,53,0.1,0.95,8,0.34012933457934014,0.013888888888888888,0.4423076923076923,1.2723076343536377
0.5,2.0,0,64,53,0.1,0.95,9,0.3232372794032893,0.006481481481481481,0.3034188034188034,1.2632129192352295
0.5,2.0,0,64,53,0.1,0.95,10,0.34152074938045995,0.01016260162601626,0.3888888888888889,1.267509937286377
0.5,2.0,0,64,53,0.1,0.95,11,0.32923208658785447,0.005813953488372093,0.2232905982905983,1.261122703552246
0.5,2.0,0,64,53,0.1,0.95,12,0.34588937424969357,0.010416666666666666,0.42414529914529914,1.2591795921325684
0.5,2.0,0,64,53,0.1,0.95,13,0.333095188921537,0.008522727272727272,0.3215811965811966,1.2583794593811035
0.5,2.0,0,64,53,0.1,0.95,14,0.349843471666029,0.011904761904761904,0.38354700854700857,1.4538397789001465
0.5,2.0,0,64,53,0.1,0.95,15,0.32101076100276377,0.010101010101010102,0.2670940170940171,1.2613246440887451
0.5,2.0,0,64,53,0.1,0.95,16,0.330755648188881,0.013157894736842105,0.46153846153846156,1.2596328258514404
0.5,2.0,0,64,53,0.1,0.95,17,0.33669699294273653,0.00872093023255814,0.41773504273504275,1.2630631923675537
0.5,2.0,0,64,53,0.1,0.95,18,0.3056873899306744,0.006628787878787879,0.327991452991453,1.260789394378662
0.5,2.0,0,64,53,0.1,0.95,19,0.3434202762816617,0.010683760683760684,0.36752136752136755,1.2626817226409912
0.5,2.0,0,64,53,0.1,0.95,20,0.3445252933561022,0.0070921985815602835,0.3482905982905983,1.2664508819580078
0.5,2.0,0,64,80,0.15,0.95,1,0.3387373010543491,0.01126126126126126,0.4091880341880342,1.434035301208496
0.5,2.0,0,64,80,0.15,0.95,2,0.3877526788198668,0.008680555555555556,0.42948717948717946,1.288444995880127
0.5,2.0,0,64,80,0.15,0.95,3,0.3143689947822624,0.00980392156862745,0.36645299145299143,1.2813339233398438
0.5,2.0,0,64,80,0.15,0.95,4,0.30499819053184585,0.008333333333333333,0.28739316239316237,1.259692668914795
0.5,2.0,0,64,80,0.15,0.95,5,0.3337723301544675,0.013888888888888888,0.5598290598290598,1.262831687927246
0.5,2.0,0,64,80,0.15,0.95,6,0.3062877363532393,0.013888888888888888,0.5181623931623932,1.2602808475494385
0.5,2.0,0,64,80,0.15,0.95,7,0.3342570638373745,0.011458333333333333,0.48183760683760685,1.260056495666504
0.5,2.0,0,64,80,0.15,0.95,8,0.3397834673043502,0.008547008547008548,0.33974358974358976,1.2644336223602295
0.5,2.0,0,64,80,0.15,0.95,9,0.33680867690410204,0.008928571428571428,0.375,1.259779930114746
0.5,2.0,0,64,80,0.15,0.95,10,0.29174272061374334,0.015432098765432098,0.4252136752136752,1.4334304332733154
0.5,2.0,0,64,80,0.15,0.95,11,0.32396853286895394,0.01206140350877193,0.4358974358974359,1.2614946365356445
0.5,2.0,0,64,80,0.15,0.95,12,0.3384191758684285,0.009259259259259259,0.3311965811965812,1.2621700763702393
0.5,2.0,0,64,80,0.15,0.95,13,0.3281676350700516,0.010912698412698412,0.4807692307692308,1.2651619911193848
0.5,2.0,0,64,80,0.15,0.95,14,0.30595331864828207,0.016025641025641024,0.39850427350427353,1.2659919261932373
0.5,2.0,0,64,80,0.15,0.95,15,0.3440619718145949,0.007246376811594203,0.32371794871794873,1.2616071701049805
